weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.08792	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
1.02373	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.70274	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.49119	0	1	MYH11	Rictor	MYH11	RICTOR
0.47212	0	1	Bak	ER.alpha_pS118	BAK1	ESR1
0.44923	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.41178	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.35698	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.35116	0	1	YAP	YAP_pS127	YAP1	YAP1
0.30006	0	1	Bid	N.Cadherin	BID	CDH2
0.2851	0	1	N.Cadherin	PEA15_pS116	CDH2	PEA15
0.24874	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.24081	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.22645	0	1	4E.BP1_pT37T46	Rb_pS807_S811	EIF4EBP1	RB1
0.22343	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.22299	0	1	SCD1	SF2	SCD	SRSF1
0.21072	0	1	ER.alpha_pS118	Smad3	ESR1	SMAD3
0.20392	0	1	HSP70	N.Cadherin	HSPA1A	CDH2
0.19161	0	1	Fibronectin	p21	FN1	CDKN1A
0.18983	0	1	Cyclin_E2	Smad3	CCNE2	SMAD3
0.18928	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.17621	0	1	GSK3_pS9	p38_pT180_Y182	GSK3B	MAPK14
0.17619	0	1	JNK2	Rad50	MAPK9	RAD50
0.17544	1	1	Akt_pS473	GSK3.alpha.beta_pS21_S9	AKT1|AKT2|AKT3	GSK3A|GSK3B
0.17072	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.16616	1	1	Annexin.1	EGFR	ANXA1	EGFR
0.16412	0	1	Caveolin.1	MYH11	CAV1	MYH11
0.16369	0	1	53BP1	Ku80	TP53BP1	XRCC5
0.16143	0	1	EGFR	Notch1	EGFR	NOTCH1
0.16111	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.15354	0	1	Cyclin_E2	ER.alpha_pS118	CCNE2	ESR1
0.15206	0	1	GSK3.alpha.beta_pS21_S9	Src_pY527	GSK3A|GSK3B	SRC
0.15128	1	1	14.3.3_epsilon	N.Ras	YWHAE	NRAS
0.15115	0	1	p38_pT180_Y182	PKC.pan_BetaII_pS660	MAPK14	PRKCB
0.15077	0	1	Mre11	Stathmin	MRE11A	STMN1
0.15038	0	1	N.Ras	P.Cadherin	NRAS	CDH3
0.1459	0	1	p90RSK_pT359_S363	YB.1_pS102	RPS6KA1	YBX1
