weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.94102	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.92322	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.90291	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.88178	0	1	Bak	ER.alpha_pS118	BAK1	ESR1
0.80634	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.80402	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.7984	0	1	MYH11	Rictor	MYH11	RICTOR
0.79713	0	1	LKB1	Mre11	STK11	MRE11A
0.7807	0	1	53BP1	Ku80	TP53BP1	XRCC5
-0.78054	0	-1	Collagen_VI	RBM15	COL6A1|COL6A2|COL6A3|COL6A5	RBM15
0.77462	0	1	ER.alpha_pS118	Smad3	ESR1	SMAD3
0.77136	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.76797	0	1	Chk1	Mre11	CHEK1	MRE11A
-0.76602	0	-1	Chk1	mTOR	CHEK1	FRAP1|MTOR
0.76575	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.76484	0	1	Bid	N.Cadherin	BID	CDH2
0.76192	0	1	HSP70	N.Cadherin	HSPA1A	CDH2
0.75703	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.75541	0	1	ACVRL1	Collagen_VI	ACVRL1	COL6A1|COL6A2|COL6A3|COL6A5
0.75405	0	1	ACVRL1	Mre11	ACVRL1	MRE11A
0.75334	0	1	53BP1	RBM15	TP53BP1	RBM15
0.75287	0	1	Bap1.c.4	RBM15	BAP1	RBM15
-0.75187	0	-1	ACVRL1	RBM15	ACVRL1	RBM15
0.74557	0	1	beta.Catenin	RBM15	CTNNB1	RBM15
0.74435	0	1	YAP	YAP_pS127	YAP1	YAP1
0.74018	0	1	Bak	Cyclin_E2	BAK1	CCNE2
-0.73902	0	-1	Mre11	RBM15	MRE11A	RBM15
0.73771	0	1	Bak	Smad3	BAK1	SMAD3
0.73532	0	1	Chk1	LKB1	CHEK1	STK11
0.73477	0	1	Cyclin_E2	ER.alpha_pS118	CCNE2	ESR1
0.73411	0	1	c.Met_pY1235	Chk1	MET	CHEK1
0.73411	0	1	53BP1	beta.Catenin	TP53BP1	CTNNB1
-0.73337	0	-1	Chk1	Ku80	CHEK1	XRCC5
-0.73251	0	-1	beta.Catenin	Mre11	CTNNB1	MRE11A
0.73107	0	1	53BP1	Bap1.c.4	TP53BP1	BAP1
0.73046	0	1	Collagen_VI	Mre11	COL6A1|COL6A2|COL6A3|COL6A5	MRE11A
0.72936	0	1	ACVRL1	LKB1	ACVRL1	STK11
0.72583	0	1	c.Myc	Mre11	MYC	MRE11A
0.7245	0	1	Fibronectin	p21	FN1	CDKN1A
0.72345	0	1	ARHI	N.Ras	DIRAS3	NRAS
