weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.92987	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.9234	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.91588	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.84163	0	1	Bak	ER.alpha_pS118	BAK1	ESR1
0.77764	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.77738	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.77643	0	1	ER.alpha_pS118	Smad3	ESR1	SMAD3
0.76183	0	1	53BP1	RBM15	TP53BP1	RBM15
0.76159	0	1	ACVRL1	Mre11	ACVRL1	MRE11A
0.76094	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.75642	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.75634	0	1	MYH11	Rictor	MYH11	RICTOR
0.75173	0	1	HSP70	N.Cadherin	HSPA1A	CDH2
0.7495	0	1	ACVRL1	LKB1	ACVRL1	STK11
0.7464	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.74539	0	1	Cyclin_E2	ER.alpha_pS118	CCNE2	ESR1
-0.74445	0	-1	Collagen_VI	RBM15	COL6A1|COL6A2|COL6A3|COL6A5	RBM15
0.73378	0	1	Bid	N.Cadherin	BID	CDH2
0.73173	0	1	53BP1	Ku80	TP53BP1	XRCC5
0.73055	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.72723	0	1	Ku80	RBM15	XRCC5	RBM15
0.72686	0	1	ARHI	P.Cadherin	DIRAS3	CDH3
-0.7263	0	-1	ACVRL1	RBM15	ACVRL1	RBM15
0.7248	0	1	LKB1	Mre11	STK11	MRE11A
0.72457	0	1	Cyclin_E2	Smad3	CCNE2	SMAD3
0.72266	0	1	Bak	Cyclin_E2	BAK1	CCNE2
0.72118	0	1	Fibronectin	p21	FN1	CDKN1A
0.71704	0	1	Chk1	Mre11	CHEK1	MRE11A
0.71072	0	1	4E.BP1_pT37T46	Rb_pS807_S811	EIF4EBP1	RB1
0.70928	0	1	beta.Catenin	RBM15	CTNNB1	RBM15
-0.70544	0	-1	Mre11	RBM15	MRE11A	RBM15
0.703	0	1	YAP	YAP_pS127	YAP1	YAP1
0.70295	0	1	14.3.3_beta	PR	YWHAB	PGR
0.70211	0	1	Bap1.c.4	RBM15	BAP1	RBM15
0.70201	1	1	Akt_pS473	GSK3.alpha.beta_pS21_S9	AKT1|AKT2|AKT3	GSK3A|GSK3B
0.70172	0	1	ARHI	N.Ras	DIRAS3	NRAS
-0.70136	0	-1	Chk1	HER2	CHEK1	ERBB2
0.70006	0	1	ACVRL1	Collagen_VI	ACVRL1	COL6A1|COL6A2|COL6A3|COL6A5
0.69994	0	1	GSK3_pS9	Src_pY527	GSK3B	SRC
0.69936	0	1	Bak	Smad3	BAK1	SMAD3
0.69581	0	1	Collagen_VI	Mre11	COL6A1|COL6A2|COL6A3|COL6A5	MRE11A
0.69551	0	1	Chk1	Stathmin	CHEK1	STMN1
0.69265	0	1	N.Cadherin	PEA15_pS116	CDH2	PEA15
0.6923	0	1	Mre11	Stathmin	MRE11A	STMN1
0.68857	0	1	c.Myc	Collagen_VI	MYC	COL6A1|COL6A2|COL6A3|COL6A5
-0.68757	0	-1	ACVRL1	beta.Catenin	ACVRL1	CTNNB1
0.67758	0	1	Cyclin_E2	RBM15	CCNE2	RBM15
0.67755	0	1	Caveolin.1	MYH11	CAV1	MYH11
0.67537	0	1	GSK3.alpha.beta_pS21_S9	Src_pY527	GSK3A|GSK3B	SRC
0.67485	1	1	E.Cadherin	HER2	CDH1	ERBB2
0.67459	0	1	ACC1	FASN	ACACA	FASN
0.67437	0	1	HER2	INPP4B	ERBB2	INPP4B
0.67284	0	1	N.Ras	P.Cadherin	NRAS	CDH3
-0.6693	0	-1	53BP1	Chk1	TP53BP1	CHEK1
-0.66921	0	-1	beta.Catenin	Mre11	CTNNB1	MRE11A
0.66787	0	1	Cyclin_D1	TAZ	CCND1	WWTR1
0.66774	0	1	c.Myc	Mre11	MYC	MRE11A
0.6658	0	1	LKB1	TAZ	STK11	WWTR1
0.66431	0	1	ARHI	PR	DIRAS3	PGR
0.66326	0	1	N.Ras	PR	NRAS	PGR
0.66235	0	1	Chk1	LKB1	CHEK1	STK11
0.66047	0	1	53BP1	beta.Catenin	TP53BP1	CTNNB1
-0.65955	0	-1	ACVRL1	Bap1.c.4	ACVRL1	BAP1
0.65945	0	1	INPP4B	Src	INPP4B	SRC
0.65899	0	1	ACC_pS79	FASN	ACACA|ACACB	FASN
0.6578	0	1	SCD1	SF2	SCD	SRSF1
0.65767	0	1	14.3.3_beta	Collagen_VI	YWHAB	COL6A1|COL6A2|COL6A3|COL6A5
-0.65592	0	-1	LKB1	RBM15	STK11	RBM15
0.65266	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.65024	0	1	p70S6K	RBM15	RPS6KB1	RBM15
0.64839	0	1	GATA3	Src	GATA3	SRC
0.64691	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.64637	0	1	HSP70	LKB1	HSPA1A	STK11
0.64332	0	1	eEF2	GAPDH	EEF2	GAPDH
0.64231	0	1	HSP70	Mre11	HSPA1A	MRE11A
0.64171	1	1	14.3.3_epsilon	N.Ras	YWHAE	NRAS
0.6415	0	1	beta.Catenin	Ku80	CTNNB1	XRCC5
0.64006	0	1	c.Myc	HSP70	MYC	HSPA1A
0.6395	0	1	B.Raf	beta.Catenin	BRAF	CTNNB1
0.63901	0	1	PKC.alpha_pS657	Rictor	PRKCA	RICTOR
-0.63637	0	-1	ACVRL1	HER2	ACVRL1	ERBB2
0.636	0	1	PRAS40_pT246	Rb_pS807_S811	AKT1S1	RB1
-0.63481	0	-1	Chk1	Ku80	CHEK1	XRCC5
0.63157	0	1	Bap1.c.4	eIF4G	BAP1	EIF4G1|EIF4G2|EIF4G3
-0.63088	0	-1	ACC_pS79	ACVRL1	ACACA|ACACB	ACVRL1
0.63074	0	1	ACC_pS79	HER2	ACACA|ACACB	ERBB2
0.63051	0	1	Chk1	N.Cadherin	CHEK1	CDH2
0.62999	0	1	Bad_pS112	NF.kB.p65_pS536	BAD	NFKB1
0.62858	0	1	14.3.3_beta	P.Cadherin	YWHAB	CDH3
0.6275	0	1	B.Raf	HER2	BRAF	ERBB2
0.62616	0	1	Collagen_VI	PR	COL6A1|COL6A2|COL6A3|COL6A5	PGR
0.62579	0	1	53BP1	HER2	TP53BP1	ERBB2
0.62566	0	1	PDK1	PDK1_pS241	PDK1	PDK1
-0.6255	0	-1	HER2	LKB1	ERBB2	STK11
-0.62485	1	-1	53BP1	Mre11	TP53BP1	MRE11A
0.62475	0	1	53BP1	Bap1.c.4	TP53BP1	BAP1
0.62449	0	1	Bak	EGFR_pY1173	BAK1	EGFR
0.62276	0	1	Akt_pS473	MAPK_pT202_Y204	AKT1|AKT2|AKT3	MAPK1|MAPK3
-0.62222	0	-1	ACVRL1	E.Cadherin	ACVRL1	CDH1
0.61959	0	1	TSC1	VEGFR2	TSC1	KDR
-0.61914	0	-1	beta.Catenin	Chk1	CTNNB1	CHEK1
-0.61914	0	-1	Collagen_VI	Cyclin_E2	COL6A1|COL6A2|COL6A3|COL6A5	CCNE2
0.61873	0	1	53BP1	Tuberin	TP53BP1	TSC2
0.61834	1	1	c.Myc	LKB1	MYC	STK11
0.61794	1	1	HER2	Src	ERBB2	SRC
0.61762	0	1	Mre11	PR	MRE11A	PGR
0.61751	0	1	GATA3	HER2	GATA3	ERBB2
0.61728	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.61687	0	1	PTEN	RBM15	PTEN	RBM15
0.61666	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.61651	0	1	ACVRL1	Bcl.2	ACVRL1	BCL2
-0.61642	0	-1	Collagen_VI	S6	COL6A1|COL6A2|COL6A3|COL6A5	RPS6
0.61591	0	1	ACVRL1	Chk1	ACVRL1	CHEK1
-0.61552	0	-1	ARHI	eEF2	DIRAS3	EEF2
0.61481	0	1	ACVRL1	TAZ	ACVRL1	WWTR1
-0.61467	0	-1	HER2	Mre11	ERBB2	MRE11A
0.61334	0	1	Chk1	HSP70	CHEK1	HSPA1A
-0.61264	0	-1	Chk1	RBM15	CHEK1	RBM15
-0.6126	0	-1	ARHI	Cyclin_E2	DIRAS3	CCNE2
0.61188	0	1	Mre11	N.Cadherin	MRE11A	CDH2
0.61168	1	1	eIF4G	p70S6K	EIF4G1|EIF4G2|EIF4G3	RPS6KB1
-0.60962	0	-1	ACC_pS79	LKB1	ACACA|ACACB	STK11
0.60932	0	1	53BP1	mTOR	TP53BP1	FRAP1|MTOR
0.6089	0	1	ER.alpha_pS118	SF2	ESR1	SRSF1
-0.60843	0	-1	53BP1	ACVRL1	TP53BP1	ACVRL1
0.60785	0	1	Collagen_VI	Stathmin	COL6A1|COL6A2|COL6A3|COL6A5	STMN1
