weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.7682	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.73974	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.72563	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.71523	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.67694	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.66206	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.58836	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.5005	0	1	MYH11	Rictor	MYH11	RICTOR
0.46315	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.45881	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
0.45422	0	1	YAP	YAP_pS127	YAP1	YAP1
0.44527	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.40697	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.39925	0	1	Beclin	XBP1	BECN1	XBP1
0.38687	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.37394	1	1	PKC.delta_pS664	PKC.pan_BetaII_pS660	PRKCD	PRKCB
0.37141	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.3621	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.33279	0	1	4E.BP1_pT37T46	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.32761	0	1	Src	Src_pY527	SRC	SRC
0.32681	0	1	4E.BP1	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.30999	0	1	ER.alpha	GATA3	ESR1	GATA3
0.30534	0	1	mTOR	mTOR_pS2448	FRAP1|MTOR	FRAP1|MTOR
0.30425	1	1	PI3K.p110.alpha	PI3K.p85	PIK3CA	PIK3R1
0.29178	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
0.28683	1	1	c.Jun_pS73	CDK1	JUN	CDK1
0.28624	0	1	4E.BP1_pS65	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
0.28152	1	1	Bcl.2	Bim	BCL2	BCL2L11
0.28002	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.27888	0	1	Caspase.7_cleavedD198	Lck	CASP7	LCK
0.27498	0	1	ERK2	PEA.15	MAPK1	PEA15
0.27129	0	1	Chk2	Chk2_pT68	CHEK2	CHEK2
0.27119	0	1	4E.BP1	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
0.26917	0	1	ER.alpha	ER.alpha_pS118	ESR1	ESR1
-0.26834	0	-1	TRFC	TSC1	TFRC	TSC1
0.26642	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.25901	0	1	EGFR	EGFR_pY1173	EGFR	EGFR
0.2583	0	1	CD20	ETS.1	MS4A1	ETS1
0.25637	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.25619	0	1	p90RSK	PKC.pan_BetaII_pS660	RPS6KA1	PRKCB
0.2508	0	1	EGFR_pY1068	HER3_pY1289	EGFR	ERBB3
0.24436	0	1	NF.kB.p65_pS536	Tuberin_pT1462	NFKB1	TSC2
0.24366	1	1	EGFR_pY1068	Src_pY416	EGFR	SRC
0.24246	1	1	CDK1	Cyclin_B1	CDK1	CCNB1
0.23757	1	1	c.Jun_pS73	JNK_pT183_Y185	JUN	MAPK8|MAPK9
0.23688	0	1	Rictor_pT1135	TIGAR	RICTOR	C12ORF5
0.21612	0	1	Dvl3	p21	DVL3	CDKN1A
0.21468	0	1	14.3.3_beta	ACVRL1	YWHAB	ACVRL1
0.21413	0	1	HSP70	N.Cadherin	HSPA1A	CDH2
0.21373	1	1	ACVRL1	N.Ras	ACVRL1	NRAS
0.21305	0	1	Tuberin	Tuberin_pT1462	TSC2	TSC2
0.21127	0	1	G6PD	PRDX1	G6PD	PRDX1
0.20919	0	1	TRFC	Tuberin	TFRC	TSC2
0.20677	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
0.20624	0	1	GSK3.alpha.beta_pS21_S9	Tuberin_pT1462	GSK3A|GSK3B	TSC2
0.20213	0	1	Chk2	NF2	CHEK2	NF2
0.19823	0	1	Rictor_pT1135	Tuberin_pT1462	RICTOR	TSC2
0.19514	0	1	Fibronectin	p21	FN1	CDKN1A
