weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.88697	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.8409	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.73957	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.72097	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.61192	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.59248	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.5651	0	1	ER.alpha	GATA3	ESR1	GATA3
0.5154	0	1	Mre11	Stathmin	MRE11A	STMN1
0.49131	0	1	Chk1	Stathmin	CHEK1	STMN1
0.48318	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.47587	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.45648	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.45364	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.44722	0	1	Bid	N.Cadherin	BID	CDH2
0.44701	0	1	Collagen_VI	Rab11	COL6A1|COL6A2|COL6A3|COL6A5	RAB11A
0.44546	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.44098	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.43805	0	1	Chk2_pT68	p53	CHEK2	TP53
0.4358	0	1	ER.alpha	ER.alpha_pS118	ESR1	ESR1
0.4271	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.39831	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.36442	0	1	GSK3_pS9	Tuberin_pT1462	GSK3B	TSC2
0.35837	0	1	Ku80	RBM15	XRCC5	RBM15
0.35739	0	1	eIF4G	RBM15	EIF4G1|EIF4G2|EIF4G3	RBM15
0.35479	0	1	Bid	EGFR_pY1173	BID	EGFR
0.35054	0	1	HSP70	N.Cadherin	HSPA1A	CDH2
0.33016	0	1	RBM15	S6	RBM15	RPS6
0.32691	1	1	Caveolin.1	Collagen_VI	CAV1	COL6A1|COL6A2|COL6A3|COL6A5
0.32526	0	1	GATA3	INPP4B	GATA3	INPP4B
0.32164	0	1	ACC1	FASN	ACACA	FASN
0.32072	0	1	CD31	Mre11	PECAM1	MRE11A
0.31087	0	-1	EGFR	GATA3	EGFR	GATA3
0.30728	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.30411	0	1	Annexin.1	PKC.alpha_pS657	ANXA1	PRKCA
0.29864	0	1	MYH11	Rictor	MYH11	RICTOR
0.29622	0	1	Mre11	p27_pT157	MRE11A	CDKN1B
0.29493	1	1	AR	ER.alpha	AR	ESR1
0.29103	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.2893	0	1	CD20	ETS.1	MS4A1	ETS1
