weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.89884	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.88883	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.86917	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.86709	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.8413	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.83219	0	1	ER.alpha	GATA3	ESR1	GATA3
0.78454	0	1	Bid	N.Cadherin	BID	CDH2
0.78357	0	1	Mre11	Stathmin	MRE11A	STMN1
0.78243	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.76922	0	1	Collagen_VI	Rab11	COL6A1|COL6A2|COL6A3|COL6A5	RAB11A
0.76812	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.76732	0	1	Chk1	Stathmin	CHEK1	STMN1
0.76606	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.7561	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.75269	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.75239	0	1	Bid	Rab11	BID	RAB11A
0.74755	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.74533	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.72837	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.72522	0	1	c.Met_pY1235	Chk2_pT68	MET	CHEK2
0.71915	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.71185	0	1	HSP70	N.Cadherin	HSPA1A	CDH2
0.71167	1	1	Caveolin.1	Collagen_VI	CAV1	COL6A1|COL6A2|COL6A3|COL6A5
-0.70713	0	-1	Collagen_VI	RBM15	COL6A1|COL6A2|COL6A3|COL6A5	RBM15
0.70664	0	1	Chk2_pT68	p53	CHEK2	TP53
