weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.87055	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.83637	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.83343	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.8317	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.78528	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.76803	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.65579	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.56213	0	1	MYH11	Rictor	MYH11	RICTOR
0.55763	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.55413	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.51659	0	1	YAP	YAP_pS127	YAP1	YAP1
0.51271	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
0.50935	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.47161	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.45745	0	1	Beclin	XBP1	BECN1	XBP1
0.45285	1	1	PKC.delta_pS664	PKC.pan_BetaII_pS660	PRKCD	PRKCB
0.42356	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.40937	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.39108	0	1	Src	Src_pY527	SRC	SRC
0.38629	0	1	mTOR	mTOR_pS2448	FRAP1|MTOR	FRAP1|MTOR
0.38501	0	1	ER.alpha	GATA3	ESR1	GATA3
0.36645	1	1	PI3K.p110.alpha	PI3K.p85	PIK3CA	PIK3R1
0.36341	0	1	4E.BP1_pT37T46	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.34356	0	1	4E.BP1	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.34228	0	1	ER.alpha	ER.alpha_pS118	ESR1	ESR1
0.34041	0	1	Chk2	Chk2_pT68	CHEK2	CHEK2
0.32888	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
0.32587	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.32042	0	1	Caspase.7_cleavedD198	Lck	CASP7	LCK
0.31466	1	1	Bcl.2	Bim	BCL2	BCL2L11
0.31225	0	1	ERK2	PEA.15	MAPK1	PEA15
0.31144	0	1	4E.BP1_pS65	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
0.305	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.30251	1	1	c.Jun_pS73	CDK1	JUN	CDK1
0.30053	0	1	CD20	ETS.1	MS4A1	ETS1
0.29598	0	1	4E.BP1	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
-0.29581	0	-1	TRFC	TSC1	TFRC	TSC1
0.29008	0	1	p90RSK	PKC.pan_BetaII_pS660	RPS6KA1	PRKCB
0.28775	1	1	EGFR_pY1068	Src_pY416	EGFR	SRC
0.28466	0	1	Tuberin	Tuberin_pT1462	TSC2	TSC2
0.28222	0	1	Rictor_pT1135	TIGAR	RICTOR	C12ORF5
