weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.89387	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.88072	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.83027	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.82579	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.79794	0	1	ER.alpha	GATA3	ESR1	GATA3
0.77791	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.75795	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.75291	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.75198	0	1	ER.alpha	ER.alpha_pS118	ESR1	ESR1
0.74657	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.73531	0	1	Chk1	Stathmin	CHEK1	STMN1
0.73161	0	1	Bid	N.Cadherin	BID	CDH2
0.72232	0	1	Collagen_VI	Rab11	COL6A1|COL6A2|COL6A3|COL6A5	RAB11A
0.72209	0	1	Mre11	Stathmin	MRE11A	STMN1
0.71348	1	1	Caveolin.1	Collagen_VI	CAV1	COL6A1|COL6A2|COL6A3|COL6A5
0.70644	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.7045	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.70169	0	1	Chk2_pT68	p53	CHEK2	TP53
0.6957	0	1	ER.alpha_pS118	GATA3	ESR1	GATA3
0.68551	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.68459	0	1	c.Met_pY1235	Chk2_pT68	MET	CHEK2
0.68355	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.68297	0	1	eIF4G	RBM15	EIF4G1|EIF4G2|EIF4G3	RBM15
0.67479	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.67157	0	1	GSK3_pS9	Tuberin_pT1462	GSK3B	TSC2
