weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.09281	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.96581	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.79739	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.65219	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.61736	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.59256	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.56423	0	1	N.Ras	SF2	NRAS	SRSF1
0.52621	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.52463	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.52109	0	1	53BP1	eIF4G	TP53BP1	EIF4G1|EIF4G2|EIF4G3
0.52049	0	1	Bap1.c.4	eIF4G	BAP1	EIF4G1|EIF4G2|EIF4G3
0.51244	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.50331	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.49385	0	1	53BP1	Bap1.c.4	TP53BP1	BAP1
0.46854	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.46037	0	1	Bap1.c.4	FoxM1	BAP1	FOXM1
0.45034	0	1	N.Ras	SCD1	NRAS	SCD
0.44938	0	1	HER2	PEA15_pS116	ERBB2	PEA15
0.44916	1	1	Akt	STAT5.alpha	AKT1|AKT2|AKT3	STAT5A
0.43866	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.43733	0	1	53BP1	GAB2	TP53BP1	GAB2
0.43556	1	1	GAB2	STAT5.alpha	GAB2	STAT5A
0.43276	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.42251	0	1	53BP1	beta.Catenin	TP53BP1	CTNNB1
0.42214	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.42211	0	1	Caveolin.1	Rictor	CAV1	RICTOR
0.42119	0	1	eIF4G	STAT5.alpha	EIF4G1|EIF4G2|EIF4G3	STAT5A
0.41712	0	1	eIF4G	GAB2	EIF4G1|EIF4G2|EIF4G3	GAB2
0.4149	0	1	53BP1	Tuberin	TP53BP1	TSC2
0.41412	0	1	ARHI	N.Ras	DIRAS3	NRAS
0.40916	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.40762	0	1	Bap1.c.4	Ku80	BAP1	XRCC5
0.40497	0	1	GSK3_pS9	MAPK_pT202_Y204	GSK3B	MAPK1|MAPK3
0.40427	0	1	ETS.1	YB.1	ETS1	YBX1
0.40306	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
0.39984	0	1	53BP1	B.Raf	TP53BP1	BRAF
0.3977	0	1	eEF2	PCNA	EEF2	PCNA
0.39741	0	1	FOXO3a	N.Ras	FOXO3	NRAS
0.39618	0	1	GAB2	Tuberin	GAB2	TSC2
0.39506	0	1	53BP1	Ku80	TP53BP1	XRCC5
0.39259	0	1	53BP1	STAT5.alpha	TP53BP1	STAT5A
0.38999	0	1	GSK3.alpha.beta_pS21_S9	p38_pT180_Y182	GSK3A|GSK3B	MAPK14
0.38796	0	1	eEF2	PEA15_pS116	EEF2	PEA15
0.38413	0	1	PEA15_pS116	YB.1	PEA15	YBX1
0.38254	0	1	GSK3.alpha.beta_pS21_S9	Src_pY527	GSK3A|GSK3B	SRC
0.37698	1	1	14.3.3_beta	FOXO3a	YWHAB	FOXO3
0.37168	0	1	Bap1.c.4	Tuberin	BAP1	TSC2
0.37028	0	1	GSK3.alpha.beta_pS21_S9	MAPK_pT202_Y204	GSK3A|GSK3B	MAPK1|MAPK3
0.36834	0	1	Akt	Dvl3	AKT1|AKT2|AKT3	DVL3
0.36794	0	1	eIF4G	NF.kB.p65_pS536	EIF4G1|EIF4G2|EIF4G3	NFKB1
0.36008	0	1	53BP1	E.Cadherin	TP53BP1	CDH1
0.35956	0	1	STAT5.alpha	Tuberin	STAT5A	TSC2
0.3591	0	1	Bap1.c.4	RBM15	BAP1	RBM15
