weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.09281	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.96581	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.79739	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.65219	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.61736	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.59256	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.56423	0	1	N.Ras	SF2	NRAS	SRSF1
0.52621	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.52463	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.52109	0	1	53BP1	eIF4G	TP53BP1	EIF4G1|EIF4G2|EIF4G3
0.52049	0	1	Bap1.c.4	eIF4G	BAP1	EIF4G1|EIF4G2|EIF4G3
0.51244	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.46037	0	1	Bap1.c.4	FoxM1	BAP1	FOXM1
0.45034	0	1	N.Ras	SCD1	NRAS	SCD
0.44938	0	1	HER2	PEA15_pS116	ERBB2	PEA15
0.44916	1	1	Akt	STAT5.alpha	AKT1|AKT2|AKT3	STAT5A
0.43866	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.43733	0	1	53BP1	GAB2	TP53BP1	GAB2
0.43276	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.42214	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.42211	0	1	Caveolin.1	Rictor	CAV1	RICTOR
0.40916	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.40762	0	1	Bap1.c.4	Ku80	BAP1	XRCC5
0.40427	0	1	ETS.1	YB.1	ETS1	YBX1
0.40306	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
0.3977	0	1	eEF2	PCNA	EEF2	PCNA
0.39741	0	1	FOXO3a	N.Ras	FOXO3	NRAS
0.38999	0	1	GSK3.alpha.beta_pS21_S9	p38_pT180_Y182	GSK3A|GSK3B	MAPK14
0.38254	0	1	GSK3.alpha.beta_pS21_S9	Src_pY527	GSK3A|GSK3B	SRC
0.36834	0	1	Akt	Dvl3	AKT1|AKT2|AKT3	DVL3
0.36794	0	1	eIF4G	NF.kB.p65_pS536	EIF4G1|EIF4G2|EIF4G3	NFKB1
0.3591	0	1	Bap1.c.4	RBM15	BAP1	RBM15
0.35571	0	1	Dvl3	Paxillin	DVL3	PXN
0.35334	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
0.34997	0	-1	Chk1	STAT5.alpha	CHEK1	STAT5A
0.34344	0	1	GSK3_pS9	PRAS40_pT246	GSK3B	AKT1S1
0.34126	0	1	4E.BP1_pS65	Rictor	EIF4EBP1	RICTOR
0.33684	0	1	Bap1.c.4	eEF2K	BAP1	EEF2K
0.32685	1	1	Collagen_VI	Fibronectin	COL6A1|COL6A2|COL6A3|COL6A5	FN1
0.3268	0	1	PDCD4	PKC.pan_BetaII_pS660	PDCD4	PRKCB
0.32605	1	1	Heregulin	N.Ras	NRG1	NRAS
0.32584	0	1	S6_pS235_S236	YB.1_pS102	RPS6	YBX1
0.32525	1	1	GAB2	HER3	GAB2	ERBB3
0.32121	1	1	AR	ER.alpha	AR	ESR1
0.31952	0	1	A.Raf_pS299	N.Ras	ARAF	NRAS
0.31576	1	1	PKC.alpha	PKC.delta_pS664	PRKCA	PRKCD
0.31463	0	1	Annexin.1	Fibronectin	ANXA1	FN1
0.31296	0	1	N.Ras	PR	NRAS	PGR
0.31201	0	1	Mre11	Stathmin	MRE11A	STMN1
0.30711	0	1	C.Raf_pS338	HER3_pY1289	RAF1	ERBB3
0.30556	0	1	Bad_pS112	NF.kB.p65_pS536	BAD	NFKB1
0.30116	1	1	eIF4G	p70S6K	EIF4G1|EIF4G2|EIF4G3	RPS6KB1
0.30051	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
