weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.66964	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.53008	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.46318	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.46283	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.39797	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.37523	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.31192	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.28602	0	1	PI3K.p85	PTEN	PIK3R1	PTEN
0.2575	0	1	Akt_pT308	AMPK_alpha	AKT1|AKT2|AKT3	PRKAA1
0.25701	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
0.2422	0	1	p90RSK_pT359_S363	PKC.alpha_pS657	RPS6KA1	PRKCA
0.22488	1	1	PKC.alpha_pS657	PKC.delta_pS664	PRKCA	PRKCD
0.21782	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.21745	1	1	Src_pY416	STAT3_pY705	SRC	STAT3
0.20725	0	1	Beclin	XBP1	BECN1	XBP1
0.20424	1	1	PKC.alpha	PKC.delta_pS664	PRKCA	PRKCD
0.20007	0	1	14.3.3_beta	Beclin	YWHAB	BECN1
0.19549	0	1	YAP	YAP_pS127	YAP1	YAP1
0.18978	0	1	AMPK_alpha	CDK1	PRKAA1	CDK1
0.18786	0	1	Akt_pT308	CDK1	AKT1|AKT2|AKT3	CDK1
0.18662	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
0.18571	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.18449	0	1	mTOR	mTOR_pS2448	FRAP1|MTOR	FRAP1|MTOR
0.17589	0	1	PEA15_pS116	YB.1	PEA15	YBX1
0.17469	0	1	ETS.1	HER2	ETS1	ERBB2
0.17402	0	1	Caveolin.1	Rictor	CAV1	RICTOR
0.17054	0	1	S6_pS235_S236	YB.1_pS102	RPS6	YBX1
0.1704	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.16834	0	1	Cyclin_E2	N.Cadherin	CCNE2	CDH2
0.16303	0	1	JNK_pT183_Y185	p38_pT180_Y182	MAPK8|MAPK9	MAPK14
0.15738	0	1	MYH11	Rictor	MYH11	RICTOR
0.15733	1	1	Akt_pT308	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.15611	0	1	4E.BP1_pT37T46	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.15446	1	1	Bak	Bid	BAK1	BID
0.15419	1	1	c.Jun_pS73	CDK1	JUN	CDK1
0.15351	0	-1	Src	Src_pY527	SRC	SRC
0.15304	0	1	ACC1	FASN	ACACA	FASN
0.15286	0	1	4E.BP1_pS65	ACVRL1	EIF4EBP1	ACVRL1
0.15282	0	1	EGFR_pY1173	ER.alpha_pS118	EGFR	ESR1
0.15066	0	1	14.3.3_beta	XBP1	YWHAB	XBP1
0.1486	0	1	ARID1A	eIF4G	ARID1A	EIF4G1|EIF4G2|EIF4G3
0.14832	0	1	TSC1	YAP_pS127	TSC1	YAP1
0.14762	0	1	ARHI	SF2	DIRAS3	SRSF1
0.14681	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.14663	0	1	14.3.3_zeta	DJ.1	YWHAZ	PARK7
0.14424	0	1	4E.BP1_pS65	Rictor	EIF4EBP1	RICTOR
0.14417	0	1	GATA3	PREX1	GATA3	PREX1
0.14221	0	1	JNK_pT183_Y185	MAPK_pT202_Y204	MAPK8|MAPK9	MAPK1|MAPK3
0.14043	1	1	CDK1	Cyclin_B1	CDK1	CCNB1
0.13872	0	1	ETS.1	YB.1	ETS1	YBX1
0.13696	0	1	Caspase.7_cleavedD198	PREX1	CASP7	PREX1
0.13607	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.13605	0	1	N.Cadherin	PRAS40_pT246	CDH2	AKT1S1
0.13579	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.13516	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.13462	0	1	Bid	N.Cadherin	BID	CDH2
0.13432	1	1	ERK2	p90RSK	MAPK1	RPS6KA1
0.13412	0	1	p21	TAZ	CDKN1A	WWTR1
0.13376	0	1	p27	p27_pT198	CDKN1B	CDKN1B
0.13218	0	1	PRAS40_pT246	Tuberin_pT1462	AKT1S1	TSC2
0.13154	0	1	PEA.15	YAP_pS127	PEA15	YAP1
0.13101	0	1	p27_pT157	PRAS40_pT246	CDKN1B	AKT1S1
0.13092	0	1	ARHI	N.Ras	DIRAS3	NRAS
0.13029	0	1	ATM	TSC1	ATM	TSC1
0.12996	0	1	Claudin.7	E.Cadherin	CLDN7	CDH1
0.12909	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.12903	0	1	S6	S6_pS235_S236	RPS6	RPS6
0.129	0	1	STAT3_pY705	TIGAR	STAT3	C12ORF5
0.12832	1	1	ATM	Rad50	ATM	RAD50
0.1276	0	1	JNK2	MEK1	MAPK9	MAP2K1
0.12742	0	1	ERK2	PEA.15	MAPK1	PEA15
0.12722	0	1	EGFR_pY1173	Rab11	EGFR	RAB11A
0.12496	0	1	Chk2	Chk2_pT68	CHEK2	CHEK2
0.12493	0	1	Bim	p27	BCL2L11	CDKN1B
0.12473	1	1	4E.BP1	eIF4E	EIF4EBP1	EIF4E
-0.12403	0	-1	Bad_pS112	Smad1	BAD	SMAD1
0.12402	0	1	p38_pT180_Y182	PKC.pan_BetaII_pS660	MAPK14	PRKCB
0.12355	0	1	eEF2	PEA15_pS116	EEF2	PEA15
0.12333	1	1	ER.alpha	PR	ESR1	PGR
0.12314	0	1	Chk1_pS345	Chk2_pT68	CHEK1	CHEK2
0.12291	1	1	Lck	PRDX1	LCK	PRDX1
0.12235	0	1	GATA3	PR	GATA3	PGR
0.12233	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.12232	0	1	C.Raf_pS338	GATA3	RAF1	GATA3
0.12194	0	1	N.Ras	SF2	NRAS	SRSF1
-0.12149	0	-1	p90RSK_pT359_S363	PKC.alpha	RPS6KA1	PRKCA
-0.12117	0	-1	LKB1	MYH11	STK11	MYH11
0.12092	0	1	c.Jun_pS73	NF.kB.p65_pS536	JUN	NFKB1
0.1201	1	1	NF.kB.p65_pS536	p38_pT180_Y182	NFKB1	MAPK14
0.11988	0	1	Chk2	ERK2	CHEK2	MAPK1
0.11936	0	1	Annexin.1	PREX1	ANXA1	PREX1
0.11927	1	1	Akt_pT308	PRAS40_pT246	AKT1|AKT2|AKT3	AKT1S1
0.11877	0	1	Cyclin_B1	Rb_pS807_S811	CCNB1	RB1
-0.11876	0	-1	mTOR_pS2448	Src	FRAP1|MTOR	SRC
0.11873	0	1	4E.BP1_pT70	LKB1	EIF4EBP1	STK11
0.11862	0	1	Bcl.2	p27	BCL2	CDKN1B
0.11857	0	1	ACC_pS79	FASN	ACACA|ACACB	FASN
0.11847	0	1	SCD1	SF2	SCD	SRSF1
0.11708	0	1	Rab.25	Rab11	RAB25	RAB11A
0.11705	0	1	HER2	PEA15_pS116	ERBB2	PEA15
0.11694	0	1	GSK3.alpha.beta_pS21_S9	p38_pT180_Y182	GSK3A|GSK3B	MAPK14
-0.11668	0	-1	GATA3	TIGAR	GATA3	C12ORF5
0.11655	0	1	P.Cadherin	p27_pT198	CDH3	CDKN1B
0.11645	1	1	MEK1	Src_pY527	MAP2K1	SRC
-0.11637	0	-1	HER2_pY1248	PRDX1	ERBB2	PRDX1
0.11613	0	1	GSK3_pS9	p38_pT180_Y182	GSK3B	MAPK14
0.116	0	1	4E.BP1_pS65	Caveolin.1	EIF4EBP1	CAV1
0.11567	0	1	AMPK_alpha	PKC.pan_BetaII_pS660	PRKAA1	PRKCB
0.11562	0	1	TAZ	XBP1	WWTR1	XBP1
0.11477	0	1	XBP1	YAP	XBP1	YAP1
0.11438	0	1	BRCA2	GATA3	BRCA2	GATA3
-0.11416	0	-1	Beclin	Rab11	BECN1	RAB11A
0.11415	0	1	Caveolin.1	MYH11	CAV1	MYH11
0.11383	0	1	4E.BP1_pS65	CDK1	EIF4EBP1	CDK1
0.11378	0	1	PDK1	Src	PDK1	SRC
0.11334	0	1	ACC_pS79	mTOR_pS2448	ACACA|ACACB	FRAP1|MTOR
0.11196	0	1	JNK_pT183_Y185	STAT3_pY705	MAPK8|MAPK9	STAT3
0.11193	0	1	c.Met_pY1235	PKC.delta_pS664	MET	PRKCD
0.11191	1	1	Bcl.xL	JNK2	BCL2L1	MAPK9
0.11147	0	1	eIF4E	N.Cadherin	EIF4E	CDH2
0.11131	0	1	Dvl3	Paxillin	DVL3	PXN
0.1111	0	1	N.Ras	SCD1	NRAS	SCD
0.11083	1	1	Src	STAT3_pY705	SRC	STAT3
0.11047	0	1	CD20	GATA3	MS4A1	GATA3
0.11043	0	1	4E.BP1_pT37T46	Rb_pS807_S811	EIF4EBP1	RB1
0.11038	0	1	Heregulin	SF2	NRG1	SRSF1
-0.11017	0	1	E.Cadherin	JNK2	CDH1	MAPK9
0.1101	0	1	Mre11	N.Cadherin	MRE11A	CDH2
0.10976	0	1	ARHI	SCD1	DIRAS3	SCD
-0.10949	0	-1	INPP4B	P.Cadherin	INPP4B	CDH3
0.1094	0	1	4E.BP1_pT37T46	YAP_pS127	EIF4EBP1	YAP1
0.10921	0	-1	Myosin.IIa_pS1943	Paxillin	MYH9	PXN
-0.10882	0	-1	AMPK_alpha	Tuberin_pT1462	PRKAA1	TSC2
0.10866	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
0.10843	0	1	DJ.1	P.Cadherin	PARK7	CDH3
0.10833	1	1	Fibronectin	PAI.1	FN1	SERPINE1
0.10801	0	1	Bcl.2	Smad4	BCL2	SMAD4
0.108	0	1	eIF4G	NF.kB.p65_pS536	EIF4G1|EIF4G2|EIF4G3	NFKB1
0.10791	0	1	Src_pY416	TIGAR	SRC	C12ORF5
-0.10755	1	1	Fibronectin	Lck	FN1	LCK
-0.10733	0	-1	PRDX1	Smad1	PRDX1	SMAD1
0.10702	0	1	p27_pT157	PKC.alpha_pS657	CDKN1B	PRKCA
0.10662	1	1	ARID1A	Smad1	ARID1A	SMAD1
0.10653	0	1	Bad_pS112	NF.kB.p65_pS536	BAD	NFKB1
0.10639	0	1	EGFR_pY1173	eIF4E	EGFR	EIF4E
0.10639	0	1	eIF4E	Smad1	EIF4E	SMAD1
-0.10633	0	-1	GAPDH	Rictor_pT1135	GAPDH	RICTOR
0.10613	0	1	4E.BP1_pT37T46	S6_pS240_S244	EIF4EBP1	RPS6
0.1061	1	1	Lck	PKC.alpha_pS657	LCK	PRKCA
0.10564	0	1	p21	p27_pT157	CDKN1A	CDKN1B
0.10562	0	-1	P.Cadherin	TSC1	CDH3	TSC1
