weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.86392	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.79388	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.70069	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.69701	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.65517	0	1	Cyclin_E2	N.Cadherin	CCNE2	CDH2
0.6395	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.62923	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.62082	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.57982	0	1	p90RSK_pT359_S363	PKC.alpha_pS657	RPS6KA1	PRKCA
0.53123	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.50121	0	1	PI3K.p85	PTEN	PIK3R1	PTEN
0.49801	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
0.46343	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
0.45837	0	1	Akt_pT308	AMPK_alpha	AKT1|AKT2|AKT3	PRKAA1
0.44468	0	1	YAP	YAP_pS127	YAP1	YAP1
0.41193	0	1	mTOR	mTOR_pS2448	FRAP1|MTOR	FRAP1|MTOR
0.41011	0	-1	Src	Src_pY527	SRC	SRC
-0.38173	0	-1	p90RSK_pT359_S363	PKC.alpha	RPS6KA1	PRKCA
0.37439	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
-0.36075	0	1	ACC1	S6_pS240_S244	ACACA	RPS6
-0.35478	1	1	Cyclin_E1	Rb_pS807_S811	CCNE1	RB1
0.35229	0	1	PEA15_pS116	YB.1	PEA15	YBX1
0.34822	0	1	S6_pS235_S236	YB.1_pS102	RPS6	YBX1
0.3443	0	-1	4E.BP1_pS65	Shc_pY317	EIF4EBP1	SHC1
0.3441	0	1	4E.BP1_pT37T46	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.34177	0	1	14.3.3_zeta	DJ.1	YWHAZ	PARK7
0.33683	0	-1	Chk2	Rictor	CHEK2	RICTOR
0.3344	0	1	14.3.3_beta	Beclin	YWHAB	BECN1
-0.33404	0	-1	P.Cadherin	PRAS40_pT246	CDH3	AKT1S1
0.33381	0	1	JNK_pT183_Y185	p38_pT180_Y182	MAPK8|MAPK9	MAPK14
0.3338	0	1	ARID1A	eIF4G	ARID1A	EIF4G1|EIF4G2|EIF4G3
0.33158	1	1	PKC.alpha_pS657	PKC.delta_pS664	PRKCA	PRKCD
0.33141	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
-0.33071	0	1	Fibronectin	PRDX1	FN1	PRDX1
0.33042	0	1	TSC1	YAP_pS127	TSC1	YAP1
0.33036	0	1	Akt_pT308	Notch1	AKT1|AKT2|AKT3	NOTCH1
0.3297	0	1	GSK3_pS9	Shc_pY317	GSK3B	SHC1
-0.32924	0	-1	Bad_pS112	Smad1	BAD	SMAD1
0.3258	0	1	14.3.3_beta	XBP1	YWHAB	XBP1
0.32372	0	1	ETS.1	HER2	ETS1	ERBB2
0.32357	0	-1	p90RSK_pT359_S363	Rad51	RPS6KA1	RAD51
0.32135	0	1	Annexin.1	MIG.6	ANXA1	ERRFI1
-0.31928	0	-1	N.Ras	Smad3	NRAS	SMAD3
0.3189	0	1	GSK3.alpha.beta	PDK1_pS241	GSK3A|GSK3B	PDK1
0.31805	0	-1	P.Cadherin	TSC1	CDH3	TSC1
0.31784	0	1	eIF4G	Paxillin	EIF4G1|EIF4G2|EIF4G3	PXN
-0.3158	0	-1	GSK3.alpha.beta	PDK1	GSK3A|GSK3B	PDK1
0.31383	0	-1	c.Myc	Chk1	MYC	CHEK1
0.31353	0	1	ACC1	S6_pS235_S236	ACACA	RPS6
0.31287	0	1	C.Raf	eIF4G	RAF1	EIF4G1|EIF4G2|EIF4G3
0.31283	0	1	EGFR_pY1173	ER.alpha_pS118	EGFR	ESR1
0.31266	0	1	Claudin.7	E.Cadherin	CLDN7	CDH1
0.31201	0	1	JNK_pT183_Y185	MAPK_pT202_Y204	MAPK8|MAPK9	MAPK1|MAPK3
0.30933	0	1	Caveolin.1	MYH11	CAV1	MYH11
-0.30743	0	-1	p27_pT157	PKC.alpha	CDKN1B	PRKCA
0.304	0	1	4E.BP1_pS65	YAP_pS127	EIF4EBP1	YAP1
0.30314	0	1	eIF4E	N.Cadherin	EIF4E	CDH2
-0.29967	0	-1	PCNA	VEGFR2	PCNA	KDR
-0.29852	0	-1	Bim	C.Raf_pS338	BCL2L11	RAF1
0.29699	0	1	Cyclin_B1	Rad51	CCNB1	RAD51
-0.2962	0	-1	4E.BP1_pT37T46	Paxillin	EIF4EBP1	PXN
-0.29617	0	-1	ACC1	p90RSK_pT359_S363	ACACA	RPS6KA1
0.29547	0	1	ERK2	PEA.15	MAPK1	PEA15
0.29483	0	-1	TAZ	YAP_pS127	WWTR1	YAP1
-0.29416	0	-1	Bad_pS112	TAZ	BAD	WWTR1
-0.29349	0	-1	Caspase.7_cleavedD198	GSK3_pS9	CASP7	GSK3B
0.29332	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.29313	1	1	CDK1	Cyclin_B1	CDK1	CCNB1
0.29191	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.29116	0	1	p90RSK	STAT5.alpha	RPS6KA1	STAT5A
0.28995	0	1	MYH11	Rictor	MYH11	RICTOR
-0.28987	0	-1	53BP1	PCNA	TP53BP1	PCNA
0.2895	0	1	p38_pT180_Y182	PKC.pan_BetaII_pS660	MAPK14	PRKCB
0.28775	0	1	STAT5.alpha	YB.1	STAT5A	YBX1
-0.28645	0	-1	B.Raf	PRDX1	BRAF	PRDX1
0.28631	0	1	Rb_pS807_S811	STAT3_pY705	RB1	STAT3
-0.28621	0	-1	ACVRL1	PDK1_pS241	ACVRL1	PDK1
0.2861	0	1	Annexin.1	Annexin_VII	ANXA1	ANXA7
0.28533	1	1	MEK1	Src_pY527	MAP2K1	SRC
0.28518	1	1	ATM	Rad50	ATM	RAD50
0.28498	0	1	4E.BP1	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.28441	1	1	c.Jun_pS73	CDK1	JUN	CDK1
0.28382	0	1	GATA3	PREX1	GATA3	PREX1
-0.28136	0	1	TAZ	YB.1	WWTR1	YBX1
-0.2811	0	-1	p90RSK	PEA.15	RPS6KA1	PEA15
