weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.92672	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.87946	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.8743	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.81448	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.81067	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.78565	0	1	N.Ras	SF2	NRAS	SRSF1
0.76922	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.7672	0	1	Bap1.c.4	eIF4G	BAP1	EIF4G1|EIF4G2|EIF4G3
0.76712	0	1	Bap1.c.4	FoxM1	BAP1	FOXM1
0.75056	0	1	ARHI	N.Ras	DIRAS3	NRAS
0.74312	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.73945	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.72842	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.72733	0	1	N.Ras	SCD1	NRAS	SCD
0.72554	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.72039	0	1	GSK3_pS9	MAPK_pT202_Y204	GSK3B	MAPK1|MAPK3
0.71979	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.71905	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.71548	0	1	53BP1	Bap1.c.4	TP53BP1	BAP1
0.71415	0	1	Dvl3	Paxillin	DVL3	PXN
0.70831	0	1	SCD1	SF2	SCD	SRSF1
0.70546	1	1	Akt_pS473	GSK3.alpha.beta_pS21_S9	AKT1|AKT2|AKT3	GSK3A|GSK3B
0.6996	0	1	GAB2	Tuberin	GAB2	TSC2
0.69902	0	1	53BP1	Tuberin	TP53BP1	TSC2
0.69669	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.69102	0	1	Caveolin.1	Rictor	CAV1	RICTOR
0.68998	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.68846	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.68718	1	1	14.3.3_beta	FOXO3a	YWHAB	FOXO3
