weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.30027	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
1.25992	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
1.19534	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.92657	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.92581	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.85023	1	1	EGFR_pY1173	HER2_pY1248	EGFR	ERBB2
0.75619	1	1	PKC.alpha	PKC.delta_pS664	PRKCA	PRKCD
0.75402	1	1	PKC.alpha_pS657	PKC.pan_BetaII_pS660	PRKCA	PRKCB
0.72552	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.6843	1	1	PKC.alpha_pS657	PKC.delta_pS664	PRKCA	PRKCD
0.679	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.67341	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.6579	1	1	PKC.alpha	PKC.pan_BetaII_pS660	PRKCA	PRKCB
0.61934	0	1	PI3K.p85	PTEN	PIK3R1	PTEN
0.59947	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.56614	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.53455	0	1	EGFR	EGFR_pY1173	EGFR	EGFR
0.52919	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.52273	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.51701	1	1	PKC.delta_pS664	PKC.pan_BetaII_pS660	PRKCD	PRKCB
0.50237	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.49857	0	1	Mre11	Rab11	MRE11A	RAB11A
0.49673	0	1	PKC.pan_BetaII_pS660	Tuberin	PRKCB	TSC2
0.49358	1	1	Bak	Bid	BAK1	BID
0.4853	0	1	N.Ras	SF2	NRAS	SRSF1
0.46103	0	1	CD20	Rab11	MS4A1	RAB11A
0.45766	0	1	GSK3.alpha.beta_pS21_S9	Tuberin_pT1462	GSK3A|GSK3B	TSC2
0.45295	0	-1	CD31	Tuberin	PECAM1	TSC2
0.45222	0	1	14.3.3_beta	ACVRL1	YWHAB	ACVRL1
0.44357	0	1	Chk2_pT68	Rab11	CHEK2	RAB11A
0.44202	1	1	Akt_pT308	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.44158	0	1	Annexin_VII	N.Ras	ANXA7	NRAS
0.4414	1	1	Chk2_pT68	Mre11	CHEK2	MRE11A
0.44019	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.43927	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.43388	0	1	CD20	GATA3	MS4A1	GATA3
0.42542	0	1	c.Met_pY1235	CD20	MET	MS4A1
0.41765	0	-1	Rab11	Tuberin	RAB11A	TSC2
0.41697	0	1	GSK3.alpha.beta	PDK1_pS241	GSK3A|GSK3B	PDK1
0.41656	0	1	c.Met_pY1235	Rad51	MET	RAD51
0.41608	0	1	mTOR	PKC.pan_BetaII_pS660	FRAP1|MTOR	PRKCB
0.41125	0	1	PDK1_pS241	PKC.pan_BetaII_pS660	PDK1	PRKCB
0.40923	0	1	PKC.alpha_pS657	Tuberin	PRKCA	TSC2
0.40763	0	1	CD20	Cyclin_D1	MS4A1	CCND1
0.40676	0	1	14.3.3_beta	SCD1	YWHAB	SCD
0.40377	0	1	Cyclin_D1	Mre11	CCND1	MRE11A
0.40183	0	1	ATM	RBM15	ATM	RBM15
0.39972	0	1	Raptor	Tuberin	RPTOR	TSC2
0.39896	0	1	Mre11	Rad51	MRE11A	RAD51
0.39876	0	1	PKC.alpha	Tuberin	PRKCA	TSC2
0.39868	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.39653	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.39455	0	1	ERK2	PEA.15	MAPK1	PEA15
0.39183	0	1	ARHI	Rab.25	DIRAS3	RAB25
0.39172	1	1	EGFR	HER2_pY1248	EGFR	ERBB2
0.38978	0	-1	mTOR	Rab11	FRAP1|MTOR	RAB11A
0.38452	0	1	PDK1_pS241	Tuberin	PDK1	TSC2
0.38126	0	1	14.3.3_beta	Rab.25	YWHAB	RAB25
0.37848	0	1	53BP1	RBM15	TP53BP1	RBM15
0.37845	1	1	14.3.3_beta	FOXO3a	YWHAB	FOXO3
0.37535	0	1	HSP70	Rab11	HSPA1A	RAB11A
0.36669	1	1	GSK3.alpha.beta	GSK3.alpha.beta_pS21_S9	GSK3A|GSK3B	GSK3A|GSK3B
0.36577	0	1	GSK3.alpha.beta	mTOR	GSK3A|GSK3B	FRAP1|MTOR
0.36577	1	1	EGFR_pY1173	Src_pY416	EGFR	SRC
0.36545	0	1	Bak	Caspase.7_cleavedD198	BAK1	CASP7
0.3651	0	1	N.Ras	Rab.25	NRAS	RAB25
0.36429	1	1	EGFR_pY1068	Src_pY416	EGFR	SRC
