weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.09202	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.80601	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
0.63042	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.60649	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.59391	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.53963	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.42309	0	1	PI3K.p85	PTEN	PIK3R1	PTEN
0.40691	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.40105	1	1	EGFR_pY1173	HER2_pY1248	EGFR	ERBB2
0.40081	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.37668	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.37581	1	1	PKC.alpha	PKC.delta_pS664	PRKCA	PRKCD
0.37542	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.32868	0	1	MAPK_pT202_Y204	YB.1_pS102	MAPK1|MAPK3	YBX1
0.32053	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.26181	0	1	EGFR	EGFR_pY1173	EGFR	EGFR
0.25209	0	1	ERK2	PEA.15	MAPK1	PEA15
0.24324	1	1	PKC.alpha_pS657	PKC.delta_pS664	PRKCA	PRKCD
0.23861	1	1	PKC.alpha_pS657	PKC.pan_BetaII_pS660	PRKCA	PRKCB
0.23526	0	1	GSK3.alpha.beta_pS21_S9	Tuberin_pT1462	GSK3A|GSK3B	TSC2
0.23122	1	1	Caveolin.1	Collagen_VI	CAV1	COL6A1|COL6A2|COL6A3|COL6A5
0.20675	0	1	N.Ras	SF2	NRAS	SRSF1
0.19221	0	1	ARID1A	Bap1.c.4	ARID1A	BAP1
0.189	0	1	ETS.1	XBP1	ETS1	XBP1
0.17418	1	1	PKC.alpha	PKC.pan_BetaII_pS660	PRKCA	PRKCB
0.16645	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.16488	1	1	beta.Catenin	N.Cadherin	CTNNB1	CDH2
0.16422	0	1	14.3.3_beta	ACVRL1	YWHAB	ACVRL1
0.16182	1	1	Bak	Bid	BAK1	BID
0.15478	0	1	Caveolin.1	PAI.1	CAV1	SERPINE1
0.15316	1	1	PKC.delta_pS664	PKC.pan_BetaII_pS660	PRKCD	PRKCB
0.15219	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.15127	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.14526	0	1	JNK_pT183_Y185	p70S6K_pT389	MAPK8|MAPK9	RPS6KB1
0.14462	1	1	Akt_pT308	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.14442	1	1	EGFR	HER2_pY1248	EGFR	ERBB2
0.14404	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.14322	0	1	HER2_pY1248	Src_pY416	ERBB2	SRC
0.14146	0	1	CD20	Cyclin_D1	MS4A1	CCND1
0.14046	1	1	EGFR_pY1173	Src_pY416	EGFR	SRC
0.13999	0	1	CD20	GATA3	MS4A1	GATA3
0.13715	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.13655	0	1	ACVRL1	Annexin_VII	ACVRL1	ANXA7
0.13482	0	1	14.3.3_beta	A.Raf_pS299	YWHAB	ARAF
0.13198	0	1	Myosin.IIa_pS1943	NF2	MYH9	NF2
0.1314	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.12849	0	1	Annexin_VII	N.Ras	ANXA7	NRAS
0.12823	0	1	Beclin	CD31	BECN1	PECAM1
0.12673	0	1	Chk2_pT68	Rab11	CHEK2	RAB11A
0.12646	0	1	Chk2	PCNA	CHEK2	PCNA
0.12476	0	1	53BP1	p70S6K	TP53BP1	RPS6KB1
0.1235	0	1	Annexin.1	p62.LCK.ligand	ANXA1	SQSTM1
0.12215	1	1	B.Raf	MEK1	BRAF	MAP2K1
0.12171	0	1	N.Ras	Rab.25	NRAS	RAB25
0.12147	0	1	HSP70	Rab11	HSPA1A	RAB11A
0.12146	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.12038	0	1	GSK3.alpha.beta	PDK1_pS241	GSK3A|GSK3B	PDK1
0.12016	1	1	14.3.3_beta	FOXO3a	YWHAB	FOXO3
0.11619	0	1	Chk2	eEF2	CHEK2	EEF2
0.11554	0	1	A.Raf_pS299	Rab.25	ARAF	RAB25
0.11431	0	1	c.Met_pY1235	Rad51	MET	RAD51
0.11251	0	1	Rab.25	SF2	RAB25	SRSF1
0.11101	0	1	14.3.3_beta	SCD1	YWHAB	SCD
0.11024	0	1	Bax	STAT3_pY705	BAX	STAT3
0.11022	0	1	Chk2_pT68	Stathmin	CHEK2	STMN1
0.10981	1	1	EGFR_pY1068	Src_pY416	EGFR	SRC
0.10925	0	1	IGFBP2	PAI.1	IGFBP2	SERPINE1
0.10808	0	1	ATM	RBM15	ATM	RBM15
0.1071	0	1	p27_pT157	Rad51	CDKN1B	RAD51
0.10699	0	1	ARHI	Rab.25	DIRAS3	RAB25
0.10513	1	1	ATM	Rad50	ATM	RAD50
0.10298	0	1	Cyclin_E2	Rad51	CCNE2	RAD51
0.10183	0	1	Mre11	Rab11	MRE11A	RAB11A
0.10136	0	1	4E.BP1_pT70	HSP70	EIF4EBP1	HSPA1A
0.10131	0	1	GSK3.alpha.beta_pS21_S9	VHL	GSK3A|GSK3B	VHL
0.10108	0	-1	CD31	Tuberin	PECAM1	TSC2
0.101	0	1	PRAS40_pT246	Tuberin_pT1462	AKT1S1	TSC2
0.10082	0	1	c.Kit	GSK3.alpha.beta	KIT	GSK3A|GSK3B
0.10072	1	1	Fibronectin	PAI.1	FN1	SERPINE1
0.10069	0	1	Bak	Caspase.7_cleavedD198	BAK1	CASP7
0.1005	1	1	Lck	Syk	LCK	SYK
0.10015	1	1	Chk2_pT68	Mre11	CHEK2	MRE11A
0.09986	0	1	14.3.3_beta	Rab.25	YWHAB	RAB25
0.09831	0	1	JNK_pT183_Y185	MEK1	MAPK8|MAPK9	MAP2K1
0.09802	0	1	S6	S6_pS235_S236	RPS6	RPS6
0.09802	0	1	PKC.pan_BetaII_pS660	Tuberin	PRKCB	TSC2
0.09688	0	1	CD31	p53	PECAM1	TP53
0.09672	0	1	N.Ras	SCD1	NRAS	SCD
0.09669	0	1	p27	PEA.15	CDKN1B	PEA15
0.09665	0	1	ETS.1	HER2	ETS1	ERBB2
0.09475	1	-1	FOXO3a	STAT3_pY705	FOXO3	STAT3
0.0929	1	1	Akt_pT308	GSK3.alpha.beta_pS21_S9	AKT1|AKT2|AKT3	GSK3A|GSK3B
0.09275	0	1	Collagen_VI	p21	COL6A1|COL6A2|COL6A3|COL6A5	CDKN1A
0.09257	0	1	Raptor	Tuberin	RPTOR	TSC2
0.09171	1	1	eIF4E	p38_MAPK	EIF4E	MAPK14
0.09132	0	1	Caspase.7_cleavedD198	ER.alpha	CASP7	ESR1
0.09081	0	-1	c.Kit	PAI.1	KIT	SERPINE1
0.09061	0	1	A.Raf_pS299	ARHI	ARAF	DIRAS3
0.09047	0	1	C.Raf	RBM15	RAF1	RBM15
0.09016	0	1	Notch1	Rb_pS807_S811	NOTCH1	RB1
0.08994	0	1	Bap1.c.4	Dvl3	BAP1	DVL3
0.08908	0	-1	GSK3.alpha.beta	Rictor_pT1135	GSK3A|GSK3B	RICTOR
0.08882	1	1	ERK2	GAB2	MAPK1	GAB2
0.08871	0	1	ETS.1	p27_pT157	ETS1	CDKN1B
0.08861	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.08853	0	1	B.Raf	GSK3.alpha.beta	BRAF	GSK3A|GSK3B
0.08852	0	1	JNK2	Smad3	MAPK9	SMAD3
0.08844	0	1	cIAP	Smad1	BIRC2	SMAD1
0.08756	0	1	CD20	Rab11	MS4A1	RAB11A
0.08754	0	1	ACC_pS79	FASN	ACACA|ACACB	FASN
0.087	0	1	ETS.1	Rad51	ETS1	RAD51
0.08678	0	1	53BP1	RBM15	TP53BP1	RBM15
0.0865	0	-1	CD49b	Tuberin	ITGA2	TSC2
0.08594	0	1	Bap1.c.4	RBM15	BAP1	RBM15
0.08554	0	1	c.Met_pY1235	CD20	MET	MS4A1
0.08536	0	1	Caspase.7_cleavedD198	Chk1_pS345	CASP7	CHEK1
0.08507	1	1	Akt_pS473	GSK3.alpha.beta_pS21_S9	AKT1|AKT2|AKT3	GSK3A|GSK3B
0.08428	0	1	Mre11	Rad51	MRE11A	RAD51
0.08425	0	1	PDK1_pS241	PKC.pan_BetaII_pS660	PDK1	PRKCB
0.084	0	1	ACC1	FASN	ACACA	FASN
0.08384	1	1	AMPK_alpha	TSC1	PRKAA1	TSC1
0.08358	0	1	mTOR_pS2448	PKC.pan_BetaII_pS660	FRAP1|MTOR	PRKCB
0.08357	0	1	Bap1.c.4	FASN	BAP1	FASN
0.08339	0	1	53BP1	Akt	TP53BP1	AKT1|AKT2|AKT3
0.08316	0	1	ARHI	SCD1	DIRAS3	SCD
0.083	0	1	Annexin.1	YAP_pS127	ANXA1	YAP1
0.08249	0	1	4E.BP1_pS65	JNK_pT183_Y185	EIF4EBP1	MAPK8|MAPK9
0.08226	0	1	GSK3_pS9	Tuberin_pT1462	GSK3B	TSC2
0.08202	0	1	PI3K.p110.alpha	PTEN	PIK3CA	PTEN
0.08183	0	1	Bcl.xL	eEF2	BCL2L1	EEF2
0.08151	0	1	Rictor_pT1135	STAT3_pY705	RICTOR	STAT3
0.08134	0	1	PDCD4	STAT5.alpha	PDCD4	STAT5A
0.08124	0	1	ER.alpha_pS118	MEK1	ESR1	MAP2K1
0.08099	0	1	Bad_pS112	p38_pT180_Y182	BAD	MAPK14
0.08099	0	1	Fibronectin	p21	FN1	CDKN1A
0.0809	0	1	mTOR	Smad1	FRAP1|MTOR	SMAD1
0.07996	0	1	53BP1	Bap1.c.4	TP53BP1	BAP1
0.07919	0	1	53BP1	Ku80	TP53BP1	XRCC5
0.07913	0	1	4E.BP1_pS65	MEK1	EIF4EBP1	MAP2K1
0.07881	0	1	CDK1	HER2_pY1248	CDK1	ERBB2
0.07878	1	1	Caveolin.1	Fibronectin	CAV1	FN1
0.07839	0	-1	IRS1	TSC1	IRS1	TSC1
0.07813	0	1	A.Raf_pS299	SCD1	ARAF	SCD
0.07762	0	1	HER2	PEA15_pS116	ERBB2	PEA15
0.07729	0	1	CD31	Smad4	PECAM1	SMAD4
0.07709	0	-1	CDK1	PKC.pan_BetaII_pS660	CDK1	PRKCB
0.07625	0	1	ACVRL1	FOXO3a	ACVRL1	FOXO3
0.07584	0	1	p27_pT157	XBP1	CDKN1B	XBP1
0.07553	0	1	Myosin.IIa_pS1943	S6_pS235_S236	MYH9	RPS6
0.07544	0	1	IGFBP2	TRFC	IGFBP2	TFRC
0.07543	0	1	BRCA2	Rad50	BRCA2	RAD50
0.07442	0	-1	4E.BP1_pT70	beta.Catenin	EIF4EBP1	CTNNB1
0.07406	0	1	B.Raf	PDK1_pS241	BRAF	PDK1
0.07368	0	1	Chk1	TAZ	CHEK1	WWTR1
0.07285	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
0.07274	0	1	Beclin	N.Ras	BECN1	NRAS
0.07267	0	1	Cyclin_E2	Stathmin	CCNE2	STMN1
0.07251	1	1	mTOR	Rictor	FRAP1|MTOR	RICTOR
0.07219	0	1	DJ.1	PEA.15	PARK7	PEA15
0.07211	0	1	4E.BP1	PCNA	EIF4EBP1	PCNA
0.07206	1	1	JNK_pT183_Y185	PKC.pan_BetaII_pS660	MAPK8|MAPK9	PRKCB
0.07157	1	1	Akt	mTOR	AKT1|AKT2|AKT3	FRAP1|MTOR
0.0715	0	1	Bap1.c.4	Chk2	BAP1	CHEK2
0.07074	0	-1	4E.BP1	p90RSK	EIF4EBP1	RPS6KA1
0.07073	1	1	ERK2	MAPK_pT202_Y204	MAPK1	MAPK1|MAPK3
