weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.96502	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
0.94616	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.9387	1	1	EGFR_pY1173	HER2_pY1248	EGFR	ERBB2
0.92033	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.9128	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.91138	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.89516	0	1	N.Ras	SCD1	NRAS	SCD
0.89447	0	1	N.Ras	SF2	NRAS	SRSF1
0.89011	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.88768	0	1	14.3.3_beta	ACVRL1	YWHAB	ACVRL1
0.87426	0	1	ARHI	N.Ras	DIRAS3	NRAS
0.8697	0	1	PI3K.p85	PTEN	PIK3R1	PTEN
0.86594	1	1	PKC.alpha_pS657	PKC.pan_BetaII_pS660	PRKCA	PRKCB
0.86244	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.86054	0	1	Annexin_VII	N.Ras	ANXA7	NRAS
0.85186	0	1	Mre11	Rab11	MRE11A	RAB11A
0.84682	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.84576	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.84531	0	1	ARHI	SCD1	DIRAS3	SCD
0.83877	0	1	14.3.3_beta	PR	YWHAB	PGR
0.83763	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.83351	1	1	PKC.alpha	PKC.pan_BetaII_pS660	PRKCA	PRKCB
0.82484	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.82102	0	1	Annexin_VII	SCD1	ANXA7	SCD
0.81745	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.81506	0	1	A.Raf_pS299	FOXO3a	ARAF	FOXO3
0.81505	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.81446	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.81437	0	1	Annexin_VII	ARHI	ANXA7	DIRAS3
0.81058	1	1	14.3.3_beta	FOXO3a	YWHAB	FOXO3
0.80895	0	1	SCD1	SF2	SCD	SRSF1
0.80738	0	1	Bid	Caspase.7_cleavedD198	BID	CASP7
-0.79664	0	-1	mTOR	Rab11	FRAP1|MTOR	RAB11A
-0.79611	0	-1	CD31	Tuberin	PECAM1	TSC2
0.78835	0	1	14.3.3_beta	Rab.25	YWHAB	RAB25
0.78814	1	1	Bak	Bid	BAK1	BID
0.78625	1	1	PKC.alpha	PKC.delta_pS664	PRKCA	PRKCD
0.78512	0	1	CD20	Rab11	MS4A1	RAB11A
0.78435	0	1	14.3.3_beta	A.Raf_pS299	YWHAB	ARAF
0.7804	0	1	Caspase.7_cleavedD198	PR	CASP7	PGR
0.77921	0	1	EGFR	EGFR_pY1173	EGFR	EGFR
0.77521	0	1	Raptor	Tuberin	RPTOR	TSC2
0.77515	0	1	CD31	N.Ras	PECAM1	NRAS
0.77416	0	1	PKC.pan_BetaII_pS660	Tuberin	PRKCB	TSC2
0.77135	0	1	14.3.3_beta	SCD1	YWHAB	SCD
0.76986	0	1	FOXO3a	PR	FOXO3	PGR
0.76019	0	1	ARHI	SF2	DIRAS3	SRSF1
0.7596	0	1	Bak	Caspase.7_cleavedD198	BAK1	CASP7
0.75827	0	1	Annexin_VII	SF2	ANXA7	SRSF1
0.75629	0	1	CD31	Smad4	PECAM1	SMAD4
0.75545	0	1	ACVRL1	PR	ACVRL1	PGR
0.74992	0	1	Caspase.7_cleavedD198	ER.alpha	CASP7	ESR1
0.7487	0	1	ARHI	Rab.25	DIRAS3	RAB25
0.74799	1	1	ER.alpha	PR	ESR1	PGR
0.74071	0	1	ACVRL1	FOXO3a	ACVRL1	FOXO3
0.73999	1	1	PKC.alpha_pS657	PKC.delta_pS664	PRKCA	PRKCD
0.73934	0	1	c.Met_pY1235	CD20	MET	MS4A1
0.73717	0	1	N.Ras	Smad4	NRAS	SMAD4
0.73699	0	1	14.3.3_beta	Annexin_VII	YWHAB	ANXA7
0.73593	0	1	c.Met_pY1235	Rab11	MET	RAB11A
0.73571	1	1	TSC1	Tuberin	TSC1	TSC2
0.73564	0	1	PKC.alpha_pS657	Tuberin	PRKCA	TSC2
0.73521	0	1	PDK1_pS241	Tuberin	PDK1	TSC2
0.73407	0	1	A.Raf_pS299	ARHI	ARAF	DIRAS3
0.7335	1	1	ACVRL1	N.Ras	ACVRL1	NRAS
0.73198	0	1	N.Ras	Rab.25	NRAS	RAB25
