weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.9036	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.82589	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.7892	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.78262	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.75299	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.74929	0	1	PI3K.p85	PTEN	PIK3R1	PTEN
0.66215	0	-1	eIF4E	MEK1	EIF4E	MAP2K1
0.66123	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.66083	0	1	Bax	PKC.delta_pS664	BAX	PRKCD
0.65816	0	-1	Bax	Heregulin	BAX	NRG1
0.65461	0	-1	ARID1A	Bax	ARID1A	BAX
-0.63347	0	1	Bax	Claudin.7	BAX	CLDN7
0.62542	1	-1	Bax	GSK3.alpha.beta	BAX	GSK3A|GSK3B
0.62415	0	1	53BP1	VHL	TP53BP1	VHL
-0.61842	0	-1	Claudin.7	p27	CLDN7	CDKN1B
0.61101	0	-1	PRAS40_pT246	SCD1	AKT1S1	SCD
-0.60786	0	1	ARID1A	GSK3.alpha.beta	ARID1A	GSK3A|GSK3B
-0.60435	0	1	MEK1_pS217_S221	PTEN	MAP2K1	PTEN
-0.60401	0	-1	IRS1	PKC.alpha	IRS1	PRKCA
-0.58593	0	-1	GSK3.alpha.beta	Heregulin	GSK3A|GSK3B	NRG1
0.58509	0	1	Heregulin	Rab11	NRG1	RAB11A
-0.5822	0	-1	MEK1	PDCD4	MAP2K1	PDCD4
-0.57866	0	1	NF2	PAI.1	NF2	SERPINE1
-0.57762	0	1	cIAP	STAT5.alpha	BIRC2	STAT5A
-0.57701	0	-1	A.Raf_pS299	GSK3.alpha.beta	ARAF	GSK3A|GSK3B
0.57627	0	-1	ARHI	cIAP	DIRAS3	BIRC2
0.57404	0	1	HER3	Smad4	ERBB3	SMAD4
0.57397	1	1	14.3.3_zeta	MEK1	YWHAZ	MAP2K1
-0.57383	0	1	A.Raf_pS299	Mre11	ARAF	MRE11A
-0.57033	0	-1	c.Jun_pS73	PKC.delta_pS664	JUN	PRKCD
0.57026	0	1	Akt_pS473	AMPK_pT172	AKT1|AKT2|AKT3	PRKAA1
0.5698	0	-1	4E.BP1_pS65	ARHI	EIF4EBP1	DIRAS3
0.56965	0	1	c.Met_pY1235	Cyclin_D1	MET	CCND1
0.56963	0	-1	CD20	PKC.alpha	MS4A1	PRKCA
-0.56811	0	-1	ARID1A	PKC.delta_pS664	ARID1A	PRKCD
0.56807	1	1	C.Raf_pS338	MEK1_pS217_S221	RAF1	MAP2K1
0.56752	0	1	NF2	YB.1	NF2	YBX1
0.56275	0	1	eEF2K	PRAS40_pT246	EEF2K	AKT1S1
-0.56265	1	1	Acetyl.a.Tubulin.Lys40	Src_pY416	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBA8	SRC
0.56261	0	1	AR	p53	AR	TP53
0.55942	0	1	Bax	PAI.1	BAX	SERPINE1
-0.55862	0	-1	14.3.3_zeta	ATM	YWHAZ	ATM
-0.55347	1	1	PKC.alpha	Src_pY527	PRKCA	SRC
0.55136	0	1	PAI.1	YB.1	SERPINE1	YBX1
-0.5505	0	-1	Bax	G6PD	BAX	G6PD
-0.54902	0	-1	ER.alpha	MAPK_pT202_Y204	ESR1	MAPK1|MAPK3
0.54899	0	-1	A.Raf_pS299	Bax	ARAF	BAX
0.54864	0	1	Bax	c.Jun_pS73	BAX	JUN
0.54862	0	-1	14.3.3_beta	eEF2K	YWHAB	EEF2K
-0.54854	0	1	Bcl.xL	c.Met_pY1235	BCL2L1	MET
0.54828	0	1	Src_pY416	Src_pY527	SRC	SRC
-0.54802	0	-1	Heregulin	Tuberin_pT1462	NRG1	TSC2
0.54735	0	-1	IRS1	PKC.alpha_pS657	IRS1	PRKCA
0.54627	0	1	Transglutaminase	YB.1	TGM2	YBX1
-0.54481	0	1	14.3.3_beta	PCNA	YWHAB	PCNA
0.54469	0	1	Notch1	PKC.delta_pS664	NOTCH1	PRKCD
-0.54425	0	1	Akt_pT308	AMPK_pT172	AKT1|AKT2|AKT3	PRKAA1
0.54386	0	1	cIAP	JNK2	BIRC2	MAPK9
0.5426	0	-1	cIAP	Cyclin_D1	BIRC2	CCND1
0.54224	0	-1	ACC1	p53	ACACA	TP53
0.54116	0	-1	GSK3.alpha.beta	Rab11	GSK3A|GSK3B	RAB11A
0.54041	0	1	PRDX1	Shc_pY317	PRDX1	SHC1
0.54014	0	1	MEK1_pS217_S221	Syk	MAP2K1	SYK
0.53984	0	-1	ARID1A	PKC.pan_BetaII_pS660	ARID1A	PRKCB
-0.53982	1	-1	p53	PKC.alpha_pS657	TP53	PRKCA
-0.53795	0	1	4E.BP1_pT70	Rictor_pT1135	EIF4EBP1	RICTOR
-0.53784	0	-1	ACVRL1	Paxillin	ACVRL1	PXN
-0.53767	0	-1	4E.BP1	MEK1_pS217_S221	EIF4EBP1	MAP2K1
-0.53744	0	1	ARHI	Bid	DIRAS3	BID
0.537	0	1	GAPDH	JNK2	GAPDH	MAPK9
-0.5367	0	1	ACVRL1	Bcl.xL	ACVRL1	BCL2L1
0.53634	0	1	Annexin_VII	ARHI	ANXA7	DIRAS3
-0.53386	0	-1	c.Kit	MEK1_pS217_S221	KIT	MAP2K1
0.53332	1	1	Cyclin_E1	Cyclin_E2	CCNE1	CCNE2
-0.53299	0	1	G6PD	p27	G6PD	CDKN1B
-0.53033	0	1	CDK1	p27_pT157	CDK1	CDKN1B
-0.52996	0	-1	Notch1	VHL	NOTCH1	VHL
-0.52854	0	-1	NF2	Tuberin_pT1462	NF2	TSC2
0.52839	0	1	ARID1A	BRCA2	ARID1A	BRCA2
-0.52755	0	1	4E.BP1_pS65	S6	EIF4EBP1	RPS6
0.52752	0	-1	4E.BP1_pS65	Bax	EIF4EBP1	BAX
0.52745	0	-1	Claudin.7	GSK3.alpha.beta	CLDN7	GSK3A|GSK3B
0.52723	0	1	ER.alpha	p90RSK_pT359_S363	ESR1	RPS6KA1
-0.5267	1	1	EGFR	Src_pY416	EGFR	SRC
0.52664	0	-1	Heregulin	mTOR	NRG1	FRAP1|MTOR
0.52572	0	1	CD20	IRS1	MS4A1	IRS1
0.52552	0	-1	E.Cadherin	PKC.pan_BetaII_pS660	CDH1	PRKCB
-0.52486	0	1	Beclin	YAP_pS127	BECN1	YAP1
-0.5241	0	1	FOXO3a	Src	FOXO3	SRC
0.52369	0	1	Chk2	Chk2_pT68	CHEK2	CHEK2
0.52361	0	-1	4E.BP1_pT70	GAPDH	EIF4EBP1	GAPDH
0.52176	1	1	EGFR_pY1173	HER2_pY1248	EGFR	ERBB2
0.52151	0	1	Claudin.7	Heregulin	CLDN7	NRG1
-0.52149	0	1	BRCA2	JNK2	BRCA2	MAPK9
0.5207	0	1	p38_pT180_Y182	TSC1	MAPK14	TSC1
-0.52044	0	-1	ER.alpha	PKC.delta_pS664	ESR1	PRKCD
0.52006	0	-1	PKC.alpha	Smad4	PRKCA	SMAD4
-0.51797	0	1	Chk2	PEA15_pS116	CHEK2	PEA15
-0.51762	1	-1	HER3	PKC.alpha	ERBB3	PRKCA
-0.51735	0	-1	4E.BP1	Lck	EIF4EBP1	LCK
-0.51733	0	1	GAPDH	STAT5.alpha	GAPDH	STAT5A
-0.51534	0	-1	4E.BP1_pT70	ER.alpha_pS118	EIF4EBP1	ESR1
-0.51508	0	1	ATM	YB.1	ATM	YBX1
-0.51331	0	1	ARHI	Cyclin_D1	DIRAS3	CCND1
-0.51328	0	1	JNK_pT183_Y185	PI3K.p85	MAPK8|MAPK9	PIK3R1
-0.51254	0	1	JNK2	Smad1	MAPK9	SMAD1
-0.51252	0	-1	CD20	eEF2	MS4A1	EEF2
-0.51244	0	-1	MEK1_pS217_S221	XBP1	MAP2K1	XBP1
0.51157	0	-1	PKC.alpha_pS657	YB.1	PRKCA	YBX1
-0.51108	0	-1	4E.BP1_pS65	Annexin_VII	EIF4EBP1	ANXA7
0.51092	0	1	Collagen_VI	YB.1	COL6A1|COL6A2|COL6A3|COL6A5	YBX1
-0.51073	0	1	Claudin.7	G6PD	CLDN7	G6PD
0.50931	0	1	CDK1	SCD1	CDK1	SCD
0.50904	0	-1	4E.BP1_pS65	Cyclin_D1	EIF4EBP1	CCND1
-0.50838	0	-1	Bax	INPP4B	BAX	INPP4B
0.50768	0	1	ERK2	PEA.15	MAPK1	PEA15
0.50724	0	-1	ARHI	S6	DIRAS3	RPS6
-0.5071	0	-1	c.Jun_pS73	Lck	JUN	LCK
0.50709	0	1	BRCA2	PI3K.p85	BRCA2	PIK3R1
0.50681	0	-1	ARHI	STAT5.alpha	DIRAS3	STAT5A
0.50645	0	1	A.Raf_pS299	FOXO3a	ARAF	FOXO3
0.50644	0	-1	Bax	RBM15	BAX	RBM15
0.50638	0	-1	CD20	YB.1	MS4A1	YBX1
-0.5062	0	1	Collagen_VI	NF2	COL6A1|COL6A2|COL6A3|COL6A5	NF2
0.5054	0	1	ARID1A	TSC1	ARID1A	TSC1
-0.50485	0	-1	Heregulin	mTOR_pS2448	NRG1	FRAP1|MTOR
0.50482	0	-1	JNK2	STAT3_pY705	MAPK9	STAT3
-0.50472	0	1	Mre11	VEGFR2	MRE11A	KDR
-0.5039	1	1	Cyclin_D1	FoxM1	CCND1	FOXM1
-0.50335	1	-1	14.3.3_beta	PRAS40_pT246	YWHAB	AKT1S1
0.50329	0	1	14.3.3_zeta	Rab.25	YWHAZ	RAB25
-0.50326	0	-1	p27_pT157	Smad4	CDKN1B	SMAD4
-0.5032	0	-1	PAI.1	RBM15	SERPINE1	RBM15
0.50315	0	1	mTOR	mTOR_pS2448	FRAP1|MTOR	FRAP1|MTOR
0.50287	0	1	A.Raf_pS299	Rab11	ARAF	RAB11A
0.50185	0	1	c.Jun_pS73	INPP4B	JUN	INPP4B
-0.50167	0	1	Bax	YB.1	BAX	YBX1
-0.50165	0	1	Bax	PEA.15	BAX	PEA15
-0.50121	1	-1	PKC.alpha_pS657	Src_pY416	PRKCA	SRC
0.50116	0	-1	Chk2_pT68	PRAS40_pT246	CHEK2	AKT1S1
0.50104	0	1	JNK2	Paxillin	MAPK9	PXN
0.501	0	1	Acetyl.a.Tubulin.Lys40	DJ.1	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBA8	PARK7
