weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.94432	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.9431	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.9078	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
0.88628	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.87245	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.8524	1	1	PKC.alpha_pS657	PKC.pan_BetaII_pS660	PRKCA	PRKCB
0.84899	1	1	PKC.alpha	PKC.pan_BetaII_pS660	PRKCA	PRKCB
0.82825	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.82112	1	1	PKC.alpha_pS657	PKC.delta_pS664	PRKCA	PRKCD
0.8136	1	1	PKC.alpha	PKC.delta_pS664	PRKCA	PRKCD
0.80978	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.80662	0	1	PI3K.p85	PTEN	PIK3R1	PTEN
0.78944	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.78896	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.77955	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.76922	0	1	EGFR	EGFR_pY1173	EGFR	EGFR
0.75813	1	1	EGFR_pY1173	HER2_pY1248	EGFR	ERBB2
0.75487	0	1	PKC.pan_BetaII_pS660	Tuberin	PRKCB	TSC2
0.75451	0	1	Mre11	Rab11	MRE11A	RAB11A
0.75323	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.74667	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.72947	0	1	PKC.alpha	Tuberin	PRKCA	TSC2
0.72673	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.72582	1	1	PKC.delta_pS664	PKC.pan_BetaII_pS660	PRKCD	PRKCB
0.72389	1	1	Akt_pT308	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.72317	0	1	14.3.3_beta	SCD1	YWHAB	SCD
-0.71644	0	-1	mTOR	Rab11	FRAP1|MTOR	RAB11A
0.71571	0	1	CD20	Rab11	MS4A1	RAB11A
0.70997	1	1	Chk2_pT68	Mre11	CHEK2	MRE11A
0.70753	0	1	PKC.alpha_pS657	Tuberin	PRKCA	TSC2
0.7065	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.70316	0	1	Chk2_pT68	Rab11	CHEK2	RAB11A
