weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.90795	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.90761	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.853	1	1	Akt	Tuberin	AKT1|AKT2|AKT3	TSC2
0.82303	0	1	Akt	ERK2	AKT1|AKT2|AKT3	MAPK1
0.79699	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.78791	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.78578	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.78224	1	1	Akt	TSC1	AKT1|AKT2|AKT3	TSC1
0.78047	1	1	ERK2	Tuberin	MAPK1	TSC2
0.77664	0	1	STAT5.alpha	Tuberin	STAT5A	TSC2
0.762	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
0.7574	1	1	Akt	mTOR	AKT1|AKT2|AKT3	FRAP1|MTOR
0.74928	0	1	N.Cadherin	TAZ	CDH2	WWTR1
0.74446	0	1	Mre11	N.Cadherin	MRE11A	CDH2
0.74219	0	1	beta.Catenin	eIF4G	CTNNB1	EIF4G1|EIF4G2|EIF4G3
-0.74178	1	-1	Akt	Chk1	AKT1|AKT2|AKT3	CHEK1
0.74097	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.73929	0	1	YAP	YAP_pS127	YAP1	YAP1
0.73617	0	1	ACC1	FASN	ACACA	FASN
0.7348	1	1	ERK2	TSC1	MAPK1	TSC1
0.73245	1	1	Akt	STAT5.alpha	AKT1|AKT2|AKT3	STAT5A
0.72472	0	1	p27_pT157	PKC.delta_pS664	CDKN1B	PRKCD
0.72333	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.7206	1	1	TSC1	Tuberin	TSC1	TSC2
0.71873	1	1	Akt	GAB2	AKT1|AKT2|AKT3	GAB2
0.71868	0	1	B.Raf	beta.Catenin	BRAF	CTNNB1
0.71714	0	1	HER3_pY1289	Mre11	ERBB3	MRE11A
0.71238	0	1	53BP1	Bap1.c.4	TP53BP1	BAP1
0.71152	0	1	Mre11	TAZ	MRE11A	WWTR1
-0.70921	0	-1	Chk1	ERK2	CHEK1	MAPK1
0.70653	1	1	GAB2	STAT5.alpha	GAB2	STAT5A
0.70562	0	1	Akt	AMPK_pT172	AKT1|AKT2|AKT3	PRKAA1
0.70124	1	1	ERK2	STAT5.alpha	MAPK1	STAT5A
0.70092	0	1	eEF2K	Tuberin	EEF2K	TSC2
0.69921	1	1	Akt	beta.Catenin	AKT1|AKT2|AKT3	CTNNB1
0.69637	1	1	mTOR	STAT5.alpha	FRAP1|MTOR	STAT5A
-0.69548	0	-1	Chk1	Tuberin	CHEK1	TSC2
0.69315	0	1	Stathmin	TAZ	STMN1	WWTR1
0.69308	0	1	Mre11	Stathmin	MRE11A	STMN1
0.69007	0	1	Chk2_pT68	p27_pT157	CHEK2	CDKN1B
0.68963	0	1	ACVRL1	Smad4	ACVRL1	SMAD4
-0.68891	0	-1	ERK2	PDK1	MAPK1	PDK1
0.68087	0	1	RBM15	S6	RBM15	RPS6
0.68048	0	1	GAB2	Tuberin	GAB2	TSC2
0.67901	1	1	AMPK_pT172	TSC1	PRKAA1	TSC1
0.67777	0	1	ARHI	BRCA2	DIRAS3	BRCA2
0.67755	0	1	53BP1	Akt	TP53BP1	AKT1|AKT2|AKT3
0.6768	0	1	BRCA2	N.Cadherin	BRCA2	CDH2
-0.6759	0	-1	beta.Catenin	Chk1	CTNNB1	CHEK1
0.67546	0	1	eEF2	ERK2	EEF2	MAPK1
0.67298	0	1	HER3_pY1289	N.Cadherin	ERBB3	CDH2
0.67222	0	1	53BP1	beta.Catenin	TP53BP1	CTNNB1
0.6708	0	1	B.Raf	Bap1.c.4	BRAF	BAP1
-0.67077	0	-1	Akt	CD31	AKT1|AKT2|AKT3	PECAM1
0.66964	0	1	MYH11	Rad50	MYH11	RAD50
0.667	0	1	14.3.3_epsilon	PDK1	YWHAE	PDK1
0.66649	0	1	N.Cadherin	Stathmin	CDH2	STMN1
-0.66599	0	-1	Bax	GSK3_pS9	BAX	GSK3B
0.66565	0	1	Bap1.c.4	p70S6K	BAP1	RPS6KB1
0.66334	0	1	eIF4G	TSC1	EIF4G1|EIF4G2|EIF4G3	TSC1
0.66314	0	1	PRAS40_pT246	Tuberin_pT1462	AKT1S1	TSC2
0.66299	0	1	Bap1.c.4	eIF4G	BAP1	EIF4G1|EIF4G2|EIF4G3
-0.66286	0	-1	CD31	Tuberin	PECAM1	TSC2
0.65925	0	1	Cyclin_E2	p27_pT157	CCNE2	CDKN1B
-0.65923	0	-1	Chk1	STAT5.alpha	CHEK1	STAT5A
0.65702	0	1	Chk2_pT68	N.Cadherin	CHEK2	CDH2
0.65536	0	1	53BP1	TSC1	TP53BP1	TSC1
0.654	0	1	ARHI	TAZ	DIRAS3	WWTR1
0.65388	0	1	BRCA2	N.Ras	BRCA2	NRAS
-0.65291	0	-1	B.Raf	Chk1	BRAF	CHEK1
-0.65281	0	-1	Stathmin	TSC1	STMN1	TSC1
0.65252	0	1	53BP1	eIF4G	TP53BP1	EIF4G1|EIF4G2|EIF4G3
0.65241	0	1	Bap1.c.4	beta.Catenin	BAP1	CTNNB1
0.6522	1	1	Akt	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
-0.65211	0	-1	CD31	ERK2	PECAM1	MAPK1
0.6515	0	1	Chk1	PDK1	CHEK1	PDK1
-0.65083	0	-1	beta.Catenin	PDK1	CTNNB1	PDK1
0.65032	1	1	c.Met_pY1235	N.Cadherin	MET	CDH2
-0.64918	0	-1	Bap1.c.4	Chk1	BAP1	CHEK1
0.64874	0	1	B.Raf	TSC1	BRAF	TSC1
0.64856	0	1	53BP1	Ku80	TP53BP1	XRCC5
-0.64834	0	-1	Akt	PDK1	AKT1|AKT2|AKT3	PDK1
-0.6483	0	-1	PDK1	TSC1	PDK1	TSC1
-0.64747	0	-1	CD31	GSK3_pS9	PECAM1	GSK3B
0.64729	0	1	GAB2	TSC1	GAB2	TSC1
0.64661	0	1	ATM	TSC1	ATM	TSC1
0.64651	0	1	Akt	eEF2K	AKT1|AKT2|AKT3	EEF2K
0.64637	0	1	Tuberin	VHL	TSC2	VHL
0.64554	0	1	beta.Catenin	ERK2	CTNNB1	MAPK1
0.64524	1	1	mTOR	TSC1	FRAP1|MTOR	TSC1
0.64517	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.64509	1	1	Bcl.2	Bim	BCL2	BCL2L11
0.64503	0	1	ARHI	Collagen_VI	DIRAS3	COL6A1|COL6A2|COL6A3|COL6A5
-0.64489	0	-1	Chk1	TSC1	CHEK1	TSC1
0.64384	0	1	Akt	eIF4G	AKT1|AKT2|AKT3	EIF4G1|EIF4G2|EIF4G3
0.64372	0	1	N.Ras	PDK1	NRAS	PDK1
0.64367	0	1	eEF2K	ERK2	EEF2K	MAPK1
0.6434	0	1	ERK2	mTOR	MAPK1	FRAP1|MTOR
0.64109	0	1	Bad_pS112	GSK3.alpha.beta_pS21_S9	BAD	GSK3A|GSK3B
0.64104	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.6407	0	1	53BP1	B.Raf	TP53BP1	BRAF
0.64053	0	1	Cyclin_E2	Smad4	CCNE2	SMAD4
0.64001	0	1	B.Raf	p70S6K	BRAF	RPS6KB1
0.63993	0	1	c.Met_pY1235	HER3_pY1289	MET	ERBB3
0.63953	0	1	AMPK_pT172	ERK2	PRKAA1	MAPK1
0.63923	0	1	CD20	GATA3	MS4A1	GATA3
0.63844	0	1	ARHI	Stathmin	DIRAS3	STMN1
0.63817	0	1	beta.Catenin	eEF2K	CTNNB1	EEF2K
0.63807	0	1	ACVRL1	PKC.delta_pS664	ACVRL1	PRKCD
-0.63765	0	-1	Chk1	eIF4G	CHEK1	EIF4G1|EIF4G2|EIF4G3
0.63731	0	1	c.Met_pY1235	N.Ras	MET	NRAS
0.63589	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.63588	0	1	eEF2	eEF2K	EEF2	EEF2K
0.63548	0	1	14.3.3_beta	ACVRL1	YWHAB	ACVRL1
0.6347	1	1	Akt	B.Raf	AKT1|AKT2|AKT3	BRAF
0.63463	0	1	c.Met_pY1235	Stathmin	MET	STMN1
0.63436	0	1	ACVRL1	BRCA2	ACVRL1	BRCA2
0.63405	0	1	CD31	Chk1	PECAM1	CHEK1
0.63395	0	1	ERK2	GSK3_pS9	MAPK1	GSK3B
0.63332	0	1	p27_pT157	p27_pT198	CDKN1B	CDKN1B
0.63323	0	1	BRCA2	Mre11	BRCA2	MRE11A
0.63322	0	1	beta.Catenin	TSC1	CTNNB1	TSC1
0.63288	0	1	ERK2	VHL	MAPK1	VHL
0.6326	0	1	GATA3	Smad1	GATA3	SMAD1
0.63171	1	1	Akt	p70S6K	AKT1|AKT2|AKT3	RPS6KB1
0.63098	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.63038	1	1	AMPK_pT172	Tuberin	PRKAA1	TSC2
0.6296	0	1	ACVRL1	PEA15_pS116	ACVRL1	PEA15
0.62891	0	1	CD31	PDK1	PECAM1	PDK1
-0.62733	0	-1	Chk1	JNK2	CHEK1	MAPK9
0.62707	0	1	S6_pS235_S236	YB.1_pS102	RPS6	YBX1
0.62601	0	1	ARHI	Smad4	DIRAS3	SMAD4
0.62589	0	1	NF.kB.p65_pS536	STAT5.alpha	NFKB1	STAT5A
0.62556	0	1	Bad_pS112	GSK3_pS9	BAD	GSK3B
0.62552	0	1	Mre11	Smad4	MRE11A	SMAD4
0.62545	0	1	Bax	PEA.15	BAX	PEA15
0.62536	0	1	Akt	NF.kB.p65_pS536	AKT1|AKT2|AKT3	NFKB1
0.62512	0	1	Chk2_pT68	HER3_pY1289	CHEK2	ERBB3
-0.62407	0	-1	CD31	VHL	PECAM1	VHL
0.62389	0	1	BRCA2	PKC.delta_pS664	BRCA2	PRKCD
-0.62252	0	-1	CD31	GSK3.alpha.beta_pS21_S9	PECAM1	GSK3A|GSK3B
0.62127	0	1	BRCA2	PDK1	BRCA2	PDK1
0.6211	0	1	CD31	DJ.1	PECAM1	PARK7
0.62005	0	1	PDK1	Smad4	PDK1	SMAD4
0.61991	0	1	ACVRL1	ETS.1	ACVRL1	ETS1
0.61951	0	1	ARHI	PKC.delta_pS664	DIRAS3	PRKCD
0.61909	0	1	GSK3_pS9	Tuberin	GSK3B	TSC2
0.61871	0	1	Chk1	Stathmin	CHEK1	STMN1
0.61855	0	1	GSK3.alpha.beta_pS21_S9	NF.kB.p65_pS536	GSK3A|GSK3B	NFKB1
-0.6176	0	-1	Chk2_pT68	TSC1	CHEK2	TSC1
0.61697	0	1	ARHI	p27_pT157	DIRAS3	CDKN1B
-0.61659	0	-1	Akt	Stathmin	AKT1|AKT2|AKT3	STMN1
0.61655	0	1	beta.Catenin	Tuberin	CTNNB1	TSC2
0.61592	0	1	14.3.3_epsilon	ETS.1	YWHAE	ETS1
0.6159	0	1	ARHI	Mre11	DIRAS3	MRE11A
0.61541	0	1	p70S6K	Tuberin	RPS6KB1	TSC2
0.61508	0	1	PKC.delta_pS664	Smad4	PRKCD	SMAD4
0.61485	0	1	c.Met_pY1235	Chk2_pT68	MET	CHEK2
0.61479	0	1	GSK3.alpha.beta	PDK1_pS241	GSK3A|GSK3B	PDK1
0.61452	0	1	Akt	Bap1.c.4	AKT1|AKT2|AKT3	BAP1
-0.61351	0	-1	Chk1	eEF2K	CHEK1	EEF2K
0.61329	0	1	BRCA2	Smad4	BRCA2	SMAD4
0.61258	1	1	eIF4G	p70S6K	EIF4G1|EIF4G2|EIF4G3	RPS6KB1
0.61248	0	1	BRCA2	TAZ	BRCA2	WWTR1
0.61246	0	1	ACVRL1	Mre11	ACVRL1	MRE11A
-0.61205	0	-1	eIF4G	PDK1	EIF4G1|EIF4G2|EIF4G3	PDK1
-0.61197	0	-1	Chk1	eEF2	CHEK1	EEF2
0.61173	0	1	ERK2	PDK1_pS241	MAPK1	PDK1
0.61143	1	1	14.3.3_epsilon	N.Ras	YWHAE	NRAS
-0.61074	0	-1	Chk1	mTOR	CHEK1	FRAP1|MTOR
0.6105	0	1	E.Cadherin	eIF4G	CDH1	EIF4G1|EIF4G2|EIF4G3
0.61032	0	1	ERK2	JNK2	MAPK1	MAPK9
-0.60992	0	-1	eIF4G	Stathmin	EIF4G1|EIF4G2|EIF4G3	STMN1
0.60964	1	1	ACVRL1	N.Ras	ACVRL1	NRAS
-0.60963	0	-1	53BP1	Chk1	TP53BP1	CHEK1
0.60954	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
-0.60951	0	-1	PDK1	Tuberin	PDK1	TSC2
0.60888	0	1	ERK2	Ku80	MAPK1	XRCC5
0.6084	0	1	BRCA2	HER3_pY1289	BRCA2	ERBB3
0.6084	0	1	Ku80	Tuberin	XRCC5	TSC2
-0.60838	0	-1	GSK3_pS9	Stathmin	GSK3B	STMN1
-0.60771	0	-1	B.Raf	c.Met_pY1235	BRAF	MET
0.60737	1	1	14.3.3_zeta	Chk1	YWHAZ	CHEK1
0.60653	0	1	c.Met_pY1235	CD31	MET	PECAM1
-0.60618	0	-1	CD31	mTOR	PECAM1	FRAP1|MTOR
0.60595	0	1	ARHI	N.Ras	DIRAS3	NRAS
0.60543	0	1	Bid	c.Met_pY1235	BID	MET
-0.60462	0	-1	beta.Catenin	CD31	CTNNB1	PECAM1
-0.60436	0	-1	c.Met_pY1235	TSC1	MET	TSC1
0.60367	0	1	Ku80	mTOR	XRCC5	FRAP1|MTOR
0.60364	0	1	14.3.3_epsilon	ACVRL1	YWHAE	ACVRL1
0.60259	0	1	c.Met_pY1235	TAZ	MET	WWTR1
0.60241	0	1	c.Met_pY1235	C.Raf_pS338	MET	RAF1
0.60166	0	1	Ku80	STAT5.alpha	XRCC5	STAT5A
0.60116	0	1	C.Raf_pS338	Chk1	RAF1	CHEK1
0.60113	1	1	C.Raf_pS338	MEK1_pS217_S221	RAF1	MAP2K1
0.60005	0	1	Akt	Ku80	AKT1|AKT2|AKT3	XRCC5
-0.59993	0	-1	beta.Catenin	Mre11	CTNNB1	MRE11A
0.59981	0	1	Collagen_VI	Stathmin	COL6A1|COL6A2|COL6A3|COL6A5	STMN1
0.59927	0	1	Bap1.c.4	eEF2K	BAP1	EEF2K
0.59895	1	1	ERK2	GAB2	MAPK1	GAB2
-0.59869	0	-1	B.Raf	Stathmin	BRAF	STMN1
0.59779	0	1	Smad4	Stathmin	SMAD4	STMN1
-0.59762	0	-1	BRCA2	TSC1	BRCA2	TSC1
0.59654	0	1	Akt	JNK2	AKT1|AKT2|AKT3	MAPK9
0.59615	0	1	Chk2_pT68	PKC.delta_pS664	CHEK2	PRKCD
0.59595	0	1	Bap1.c.4	TSC1	BAP1	TSC1
0.59589	0	1	p70S6K	TSC1	RPS6KB1	TSC1
-0.59421	0	-1	Bax	ERK2	BAX	MAPK1
0.59219	0	1	beta.Catenin	VHL	CTNNB1	VHL
0.59171	0	1	Bap1.c.4	Tuberin	BAP1	TSC2
-0.59114	0	-1	eIF4G	Smad4	EIF4G1|EIF4G2|EIF4G3	SMAD4
0.59036	0	1	GSK3_pS9	NF.kB.p65_pS536	GSK3B	NFKB1
-0.59027	1	-1	ERK2	MEK1_pS217_S221	MAPK1	MAP2K1
0.58991	0	1	eEF2	Tuberin	EEF2	TSC2
0.58981	0	1	beta.Catenin	p70S6K	CTNNB1	RPS6KB1
0.58978	1	1	Akt_pS473	PRAS40_pT246	AKT1|AKT2|AKT3	AKT1S1
0.58879	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.58867	0	1	C.Raf_pS338	GATA3	RAF1	GATA3
0.58803	0	1	Akt_pT308	CDK1	AKT1|AKT2|AKT3	CDK1
0.58782	0	1	Bap1.c.4	E.Cadherin	BAP1	CDH1
-0.58762	0	-1	Ku80	MEK1_pS217_S221	XRCC5	MAP2K1
0.58719	0	1	GAB2	mTOR	GAB2	FRAP1|MTOR
0.58708	0	1	ARHI	N.Cadherin	DIRAS3	CDH2
-0.587	0	-1	eEF2	PDK1	EEF2	PDK1
-0.58699	0	-1	CD31	eEF2K	PECAM1	EEF2K
0.5863	0	1	Bcl.2	p27	BCL2	CDKN1B
-0.58625	0	-1	B.Raf	PDK1	BRAF	PDK1
0.58548	0	1	eIF4G	Tuberin	EIF4G1|EIF4G2|EIF4G3	TSC2
0.58533	0	1	ACC_pS79	FASN	ACACA|ACACB	FASN
0.58512	0	1	Bap1.c.4	Ku80	BAP1	XRCC5
0.58477	0	1	14.3.3_epsilon	c.Met_pY1235	YWHAE	MET
-0.58471	0	-1	Chk1	Ku80	CHEK1	XRCC5
-0.58462	0	-1	14.3.3_zeta	JNK2	YWHAZ	MAPK9
0.58402	0	1	ARHI	c.Met_pY1235	DIRAS3	MET
0.58388	0	1	eEF2	VHL	EEF2	VHL
0.58378	0	1	Akt	VHL	AKT1|AKT2|AKT3	VHL
-0.58352	0	-1	AMPK_pT172	Chk1	PRKAA1	CHEK1
0.5834	0	1	N.Ras	TAZ	NRAS	WWTR1
