weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.67672	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.63995	0	1	YAP	YAP_pS127	YAP1	YAP1
0.52322	0	1	MYH11	Rad50	MYH11	RAD50
0.47452	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.41172	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.40296	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.4012	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.38945	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.36097	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.35113	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
0.34725	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.32755	0	1	cIAP	YAP_pS127	BIRC2	YAP1
0.32495	0	1	Akt_pT308	CDK1	AKT1|AKT2|AKT3	CDK1
0.31932	0	1	Heregulin	Rad50	NRG1	RAD50
0.28323	0	1	ACC1	FASN	ACACA	FASN
-0.25829	0	1	Rad50	Rictor	RAD50	RICTOR
0.24709	0	1	4E.BP1	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
0.24566	1	1	NF.kB.p65_pS536	Src_pY416	NFKB1	SRC
0.24416	0	1	EGFR	EGFR_pY1173	EGFR	EGFR
0.23633	0	1	cIAP	YAP	BIRC2	YAP1
0.23313	0	1	Akt_pS473	MAPK_pT202_Y204	AKT1|AKT2|AKT3	MAPK1|MAPK3
0.22903	0	1	HER2_pY1248	Src_pY416	ERBB2	SRC
0.22599	0	1	HER2_pY1248	Src_pY527	ERBB2	SRC
0.22067	0	1	ACC_pS79	FASN	ACACA|ACACB	FASN
0.21237	0	1	Akt_pT308	AMPK_alpha	AKT1|AKT2|AKT3	PRKAA1
0.21083	1	1	Annexin.1	PKC.alpha	ANXA1	PRKCA
0.21059	0	1	GAPDH	p62.LCK.ligand	GAPDH	SQSTM1
0.20918	0	1	FoxM1	GAPDH	FOXM1	GAPDH
0.19996	0	1	Caspase.7_cleavedD198	Lck	CASP7	LCK
0.19948	0	1	MYH11	Rictor	MYH11	RICTOR
0.1982	0	1	NF2	RBM15	NF2	RBM15
0.18315	0	1	G6PD	GAPDH	G6PD	GAPDH
0.17866	0	1	RBM15	S6	RBM15	RPS6
0.17483	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.17426	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
-0.17044	0	-1	PAI.1	PKC.alpha	SERPINE1	PRKCA
0.17016	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.16484	0	1	NDRG1_pT346	VHL	NDRG1	VHL
