weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.89015	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.79078	0	1	G6PD	PRDX1	G6PD	PRDX1
0.78699	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.75474	0	1	YAP	YAP_pS127	YAP1	YAP1
0.7248	0	1	Bim	P.Cadherin	BCL2L11	CDH3
0.71708	0	1	mTOR	mTOR_pS2448	FRAP1|MTOR	FRAP1|MTOR
0.71329	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.69423	0	1	MYH11	Rad50	MYH11	RAD50
-0.6751	0	-1	P.Cadherin	PRDX1	CDH3	PRDX1
0.66659	0	1	CDK1	EGFR_pY1173	CDK1	EGFR
0.64483	1	1	Bcl.2	Bim	BCL2	BCL2L11
0.64358	0	1	Claudin.7	PI3K.p110.alpha	CLDN7	PIK3CA
0.64107	0	1	ARID1A	p90RSK	ARID1A	RPS6KA1
-0.63605	0	-1	cIAP	Cyclin_E1	BIRC2	CCNE1
0.63312	0	1	cIAP	YAP	BIRC2	YAP1
0.62714	0	1	Akt_pT308	CDK1	AKT1|AKT2|AKT3	CDK1
0.62384	0	-1	mTOR_pS2448	PRDX1	FRAP1|MTOR	PRDX1
-0.62324	0	-1	BRCA2	P.Cadherin	BRCA2	CDH3
0.62267	0	1	G6PD	P.Cadherin	G6PD	CDH3
0.62051	0	-1	FOXO3a	GSK3.alpha.beta	FOXO3	GSK3A|GSK3B
0.61907	0	1	ACVRL1	PRDX1	ACVRL1	PRDX1
-0.61678	0	-1	Notch1	P.Cadherin	NOTCH1	CDH3
-0.61584	0	-1	ACVRL1	S6_pS240_S244	ACVRL1	RPS6
0.61484	0	1	Dvl3	IGFBP2	DVL3	IGFBP2
-0.61315	1	1	14.3.3_zeta	YAP	YWHAZ	YAP1
0.61124	0	-1	Bim	MEK1	BCL2L11	MAP2K1
0.61013	0	1	14.3.3_zeta	PRDX1	YWHAZ	PRDX1
-0.60927	1	-1	CDK1	EGFR	CDK1	EGFR
