weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.90955	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.89636	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.81562	1	1	Akt	Tuberin	AKT1|AKT2|AKT3	TSC2
0.81414	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.8137	0	1	STAT5.alpha	Tuberin	STAT5A	TSC2
0.80531	0	1	Akt	ERK2	AKT1|AKT2|AKT3	MAPK1
0.78488	1	1	Akt	TSC1	AKT1|AKT2|AKT3	TSC1
0.78328	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.77115	1	1	ERK2	Tuberin	MAPK1	TSC2
0.76784	1	1	Akt	STAT5.alpha	AKT1|AKT2|AKT3	STAT5A
0.76608	1	1	TSC1	Tuberin	TSC1	TSC2
0.74562	1	1	ERK2	STAT5.alpha	MAPK1	STAT5A
0.74525	1	1	Akt	mTOR	AKT1|AKT2|AKT3	FRAP1|MTOR
-0.73116	1	-1	Akt	Chk1	AKT1|AKT2|AKT3	CHEK1
0.72879	1	1	GAB2	STAT5.alpha	GAB2	STAT5A
0.72668	1	1	Akt	GAB2	AKT1|AKT2|AKT3	GAB2
-0.72439	0	-1	Chk1	STAT5.alpha	CHEK1	STAT5A
0.72324	1	1	mTOR	STAT5.alpha	FRAP1|MTOR	STAT5A
0.72276	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.72254	1	1	ERK2	TSC1	MAPK1	TSC1
0.72199	0	1	Mre11	N.Cadherin	MRE11A	CDH2
0.71748	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.71203	0	1	HER3_pY1289	Mre11	ERBB3	MRE11A
0.70715	0	1	53BP1	Bap1.c.4	TP53BP1	BAP1
0.70298	0	1	14.3.3_epsilon	PDK1	YWHAE	PDK1
0.6979	0	1	eEF2K	Tuberin	EEF2K	TSC2
0.69768	0	1	ACC1	FASN	ACACA	FASN
0.69583	0	1	Mre11	TAZ	MRE11A	WWTR1
-0.69552	0	-1	Chk1	Tuberin	CHEK1	TSC2
0.69334	0	1	53BP1	Akt	TP53BP1	AKT1|AKT2|AKT3
0.69171	0	1	GAB2	Tuberin	GAB2	TSC2
0.68998	1	1	AMPK_pT172	TSC1	PRKAA1	TSC1
0.6897	0	1	N.Cadherin	TAZ	CDH2	WWTR1
-0.68539	0	-1	Chk1	ERK2	CHEK1	MAPK1
0.68511	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
0.68347	0	1	GAB2	TSC1	GAB2	TSC1
0.68154	0	1	Akt	AMPK_pT172	AKT1|AKT2|AKT3	PRKAA1
0.67708	0	1	ACVRL1	Smad4	ACVRL1	SMAD4
-0.67681	0	-1	ERK2	PDK1	MAPK1	PDK1
0.67456	0	1	14.3.3_beta	ACVRL1	YWHAB	ACVRL1
-0.67399	0	-1	CD31	Tuberin	PECAM1	TSC2
0.67391	0	1	ARHI	TAZ	DIRAS3	WWTR1
0.67294	0	1	CD20	GATA3	MS4A1	GATA3
-0.67268	0	-1	Akt	PDK1	AKT1|AKT2|AKT3	PDK1
-0.67041	0	-1	Akt	CD31	AKT1|AKT2|AKT3	PECAM1
-0.67034	0	-1	CD31	GSK3_pS9	PECAM1	GSK3B
0.6694	0	1	ERK2	Ku80	MAPK1	XRCC5
0.66532	1	1	mTOR	TSC1	FRAP1|MTOR	TSC1
-0.66403	0	-1	Bax	GSK3_pS9	BAX	GSK3B
0.66396	1	1	Akt	HER2	AKT1|AKT2|AKT3	ERBB2
0.66333	0	1	53BP1	Ku80	TP53BP1	XRCC5
0.66249	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.65975	0	1	CD31	PDK1	PECAM1	PDK1
0.65854	0	1	STAT5.alpha	TSC1	STAT5A	TSC1
-0.65719	0	-1	eIF4G	Stathmin	EIF4G1|EIF4G2|EIF4G3	STMN1
-0.65638	0	-1	Chk1	Ku80	CHEK1	XRCC5
0.65315	0	1	ARHI	Collagen_VI	DIRAS3	COL6A1|COL6A2|COL6A3|COL6A5
0.65297	0	1	Akt	Paxillin	AKT1|AKT2|AKT3	PXN
0.65286	1	1	Akt	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.65224	0	1	c.Met_pY1235	CD31	MET	PECAM1
0.65221	0	1	Akt	NF.kB.p65_pS536	AKT1|AKT2|AKT3	NFKB1
-0.65156	0	-1	Chk1	TSC1	CHEK1	TSC1
0.65094	1	1	beta.Catenin	HER2	CTNNB1	ERBB2
0.64943	0	1	GSK3.alpha.beta_pS21_S9	NF.kB.p65_pS536	GSK3A|GSK3B	NFKB1
0.64933	0	1	AMPK_pT172	ERK2	PRKAA1	MAPK1
0.64851	0	1	eEF2	ERK2	EEF2	MAPK1
0.64791	0	1	53BP1	beta.Catenin	TP53BP1	CTNNB1
0.6471	0	1	Akt_pT308	CDK1	AKT1|AKT2|AKT3	CDK1
-0.64639	0	-1	PDK1	Tuberin	PDK1	TSC2
0.64611	1	1	AMPK_pT172	Tuberin	PRKAA1	TSC2
-0.64534	0	-1	CD31	ERK2	PECAM1	MAPK1
0.6448	0	1	CD31	DJ.1	PECAM1	PARK7
0.64455	0	1	beta.Catenin	eIF4G	CTNNB1	EIF4G1|EIF4G2|EIF4G3
0.64445	0	1	HER3_pY1289	N.Cadherin	ERBB3	CDH2
0.64423	0	1	ACVRL1	PKC.delta_pS664	ACVRL1	PRKCD
0.64395	0	1	Ku80	Tuberin	XRCC5	TSC2
0.64104	0	1	ERK2	mTOR	MAPK1	FRAP1|MTOR
0.64037	0	1	c.Met_pY1235	Chk2_pT68	MET	CHEK2
0.63971	0	1	Akt	eEF2K	AKT1|AKT2|AKT3	EEF2K
0.63734	0	1	Akt	Ku80	AKT1|AKT2|AKT3	XRCC5
-0.63698	0	-1	beta.Catenin	Mre11	CTNNB1	MRE11A
-0.63575	1	-1	ERK2	MEK1_pS217_S221	MAPK1	MAP2K1
0.63573	0	1	Ku80	mTOR	XRCC5	FRAP1|MTOR
0.63555	0	1	eEF2K	ERK2	EEF2K	MAPK1
-0.63521	0	-1	Bax	HER2	BAX	ERBB2
0.63513	0	1	B.Raf	beta.Catenin	BRAF	CTNNB1
0.63511	0	1	AMPK_pT172	Ku80	PRKAA1	XRCC5
-0.63485	0	-1	53BP1	Chk1	TP53BP1	CHEK1
0.63479	1	1	mTOR	Rictor	FRAP1|MTOR	RICTOR
0.63452	1	1	Akt	beta.Catenin	AKT1|AKT2|AKT3	CTNNB1
0.63442	0	1	NF.kB.p65_pS536	STAT5.alpha	NFKB1	STAT5A
0.63417	0	1	Bad_pS112	GSK3.alpha.beta_pS21_S9	BAD	GSK3A|GSK3B
-0.63354	0	-1	Ku80	PDK1	XRCC5	PDK1
0.63296	0	1	S6_pS235_S236	YB.1_pS102	RPS6	YBX1
0.63035	0	1	Bad_pS112	GSK3_pS9	BAD	GSK3B
0.62966	0	1	ARHI	BRCA2	DIRAS3	BRCA2
0.62916	0	1	Tuberin	VHL	TSC2	VHL
0.62892	0	1	N.Ras	PDK1	NRAS	PDK1
0.62784	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.62774	0	1	ACVRL1	BRCA2	ACVRL1	BRCA2
0.62733	0	1	Stathmin	TAZ	STMN1	WWTR1
-0.62363	0	-1	CD31	GSK3.alpha.beta_pS21_S9	PECAM1	GSK3A|GSK3B
0.62193	0	1	Chk2_pT68	N.Cadherin	CHEK2	CDH2
0.62166	0	1	ERK2	HER2	MAPK1	ERBB2
-0.62115	0	-1	Chk1	eEF2K	CHEK1	EEF2K
0.62098	0	1	beta.Catenin	eEF2K	CTNNB1	EEF2K
0.62083	0	1	GSK3_pS9	NF.kB.p65_pS536	GSK3B	NFKB1
0.6208	0	1	GSK3_pS9	HER2	GSK3B	ERBB2
0.62021	0	1	AR	N.Cadherin	AR	CDH2
-0.61835	0	-1	Ku80	MEK1_pS217_S221	XRCC5	MAP2K1
