weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.40821	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.98164	0	1	GAB2	MIG.6	GAB2	ERRFI1
0.76296	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.74739	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.74277	0	1	Mre11	Stathmin	MRE11A	STMN1
0.6252	0	1	Chk1	Stathmin	CHEK1	STMN1
0.52983	0	1	Bid	Mre11	BID	MRE11A
0.51215	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.5079	0	1	MYH11	Rictor	MYH11	RICTOR
0.49611	0	1	FOXO3a	Stathmin	FOXO3	STMN1
0.46389	0	1	Chk1	Mre11	CHEK1	MRE11A
0.46327	1	1	MAPK_pT202_Y204	Shc_pY317	MAPK1|MAPK3	SHC1
0.45097	0	1	FOXO3a	Mre11	FOXO3	MRE11A
0.43778	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.42868	0	1	NF.kB.p65_pS536	Tuberin_pT1462	NFKB1	TSC2
0.42856	0	1	ATM	RBM15	ATM	RBM15
0.42685	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.42568	0	1	Bid	Stathmin	BID	STMN1
0.40119	0	1	p21	Stathmin	CDKN1A	STMN1
0.36069	0	1	Bak	CD20	BAK1	MS4A1
0.35889	0	1	p21	Rad51	CDKN1A	RAD51
0.35543	0	1	c.Met_pY1235	Stathmin	MET	STMN1
0.35492	0	1	Bad_pS112	PKC.pan_BetaII_pS660	BAD	PRKCB
0.35425	0	1	p38_MAPK	p38_pT180_Y182	MAPK14	MAPK14
0.35301	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
0.35174	0	1	Rad51	Stathmin	RAD51	STMN1
0.34163	0	1	Bid	CD20	BID	MS4A1
0.33526	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
0.33258	0	1	ACVRL1	Rab.25	ACVRL1	RAB25
0.33168	0	1	c.Myc	XBP1	MYC	XBP1
0.32746	1	1	EGFR_pY1173	HER2_pY1248	EGFR	ERBB2
