weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.91412	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.88005	0	1	GAB2	MIG.6	GAB2	ERRFI1
0.77796	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.7698	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.60109	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.58546	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.51625	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.48266	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.47797	0	1	MYH11	Rictor	MYH11	RICTOR
0.40928	0	1	NF.kB.p65_pS536	Tuberin_pT1462	NFKB1	TSC2
0.39413	0	1	BRCA2	VEGFR2	BRCA2	KDR
0.38867	0	1	mTOR	mTOR_pS2448	FRAP1|MTOR	FRAP1|MTOR
0.38459	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.37637	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.37445	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.3601	0	1	p38_MAPK	p38_pT180_Y182	MAPK14	MAPK14
0.35006	0	1	Akt_pT308	CDK1	AKT1|AKT2|AKT3	CDK1
0.34631	0	1	Chk2_pT68	PI3K.p110.alpha	CHEK2	PIK3CA
0.33532	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
0.33507	0	1	CD31	Rab11	PECAM1	RAB11A
0.33475	0	1	eIF4E	MEK1	EIF4E	MAP2K1
0.32416	0	1	14.3.3_beta	c.Myc	YWHAB	MYC
0.32078	0	1	PEA.15	YAP_pS127	PEA15	YAP1
0.31052	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.30319	0	1	ARHI	SF2	DIRAS3	SRSF1
0.30106	0	1	ERK2	PEA.15	MAPK1	PEA15
0.29302	0	1	Bid	Mre11	BID	MRE11A
0.29291	1	1	MAPK_pT202_Y204	Shc_pY317	MAPK1|MAPK3	SHC1
0.28844	0	1	ER.alpha_pS118	Smad4	ESR1	SMAD4
0.28595	0	1	Bak	CD20	BAK1	MS4A1
0.27996	1	1	c.Jun_pS73	CDK1	JUN	CDK1
0.27479	0	1	PREX1	Syk	PREX1	SYK
0.27424	0	1	G6PD	Smad4	G6PD	SMAD4
0.27047	0	1	14.3.3_beta	BRCA2	YWHAB	BRCA2
0.26316	0	1	c.Myc	XBP1	MYC	XBP1
0.26045	1	1	Lck	PI3K.p85	LCK	PIK3R1
0.25202	0	1	14.3.3_zeta	PRDX1	YWHAZ	PRDX1
0.25075	1	1	Akt_pT308	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.24403	1	1	PKC.delta_pS664	PKC.pan_BetaII_pS660	PRKCD	PRKCB
0.23961	0	1	14.3.3_beta	PEA15_pS116	YWHAB	PEA15
0.23017	1	1	c.Jun_pS73	JNK_pT183_Y185	JUN	MAPK8|MAPK9
0.22998	0	1	C.Raf	IRS1	RAF1	IRS1
0.228	0	1	ETS.1	Raptor	ETS1	RPTOR
0.22473	0	1	Tuberin	Tuberin_pT1462	TSC2	TSC2
0.22373	0	1	14.3.3_zeta	PEA.15	YWHAZ	PEA15
0.22302	0	1	HER3	Smad4	ERBB3	SMAD4
0.2183	0	1	PI3K.p85	PREX1	PIK3R1	PREX1
0.21822	1	1	C.Raf_pS338	MAPK_pT202_Y204	RAF1	MAPK1|MAPK3
0.21635	0	1	14.3.3_beta	Beclin	YWHAB	BECN1
