weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.94357	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.905	0	1	GAB2	MIG.6	GAB2	ERRFI1
0.79424	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.78504	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.62435	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.60449	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.60428	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.54505	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.53594	0	1	MYH11	Rictor	MYH11	RICTOR
0.47284	0	1	BRCA2	VEGFR2	BRCA2	KDR
0.47284	0	1	Chk2_pT68	PI3K.p110.alpha	CHEK2	PIK3CA
0.45014	0	1	NF.kB.p65_pS536	Tuberin_pT1462	NFKB1	TSC2
0.44576	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.44205	0	1	p38_MAPK	p38_pT180_Y182	MAPK14	MAPK14
0.4304	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.41806	0	1	Akt_pT308	CDK1	AKT1|AKT2|AKT3	CDK1
0.40865	0	1	mTOR	mTOR_pS2448	FRAP1|MTOR	FRAP1|MTOR
0.39018	0	1	14.3.3_beta	c.Myc	YWHAB	MYC
0.37601	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.36719	1	1	c.Jun_pS73	JNK_pT183_Y185	JUN	MAPK8|MAPK9
0.36431	0	1	ERK2	PEA.15	MAPK1	PEA15
0.36334	0	1	ARHI	SF2	DIRAS3	SRSF1
0.35795	0	1	PREX1	Syk	PREX1	SYK
0.35727	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.34482	0	1	ER.alpha_pS118	Smad4	ESR1	SMAD4
0.3446	0	1	PEA.15	YAP_pS127	PEA15	YAP1
0.33654	0	1	eIF4E	MEK1	EIF4E	MAP2K1
0.33357	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
0.32701	1	1	c.Jun_pS73	CDK1	JUN	CDK1
0.32086	0	1	p38_pT180_Y182	PKC.pan_BetaII_pS660	MAPK14	PRKCB
0.3197	1	1	MAPK_pT202_Y204	Shc_pY317	MAPK1|MAPK3	SHC1
0.31591	0	1	14.3.3_beta	BRCA2	YWHAB	BRCA2
0.31434	1	1	Lck	PI3K.p85	LCK	PIK3R1
0.30228	0	1	Bid	Mre11	BID	MRE11A
0.30203	0	1	G6PD	Smad4	G6PD	SMAD4
0.30055	0	1	Bak	CD20	BAK1	MS4A1
-0.29815	0	-1	Ku80	S6	XRCC5	RPS6
0.29399	1	1	Bcl.2	Bim	BCL2	BCL2L11
0.28851	1	1	Akt_pT308	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.28557	0	1	14.3.3_beta	PEA15_pS116	YWHAB	PEA15
0.2832	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.28178	0	1	CD31	Rab11	PECAM1	RAB11A
0.27938	0	1	c.Myc	XBP1	MYC	XBP1
0.27755	0	1	HER3	Smad4	ERBB3	SMAD4
0.27094	0	1	AR	NF2	AR	NF2
0.26387	0	1	HER3_pY1289	Shc_pY317	ERBB3	SHC1
0.26303	0	1	4E.BP1_pT37T46	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.26213	0	1	CDK1	Src_pY416	CDK1	SRC
0.26154	0	1	Tuberin	Tuberin_pT1462	TSC2	TSC2
0.26105	0	1	FOXO3a_pS318_S321	Rictor	FOXO3	RICTOR
0.25835	1	1	Lck	STAT5.alpha	LCK	STAT5A
0.25783	1	1	PKC.delta_pS664	PKC.pan_BetaII_pS660	PRKCD	PRKCB
0.25473	0	1	DJ.1	mTOR	PARK7	FRAP1|MTOR
0.2538	0	1	C.Raf	C.Raf_pS338	RAF1	RAF1
0.25096	0	1	Chk1_pS345	PKC.delta_pS664	CHEK1	PRKCD
0.24861	0	1	Cyclin_B1	PAI.1	CCNB1	SERPINE1
0.24689	0	1	4E.BP1	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
0.24517	0	1	AMPK_pT172	Src_pY527	PRKAA1	SRC
0.24244	0	1	Claudin.7	Syk	CLDN7	SYK
0.24193	0	1	A.Raf_pS299	MEK1_pS217_S221	ARAF	MAP2K1
-0.23793	1	1	EGFR_pY1068	HER2	EGFR	ERBB2
0.23712	0	1	c.Myc	ETS.1	MYC	ETS1
0.23603	0	1	Chk1	Stathmin	CHEK1	STMN1
0.2342	0	1	PI3K.p85	PREX1	PIK3R1	PREX1
0.23221	0	1	Beclin	p53	BECN1	TP53
0.23069	0	1	14.3.3_beta	Shc_pY317	YWHAB	SHC1
0.22917	0	1	HER2_pY1248	Src_pY416	ERBB2	SRC
0.22811	0	-1	Src	Src_pY527	SRC	SRC
0.22557	1	1	C.Raf_pS338	MAPK_pT202_Y204	RAF1	MAPK1|MAPK3
0.22527	0	1	Akt	ERK2	AKT1|AKT2|AKT3	MAPK1
0.2249	1	1	Caveolin.1	Collagen_VI	CAV1	COL6A1|COL6A2|COL6A3|COL6A5
0.22474	0	1	Bad_pS112	p38_pT180_Y182	BAD	MAPK14
