weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.32651	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.92343	0	1	GAB2	MIG.6	GAB2	ERRFI1
0.80998	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.74538	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.66298	0	1	Mre11	Stathmin	MRE11A	STMN1
0.60064	0	1	Chk1	Stathmin	CHEK1	STMN1
0.59097	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.55361	0	1	MYH11	Rictor	MYH11	RICTOR
0.51071	0	1	Bid	Mre11	BID	MRE11A
0.5002	0	1	FOXO3a	Stathmin	FOXO3	STMN1
0.44241	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.38978	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
0.38119	0	1	ATM	RBM15	ATM	RBM15
0.37451	1	1	MAPK_pT202_Y204	Shc_pY317	MAPK1|MAPK3	SHC1
0.37307	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.37231	0	1	Rad51	Stathmin	RAD51	STMN1
0.35512	0	1	NF.kB.p65_pS536	Tuberin_pT1462	NFKB1	TSC2
0.3347	0	1	Bak	CD20	BAK1	MS4A1
0.3336	0	1	c.Myc	ETS.1	MYC	ETS1
0.33201	0	1	c.Met_pY1235	Stathmin	MET	STMN1
0.32877	0	1	p21	Rad51	CDKN1A	RAD51
0.32811	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.29936	0	1	c.Met_pY1235	p53	MET	TP53
0.29828	0	1	c.Myc	XBP1	MYC	XBP1
0.29647	0	1	p38_MAPK	p38_pT180_Y182	MAPK14	MAPK14
0.28973	0	1	GSK3.alpha.beta_pS21_S9	PKC.pan_BetaII_pS660	GSK3A|GSK3B	PRKCB
0.28351	1	1	Akt	TSC1	AKT1|AKT2|AKT3	TSC1
0.28009	0	1	14.3.3_epsilon	c.Met_pY1235	YWHAE	MET
0.27985	0	1	14.3.3_beta	Smad4	YWHAB	SMAD4
0.27582	0	1	ARHI	Rab.25	DIRAS3	RAB25
0.27296	0	1	c.Myc	Fibronectin	MYC	FN1
0.26864	1	1	MAPK_pT202_Y204	Src_pY527	MAPK1|MAPK3	SRC
0.26536	1	1	Chk1	Chk2_pT68	CHEK1	CHEK2
0.26171	0	1	ACVRL1	PRAS40_pT246	ACVRL1	AKT1S1
0.26138	0	1	B.Raf	GSK3.alpha.beta_pS21_S9	BRAF	GSK3A|GSK3B
0.26106	0	1	Bid	HSP70	BID	HSPA1A
0.25507	0	1	14.3.3_epsilon	Cyclin_E1	YWHAE	CCNE1
0.25401	0	1	GSK3.alpha.beta_pS21_S9	JNK2	GSK3A|GSK3B	MAPK9
0.25224	0	1	ERK2	GSK3.alpha.beta_pS21_S9	MAPK1	GSK3A|GSK3B
0.2519	0	1	PREX1	Syk	PREX1	SYK
0.24302	0	1	14.3.3_beta	XRCC1	YWHAB	XRCC1
0.24301	0	1	Cyclin_E1	YAP	CCNE1	YAP1
0.24201	1	-1	14.3.3_epsilon	STAT5.alpha	YWHAE	STAT5A
0.23937	0	1	ACVRL1	SCD1	ACVRL1	SCD
0.23706	1	1	Cyclin_E1	Cyclin_E2	CCNE1	CCNE2
0.23674	0	1	GSK3.alpha.beta_pS21_S9	p90RSK_pT359_S363	GSK3A|GSK3B	RPS6KA1
0.23599	0	1	Bad_pS112	PKC.pan_BetaII_pS660	BAD	PRKCB
0.2296	0	1	XBP1	YB.1	XBP1	YBX1
0.22926	0	1	Akt_pS473	MAPK_pT202_Y204	AKT1|AKT2|AKT3	MAPK1|MAPK3
0.22898	0	1	ARHI	N.Ras	DIRAS3	NRAS
0.22555	0	1	Cyclin_E2	ER.alpha_pS118	CCNE2	ESR1
0.22472	0	1	CD31	Rab11	PECAM1	RAB11A
0.22396	0	-1	c.Kit	PKC.pan_BetaII_pS660	KIT	PRKCB
