weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.95902	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.90527	0	1	GAB2	MIG.6	GAB2	ERRFI1
0.88325	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.87754	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.85686	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.85424	0	1	Mre11	Stathmin	MRE11A	STMN1
0.81844	0	1	Chk1	Stathmin	CHEK1	STMN1
0.80371	0	1	Bid	Mre11	BID	MRE11A
0.78547	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.78104	0	1	FOXO3a	Stathmin	FOXO3	STMN1
0.74313	0	1	FOXO3a	Mre11	FOXO3	MRE11A
0.743	0	1	Bid	Stathmin	BID	STMN1
0.73814	0	1	Chk1	Mre11	CHEK1	MRE11A
0.72946	0	1	Rad51	Stathmin	RAD51	STMN1
0.72294	0	1	MYH11	Rictor	MYH11	RICTOR
0.71211	0	1	Bak	CD20	BAK1	MS4A1
0.70466	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.70413	0	1	Mre11	Rad51	MRE11A	RAD51
0.68414	0	1	ATM	RBM15	ATM	RBM15
0.67796	0	1	Chk1	FOXO3a	CHEK1	FOXO3
0.6778	1	1	Akt	TSC1	AKT1|AKT2|AKT3	TSC1
0.67288	1	1	EGFR_pY1173	HER2_pY1248	EGFR	ERBB2
0.6692	0	1	c.Myc	XBP1	MYC	XBP1
0.667	1	1	MAPK_pT202_Y204	Shc_pY317	MAPK1|MAPK3	SHC1
0.66562	1	1	Chk1	Rad51	CHEK1	RAD51
0.66494	0	1	NF.kB.p65_pS536	Tuberin_pT1462	NFKB1	TSC2
0.66401	0	1	14.3.3_beta	XRCC1	YWHAB	XRCC1
0.65153	0	1	ACVRL1	SCD1	ACVRL1	SCD
-0.65104	0	-1	Chk1	ERK2	CHEK1	MAPK1
0.64574	0	1	p21	Rad51	CDKN1A	RAD51
0.64249	0	1	ARHI	Rab.25	DIRAS3	RAB25
0.64073	0	1	c.Met_pY1235	Stathmin	MET	STMN1
0.64007	0	1	Bid	CD20	BID	MS4A1
0.63778	0	1	14.3.3_beta	BRCA2	YWHAB	BRCA2
0.63507	0	1	CD20	Mre11	MS4A1	MRE11A
0.63486	0	1	ARHI	SCD1	DIRAS3	SCD
0.63438	0	1	Bid	FOXO3a	BID	FOXO3
0.62942	0	1	p38_MAPK	p38_pT180_Y182	MAPK14	MAPK14
0.62458	0	1	p53	Stathmin	TP53	STMN1
0.6232	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.62036	0	1	c.Met_pY1235	p53	MET	TP53
0.61951	0	1	ERK2	GSK3.alpha.beta_pS21_S9	MAPK1	GSK3A|GSK3B
0.61725	0	1	Bid	Rad51	BID	RAD51
0.61656	0	1	14.3.3_epsilon	Cyclin_E1	YWHAE	CCNE1
0.61609	0	1	14.3.3_epsilon	c.Met_pY1235	YWHAE	MET
0.61461	0	1	ARHI	N.Ras	DIRAS3	NRAS
0.61438	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
-0.6119	0	-1	Chk1	TSC1	CHEK1	TSC1
-0.60736	0	-1	GSK3.alpha.beta_pS21_S9	Stathmin	GSK3A|GSK3B	STMN1
0.60719	0	1	p21	Stathmin	CDKN1A	STMN1
