weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.93074	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.90909	0	1	GAB2	MIG.6	GAB2	ERRFI1
0.7616	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.69646	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.623	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.54838	0	1	MYH11	Rictor	MYH11	RICTOR
0.51293	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
0.44813	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.4372	0	1	Akt_pT308	CDK1	AKT1|AKT2|AKT3	CDK1
0.43264	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.36722	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.35737	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.30193	0	1	p38_MAPK	p38_pT180_Y182	MAPK14	MAPK14
0.28123	1	1	MAPK_pT202_Y204	Shc_pY317	MAPK1|MAPK3	SHC1
0.27774	0	1	Akt_pS473	MAPK_pT202_Y204	AKT1|AKT2|AKT3	MAPK1|MAPK3
0.27053	1	1	c.Jun_pS73	CDK1	JUN	CDK1
0.2667	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.2563	0	1	4E.BP1	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
0.25407	0	1	NF.kB.p65_pS536	Tuberin_pT1462	NFKB1	TSC2
0.24538	0	1	p38_pT180_Y182	PKC.pan_BetaII_pS660	MAPK14	PRKCB
0.24287	0	1	BRCA2	VEGFR2	BRCA2	KDR
0.2386	0	1	PEA.15	YAP_pS127	PEA15	YAP1
0.23753	0	1	Transglutaminase	VHL	TGM2	VHL
0.23579	0	1	BRCA2	c.Myc	BRCA2	MYC
0.23471	0	1	MYH11	NDRG1_pT346	MYH11	NDRG1
0.2285	0	1	c.Myc	XBP1	MYC	XBP1
0.22755	1	1	NF.kB.p65_pS536	Src_pY416	NFKB1	SRC
0.21878	0	1	4E.BP1	MEK1	EIF4EBP1	MAP2K1
