weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.95328	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.92181	0	1	GAB2	MIG.6	GAB2	ERRFI1
0.80443	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.76306	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.63805	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.62531	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.58106	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.55587	0	1	MYH11	Rictor	MYH11	RICTOR
0.5254	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.49022	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.47201	0	1	Akt_pT308	CDK1	AKT1|AKT2|AKT3	CDK1
0.46997	0	1	BRCA2	VEGFR2	BRCA2	KDR
0.46015	0	1	Chk2_pT68	PI3K.p110.alpha	CHEK2	PIK3CA
0.45407	0	1	NF.kB.p65_pS536	Tuberin_pT1462	NFKB1	TSC2
0.45183	0	1	mTOR	mTOR_pS2448	FRAP1|MTOR	FRAP1|MTOR
0.44542	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.43287	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.41232	0	1	ERK2	PEA.15	MAPK1	PEA15
0.40058	0	1	14.3.3_beta	c.Myc	YWHAB	MYC
0.3991	1	1	c.Jun_pS73	JNK_pT183_Y185	JUN	MAPK8|MAPK9
0.3954	0	1	p38_pT180_Y182	PKC.pan_BetaII_pS660	MAPK14	PRKCB
0.38518	0	1	p38_MAPK	p38_pT180_Y182	MAPK14	MAPK14
0.37989	0	1	PREX1	Syk	PREX1	SYK
0.367	0	1	ER.alpha_pS118	Smad4	ESR1	SMAD4
0.36616	0	1	ARHI	SF2	DIRAS3	SRSF1
0.36158	0	1	Bap1.c.4	S6	BAP1	RPS6
0.35247	0	1	AR	NF2	AR	NF2
-0.35136	0	-1	Ku80	S6	XRCC5	RPS6
0.35061	0	1	14.3.3_beta	PEA15_pS116	YWHAB	PEA15
0.34329	1	1	Lck	PI3K.p85	LCK	PIK3R1
0.34274	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.33635	0	1	PEA.15	YAP_pS127	PEA15	YAP1
0.33024	0	1	CDK1	Src_pY416	CDK1	SRC
0.32654	1	1	c.Jun_pS73	CDK1	JUN	CDK1
0.32606	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
0.3221	0	1	14.3.3_beta	BRCA2	YWHAB	BRCA2
0.31886	0	1	HER3	Smad4	ERBB3	SMAD4
0.318	0	1	4E.BP1_pT37T46	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.31362	0	1	Bid	SF2	BID	SRSF1
0.31055	0	1	Bak	CD20	BAK1	MS4A1
0.3097	0	1	S6	S6_pS235_S236	RPS6	RPS6
0.30909	0	1	Chk1_pS345	PKC.delta_pS664	CHEK1	PRKCD
0.3047	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.30099	0	1	eIF4E	MEK1	EIF4E	MAP2K1
0.29451	0	1	C.Raf	C.Raf_pS338	RAF1	RAF1
0.29147	0	1	FOXO3a_pS318_S321	Rictor	FOXO3	RICTOR
0.28788	0	1	Tuberin	Tuberin_pT1462	TSC2	TSC2
0.28544	1	1	Akt_pT308	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.28503	1	1	Bcl.2	Bim	BCL2	BCL2L11
0.28329	0	1	Claudin.7	Syk	CLDN7	SYK
0.28286	1	1	Lck	STAT5.alpha	LCK	STAT5A
0.27966	0	1	G6PD	Smad4	G6PD	SMAD4
0.27831	1	1	MAPK_pT202_Y204	Shc_pY317	MAPK1|MAPK3	SHC1
-0.27796	1	-1	mTOR	Shc_pY317	FRAP1|MTOR	SHC1
-0.27561	0	-1	GSK3.alpha.beta	PKC.alpha_pS657	GSK3A|GSK3B	PRKCA
0.27437	1	1	MAPK_pT202_Y204	Src_pY527	MAPK1|MAPK3	SRC
-0.27396	0	1	PKC.pan_BetaII_pS660	Tuberin	PRKCB	TSC2
0.2738	1	1	EGFR_pY1173	HER2_pY1248	EGFR	ERBB2
0.27307	0	-1	ER.alpha	MEK1_pS217_S221	ESR1	MAP2K1
0.27302	0	1	HER3_pY1289	Shc_pY317	ERBB3	SHC1
0.27243	0	-1	eEF2	TAZ	EEF2	WWTR1
0.27073	0	1	BRCA2	Rab.25	BRCA2	RAB25
-0.27014	0	-1	Akt_pS473	CDK1	AKT1|AKT2|AKT3	CDK1
0.26974	0	1	PI3K.p85	PREX1	PIK3R1	PREX1
0.26825	0	1	Fibronectin	YB.1	FN1	YBX1
-0.2666	1	1	MEK1_pS217_S221	Src_pY527	MAP2K1	SRC
0.26573	0	1	Chk1_pS345	Cyclin_E1	CHEK1	CCNE1
0.26452	0	1	AMPK_pT172	Src_pY527	PRKAA1	SRC
0.26302	0	1	YAP	YAP_pS127	YAP1	YAP1
0.26239	0	1	P.Cadherin	p62.LCK.ligand	CDH3	SQSTM1
0.26215	0	1	c.Myc	XBP1	MYC	XBP1
0.26176	0	1	JNK2	Syk	MAPK9	SYK
0.2604	0	1	PI3K.p110.alpha	SF2	PIK3CA	SRSF1
-0.26032	0	1	MAPK_pT202_Y204	S6_pS240_S244	MAPK1|MAPK3	RPS6
0.25958	1	1	14.3.3_beta	FOXO3a_pS318_S321	YWHAB	FOXO3
0.25934	1	-1	beta.Catenin	N.Cadherin	CTNNB1	CDH2
-0.25927	1	-1	GATA3	Notch1	GATA3	NOTCH1
0.25907	1	1	C.Raf_pS338	MEK1_pS217_S221	RAF1	MAP2K1
-0.25888	0	-1	p38_pT180_Y182	YB.1_pS102	MAPK14	YBX1
0.25833	0	1	HER3	Mre11	ERBB3	MRE11A
0.25639	1	1	p70S6K_pT389	S6_pS240_S244	RPS6KB1	RPS6
0.25598	1	1	Caveolin.1	Collagen_VI	CAV1	COL6A1|COL6A2|COL6A3|COL6A5
0.25517	1	1	c.Jun_pS73	c.Myc	JUN	MYC
-0.25372	0	-1	eIF4G	PR	EIF4G1|EIF4G2|EIF4G3	PGR
-0.2531	0	1	Fibronectin	p53	FN1	TP53
-0.25219	0	-1	EGFR	YAP_pS127	EGFR	YAP1
-0.25084	0	1	ER.alpha_pS118	XBP1	ESR1	XBP1
0.25072	0	1	Chk2_pT68	PR	CHEK2	PGR
0.25063	0	1	c.Kit	ER.alpha_pS118	KIT	ESR1
0.25062	0	1	Bcl.xL	ETS.1	BCL2L1	ETS1
-0.25034	0	-1	p38_pT180_Y182	Rictor_pT1135	MAPK14	RICTOR
0.24931	0	1	A.Raf_pS299	MEK1_pS217_S221	ARAF	MAP2K1
0.24928	0	1	PREX1	STAT5.alpha	PREX1	STAT5A
0.24834	0	1	Bcl.xL	Src	BCL2L1	SRC
0.2482	1	1	PKC.delta_pS664	PKC.pan_BetaII_pS660	PRKCD	PRKCB
0.24815	1	1	Bax	Bcl.xL	BAX	BCL2L1
0.2464	0	1	Bap1.c.4	p38_pT180_Y182	BAP1	MAPK14
0.24607	0	-1	Src	Src_pY527	SRC	SRC
0.24565	0	1	Akt	ERK2	AKT1|AKT2|AKT3	MAPK1
0.24544	0	1	TAZ	YAP_pS127	WWTR1	YAP1
0.24531	0	1	Bid	Mre11	BID	MRE11A
-0.2449	0	-1	GAPDH	YAP	GAPDH	YAP1
0.24437	1	1	GSK3.alpha.beta	GSK3_pS9	GSK3A|GSK3B	GSK3B
-0.2443	0	-1	AR	Rab.25	AR	RAB25
0.24344	0	-1	4E.BP1_pT37T46	Rad50	EIF4EBP1	RAD50
0.24329	0	-1	Bad_pS112	p27_pT157	BAD	CDKN1B
0.24325	0	1	Chk1_pS345	PR	CHEK1	PGR
0.24312	0	1	Cyclin_B1	PAI.1	CCNB1	SERPINE1
0.24296	0	1	ETS.1	XBP1	ETS1	XBP1
0.24262	0	1	14.3.3_beta	Shc_pY317	YWHAB	SHC1
-0.24227	1	1	EGFR_pY1068	HER2	EGFR	ERBB2
0.24218	0	1	Annexin_VII	DJ.1	ANXA7	PARK7
0.2415	0	1	mTOR_pS2448	PR	FRAP1|MTOR	PGR
0.24149	0	1	p90RSK	PKC.pan_BetaII_pS660	RPS6KA1	PRKCB
0.24123	0	1	DJ.1	mTOR	PARK7	FRAP1|MTOR
0.24096	0	1	c.Jun_pS73	PAI.1	JUN	SERPINE1
0.2401	0	1	Bax	TIGAR	BAX	C12ORF5
0.23973	0	-1	Myosin.IIa_pS1943	YAP	MYH9	YAP1
0.23973	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.23964	0	1	4E.BP1_pT37T46	JNK_pT183_Y185	EIF4EBP1	MAPK8|MAPK9
-0.23899	0	-1	Akt	HER3_pY1289	AKT1|AKT2|AKT3	ERBB3
0.23833	1	1	C.Raf_pS338	MAPK_pT202_Y204	RAF1	MAPK1|MAPK3
0.23824	0	1	4E.BP1	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
0.23793	0	1	Akt_pT308	YB.1_pS102	AKT1|AKT2|AKT3	YBX1
0.23774	1	1	ARID1A	Smad1	ARID1A	SMAD1
-0.23774	1	-1	Akt_pT308	Tuberin	AKT1|AKT2|AKT3	TSC2
0.23766	0	1	Mre11	Stathmin	MRE11A	STMN1
-0.23743	1	-1	MEK1	Src	MAP2K1	SRC
0.23707	0	-1	A.Raf_pS299	HSP70	ARAF	HSPA1A
-0.23668	0	1	ACC_pS79	eEF2K	ACACA|ACACB	EEF2K
0.23628	0	1	p90RSK_pT359_S363	YB.1_pS102	RPS6KA1	YBX1
-0.23613	0	-1	Claudin.7	PREX1	CLDN7	PREX1
-0.23601	0	1	4E.BP1_pT70	NDRG1_pT346	EIF4EBP1	NDRG1
-0.23473	0	-1	Annexin_VII	Rb_pS807_S811	ANXA7	RB1
0.23387	0	-1	mTOR_pS2448	Rictor_pT1135	FRAP1|MTOR	RICTOR
0.23384	0	1	ETS.1	Raptor	ETS1	RPTOR
0.23375	1	1	GSK3.alpha.beta	PKC.alpha	GSK3A|GSK3B	PRKCA
0.23331	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.2329	0	1	PTEN	RBM15	PTEN	RBM15
-0.23245	0	-1	FOXO3a_pS318_S321	Src_pY527	FOXO3	SRC
-0.23223	0	-1	Caspase.7_cleavedD198	eIF4G	CASP7	EIF4G1|EIF4G2|EIF4G3
0.23197	0	1	FoxM1	GATA3	FOXM1	GATA3
0.23166	0	1	MAPK_pT202_Y204	S6_pS235_S236	MAPK1|MAPK3	RPS6
0.23136	0	1	eEF2	eEF2K	EEF2	EEF2K
0.23133	0	1	Bid	Stathmin	BID	STMN1
-0.23115	0	-1	Chk1	eIF4G	CHEK1	EIF4G1|EIF4G2|EIF4G3
-0.23077	0	-1	Bap1.c.4	GSK3_pS9	BAP1	GSK3B
0.22939	0	-1	HER2_pY1248	p27_pT198	ERBB2	CDKN1B
0.22914	0	1	Akt	PTEN	AKT1|AKT2|AKT3	PTEN
0.22901	0	1	HSP70	STAT3_pY705	HSPA1A	STAT3
-0.22887	0	-1	Myosin.IIa_pS1943	Rictor_pT1135	MYH9	RICTOR
0.22866	0	1	HER3_pY1289	p70S6K_pT389	ERBB3	RPS6KB1
-0.22835	0	1	Akt_pS473	NF.kB.p65_pS536	AKT1|AKT2|AKT3	NFKB1
-0.22828	0	1	p62.LCK.ligand	S6	SQSTM1	RPS6
0.22825	1	1	4E.BP1	eIF4E	EIF4EBP1	EIF4E
0.2282	0	1	eIF4G	YB.1	EIF4G1|EIF4G2|EIF4G3	YBX1
0.22804	0	1	PDCD4	S6_pS235_S236	PDCD4	RPS6
0.2278	0	-1	4E.BP1	PR	EIF4EBP1	PGR
0.22747	0	1	CD31	Rab11	PECAM1	RAB11A
0.22732	0	1	14.3.3_zeta	4E.BP1	YWHAZ	EIF4EBP1
0.22711	0	1	PREX1	PTEN	PREX1	PTEN
0.22692	0	1	Bak	Smad3	BAK1	SMAD3
-0.22672	0	-1	c.Kit	S6	KIT	RPS6
0.22672	0	1	eEF2K	Heregulin	EEF2K	NRG1
0.22633	0	-1	N.Cadherin	Tuberin	CDH2	TSC2
-0.22632	0	-1	E.Cadherin	eIF4G	CDH1	EIF4G1|EIF4G2|EIF4G3
-0.2257	1	-1	Bcl.2	PKC.alpha	BCL2	PRKCA
-0.22533	0	-1	AMPK_alpha	PEA.15	PRKAA1	PEA15
-0.22531	0	-1	C.Raf_pS338	p70S6K	RAF1	RPS6KB1
0.22502	0	1	Bak	p27_pT198	BAK1	CDKN1B
-0.22462	0	-1	NF2	YAP	NF2	YAP1
0.2245	0	1	p27	p27_pT198	CDKN1B	CDKN1B
0.22449	0	1	Chk1	YAP	CHEK1	YAP1
-0.22436	0	1	c.Myc	PEA15_pS116	MYC	PEA15
0.22389	0	1	4E.BP1_pT37T46	p70S6K_pT389	EIF4EBP1	RPS6KB1
0.22379	0	1	Bid	Fibronectin	BID	FN1
0.22377	0	1	Rictor_pT1135	TSC1	RICTOR	TSC1
0.22369	0	1	p62.LCK.ligand	p90RSK	SQSTM1	RPS6KA1
0.22324	0	1	C.Raf_pS338	FOXO3a_pS318_S321	RAF1	FOXO3
0.22296	0	-1	A.Raf_pS299	MYH11	ARAF	MYH11
-0.2225	0	-1	Bid	EGFR_pY1068	BID	EGFR
0.22241	1	-1	MEK1_pS217_S221	Src	MAP2K1	SRC
-0.22201	0	-1	FOXO3a_pS318_S321	PREX1	FOXO3	PREX1
0.22197	0	1	Rab11	Rictor_pT1135	RAB11A	RICTOR
0.2218	0	1	Annexin.1	ER.alpha	ANXA1	ESR1
0.22166	0	1	Cyclin_B1	TRFC	CCNB1	TFRC
-0.22155	0	1	GATA3	TAZ	GATA3	WWTR1
-0.22119	0	-1	RBM15	YB.1_pS102	RBM15	YBX1
0.22116	0	1	Bap1.c.4	PI3K.p110.alpha	BAP1	PIK3CA
-0.22114	0	-1	Src_pY527	YB.1_pS102	SRC	YBX1
-0.22058	0	-1	Bap1.c.4	S6_pS235_S236	BAP1	RPS6
-0.21964	1	-1	Akt_pT308	Src_pY416	AKT1|AKT2|AKT3	SRC
0.21953	0	1	Bak	Lck	BAK1	LCK
0.21914	0	1	Akt_pS473	MAPK_pT202_Y204	AKT1|AKT2|AKT3	MAPK1|MAPK3
0.21902	0	1	c.Jun_pS73	p27_pT198	JUN	CDKN1B
-0.21893	0	1	Bcl.2	GAPDH	BCL2	GAPDH
0.21852	0	-1	FOXO3a_pS318_S321	GSK3.alpha.beta_pS21_S9	FOXO3	GSK3A|GSK3B
0.21811	0	1	PDK1_pS241	Tuberin	PDK1	TSC2
0.21788	0	-1	Bcl.xL	beta.Catenin	BCL2L1	CTNNB1
0.21786	0	1	4E.BP1_pT37T46	Rb_pS807_S811	EIF4EBP1	RB1
0.21778	0	1	HSP70	N.Cadherin	HSPA1A	CDH2
0.21769	0	-1	HSP70	S6	HSPA1A	RPS6
0.21761	0	1	eIF4G	Src_pY527	EIF4G1|EIF4G2|EIF4G3	SRC
0.21755	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
-0.21729	0	-1	GATA3	RBM15	GATA3	RBM15
0.21727	0	1	Bax	Lck	BAX	LCK
-0.21706	0	-1	ARID1A	Caveolin.1	ARID1A	CAV1
0.21678	0	1	SF2	Smad3	SRSF1	SMAD3
-0.21646	0	-1	Beclin	PRDX1	BECN1	PRDX1
0.21636	0	-1	Cyclin_D1	Transglutaminase	CCND1	TGM2
0.21582	0	1	Akt_pS473	NDRG1_pT346	AKT1|AKT2|AKT3	NDRG1
0.2158	0	1	Bak	Cyclin_E1	BAK1	CCNE1
-0.21576	0	-1	Fibronectin	STAT3_pY705	FN1	STAT3
-0.21556	0	1	eEF2	p62.LCK.ligand	EEF2	SQSTM1
0.21544	0	1	c.Met_pY1235	HER3_pY1289	MET	ERBB3
0.21522	0	1	GATA3	YAP	GATA3	YAP1
-0.21479	1	-1	PKC.pan_BetaII_pS660	Src_pY527	PRKCB	SRC
-0.21452	0	-1	P.Cadherin	Tuberin	CDH3	TSC2
-0.21445	0	1	Chk1	PCNA	CHEK1	PCNA
-0.21441	0	-1	C.Raf_pS338	GSK3.alpha.beta_pS21_S9	RAF1	GSK3A|GSK3B
0.21424	0	-1	PKC.pan_BetaII_pS660	Rictor_pT1135	PRKCB	RICTOR
-0.21404	0	-1	p90RSK_pT359_S363	S6_pS240_S244	RPS6KA1	RPS6
-0.21403	0	-1	GSK3.alpha.beta_pS21_S9	SCD1	GSK3A|GSK3B	SCD
0.21383	0	-1	GSK3_pS9	SCD1	GSK3B	SCD
0.21358	0	1	Bad_pS112	beta.Catenin	BAD	CTNNB1
0.21357	0	-1	LKB1	YB.1	STK11	YBX1
0.21355	0	1	beta.Catenin	YAP_pS127	CTNNB1	YAP1
0.213	0	1	Chk1	Stathmin	CHEK1	STMN1
0.21222	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
-0.21214	1	1	CD49b	Fibronectin	ITGA2	FN1
0.21158	0	1	B.Raf	EGFR	BRAF	EGFR
0.21148	0	1	Heregulin	PDCD4	NRG1	PDCD4
-0.21132	0	-1	Bid	PI3K.p110.alpha	BID	PIK3CA
0.21125	0	1	Akt_pT308	p27_pT198	AKT1|AKT2|AKT3	CDKN1B
-0.21103	0	1	CDK1	JNK_pT183_Y185	CDK1	MAPK8|MAPK9
0.21085	0	1	GAPDH	Myosin.IIa_pS1943	GAPDH	MYH9
0.21082	0	1	Bad_pS112	YB.1_pS102	BAD	YBX1
0.21081	0	1	Bcl.2	p27	BCL2	CDKN1B
0.21068	1	-1	N.Cadherin	P.Cadherin	CDH2	CDH3
0.21035	0	1	p38_MAPK	PEA.15	MAPK14	PEA15
