weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.94642	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.87263	0	1	GAB2	MIG.6	GAB2	ERRFI1
0.85686	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.84089	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.81529	0	1	Chk1	Stathmin	CHEK1	STMN1
0.79779	0	1	Mre11	Stathmin	MRE11A	STMN1
0.7878	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.76815	0	1	MYH11	Rictor	MYH11	RICTOR
0.73762	0	1	Bid	Mre11	BID	MRE11A
0.73174	0	1	FOXO3a	Stathmin	FOXO3	STMN1
0.72214	0	1	Chk1	Mre11	CHEK1	MRE11A
0.70313	1	1	MAPK_pT202_Y204	Shc_pY317	MAPK1|MAPK3	SHC1
0.69431	0	1	Bid	Stathmin	BID	STMN1
0.69159	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.6808	0	1	FOXO3a	Mre11	FOXO3	MRE11A
0.67746	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.67625	0	1	Chk1	FOXO3a	CHEK1	FOXO3
0.67524	0	1	NF.kB.p65_pS536	Tuberin_pT1462	NFKB1	TSC2
0.67236	0	1	Rad51	Stathmin	RAD51	STMN1
0.66654	1	1	EGFR_pY1173	HER2_pY1248	EGFR	ERBB2
0.66093	0	1	p21	Rad51	CDKN1A	RAD51
0.65615	1	1	Chk1	Rad51	CHEK1	RAD51
0.65152	0	1	Bak	CD20	BAK1	MS4A1
0.64437	0	1	ATM	RBM15	ATM	RBM15
0.64409	0	1	p21	Stathmin	CDKN1A	STMN1
0.63758	0	1	Mre11	Rad51	MRE11A	RAD51
0.63306	0	1	p38_MAPK	p38_pT180_Y182	MAPK14	MAPK14
0.6294	0	1	Bid	Chk1	BID	CHEK1
0.62568	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
0.6237	0	1	Bid	HSP70	BID	HSPA1A
0.62313	0	1	Bid	CD20	BID	MS4A1
-0.62207	0	-1	RBM15	Stathmin	RBM15	STMN1
0.61454	0	1	CD20	Mre11	MS4A1	MRE11A
0.61179	0	1	CD31	Rab11	PECAM1	RAB11A
-0.60404	0	-1	AMPK_alpha	p21	PRKAA1	CDKN1A
-0.604	0	-1	B.Raf	p21	BRAF	CDKN1A
0.60234	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.60215	0	1	Cyclin_E1	Stathmin	CCNE1	STMN1
0.60056	0	1	p21	XBP1	CDKN1A	XBP1
0.59986	0	1	ARHI	Rab.25	DIRAS3	RAB25
0.59959	0	1	p53	Stathmin	TP53	STMN1
0.59868	0	1	c.Met_pY1235	Stathmin	MET	STMN1
0.59728	0	1	GSK3.alpha.beta_pS21_S9	PKC.pan_BetaII_pS660	GSK3A|GSK3B	PRKCB
0.59639	0	1	c.Myc	XBP1	MYC	XBP1
0.59378	0	1	c.Met_pY1235	Chk1	MET	CHEK1
0.59212	0	1	AMPK_alpha	B.Raf	PRKAA1	BRAF
0.59087	0	1	RBM15	STAT5.alpha	RBM15	STAT5A
0.59005	0	1	Bid	FOXO3a	BID	FOXO3
0.58613	0	1	Bak	Stathmin	BAK1	STMN1
0.58608	0	1	ARHI	N.Ras	DIRAS3	NRAS
-0.58384	0	-1	GSK3.alpha.beta_pS21_S9	Stathmin	GSK3A|GSK3B	STMN1
0.58325	1	1	Chk1	Chk2_pT68	CHEK1	CHEK2
0.58253	0	1	14.3.3_epsilon	Cyclin_E1	YWHAE	CCNE1
0.58076	0	1	c.Myc	ETS.1	MYC	ETS1
0.57942	0	1	NF.kB.p65_pS536	p90RSK_pT359_S363	NFKB1	RPS6KA1
0.5793	0	1	Chk1	p21	CHEK1	CDKN1A
0.57879	0	1	Bak	FOXO3a	BAK1	FOXO3
0.57866	1	1	Shc_pY317	Src_pY527	SHC1	SRC
0.57722	0	1	FOXO3a	YAP	FOXO3	YAP1
0.57716	0	1	14.3.3_epsilon	c.Met_pY1235	YWHAE	MET
0.57694	1	1	FOXO3a	p21	FOXO3	CDKN1A
0.57479	0	1	Bak	Chk1	BAK1	CHEK1
0.57468	0	1	C.Raf_pS338	HER3_pY1289	RAF1	ERBB3
0.57451	0	1	Bad_pS112	PKC.pan_BetaII_pS660	BAD	PRKCB
0.57394	0	1	Cyclin_E2	ER.alpha_pS118	CCNE2	ESR1
0.57308	0	1	Cyclin_E1	YAP	CCNE1	YAP1
0.56745	1	1	Chk1	p53	CHEK1	TP53
0.56536	0	1	ACVRL1	SCD1	ACVRL1	SCD
0.56453	0	1	HSP70	Mre11	HSPA1A	MRE11A
0.56426	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.56359	0	1	CD20	Stathmin	MS4A1	STMN1
-0.56321	0	-1	c.Met_pY1235	RBM15	MET	RBM15
0.56259	1	1	Cyclin_E1	p53	CCNE1	TP53
0.55996	1	1	Bak	Bid	BAK1	BID
0.55865	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
0.55767	0	1	GSK3.alpha.beta_pS21_S9	Tuberin_pT1462	GSK3A|GSK3B	TSC2
0.55633	1	1	MAPK_pT202_Y204	Src_pY527	MAPK1|MAPK3	SRC
0.55607	0	1	ATM	STAT5.alpha	ATM	STAT5A
0.55503	0	1	HSP70	Stathmin	HSPA1A	STMN1
0.55476	0	1	c.Met_pY1235	p53	MET	TP53
0.55441	0	1	4E.BP1_pT37T46	S6_pS240_S244	EIF4EBP1	RPS6
-0.55426	0	-1	Chk1	RBM15	CHEK1	RBM15
0.55371	0	1	Fibronectin	XBP1	FN1	XBP1
0.55213	0	1	CD20	FOXO3a	MS4A1	FOXO3
0.55141	0	1	Rad51	XBP1	RAD51	XBP1
