weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.11666	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
1.04058	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.85117	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.78304	0	1	Mre11	N.Cadherin	MRE11A	CDH2
0.65002	0	1	Chk1	Mre11	CHEK1	MRE11A
0.60114	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.56391	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.56147	0	1	14.3.3_beta	ACVRL1	YWHAB	ACVRL1
0.54449	1	1	Akt	Tuberin	AKT1|AKT2|AKT3	TSC2
0.53572	0	1	STAT5.alpha	Tuberin	STAT5A	TSC2
0.51923	1	1	Akt	TSC1	AKT1|AKT2|AKT3	TSC1
0.51467	0	1	Chk1	Stathmin	CHEK1	STMN1
0.51444	0	1	Mre11	Stathmin	MRE11A	STMN1
0.51091	1	1	TSC1	Tuberin	TSC1	TSC2
0.50931	1	1	ERK2	Tuberin	MAPK1	TSC2
0.50049	0	1	Mre11	TAZ	MRE11A	WWTR1
0.49796	0	1	Chk1	HER3_pY1289	CHEK1	ERBB3
0.47977	0	1	HER3_pY1289	Mre11	ERBB3	MRE11A
0.4794	1	1	Akt	STAT5.alpha	AKT1|AKT2|AKT3	STAT5A
0.46291	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.46048	0	1	Chk2_pT68	HER3_pY1289	CHEK2	ERBB3
0.45278	0	1	HER2_pY1248	Src_pY416	ERBB2	SRC
0.45027	0	-1	B.Raf	Chk1	BRAF	CHEK1
0.44268	0	1	Chk2_pT68	N.Cadherin	CHEK2	CDH2
0.44098	1	1	ERK2	TSC1	MAPK1	TSC1
0.44019	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.43891	1	1	14.3.3_beta	14.3.3_epsilon	YWHAB	YWHAE
0.43472	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.43408	0	1	Akt	ERK2	AKT1|AKT2|AKT3	MAPK1
0.42989	0	1	14.3.3_beta	PDK1	YWHAB	PDK1
0.4261	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.42576	1	1	ERK2	STAT5.alpha	MAPK1	STAT5A
0.42567	0	1	HER3_pY1289	N.Cadherin	ERBB3	CDH2
0.42538	0	1	14.3.3_epsilon	PDK1	YWHAE	PDK1
0.42536	0	1	N.Cadherin	Stathmin	CDH2	STMN1
0.42479	1	1	Chk1	Chk2_pT68	CHEK1	CHEK2
0.42002	1	1	C.Raf_pS338	MEK1_pS217_S221	RAF1	MAP2K1
0.40828	0	1	GSK3.alpha.beta_pS21_S9	PKC.pan_BetaII_pS660	GSK3A|GSK3B	PRKCB
0.40601	0	1	GSK3_pS9	NF.kB.p65_pS536	GSK3B	NFKB1
0.39873	0	1	ACVRL1	PDK1	ACVRL1	PDK1
0.3962	0	1	GSK3.alpha.beta_pS21_S9	NF.kB.p65_pS536	GSK3A|GSK3B	NFKB1
0.39547	0	1	GSK3_pS9	PKC.pan_BetaII_pS660	GSK3B	PRKCB
0.39291	0	1	HER2	mTOR	ERBB2	FRAP1|MTOR
0.37968	1	1	14.3.3_beta	FOXO3a	YWHAB	FOXO3
0.37815	1	1	Akt	mTOR	AKT1|AKT2|AKT3	FRAP1|MTOR
0.37643	0	1	GSK3.alpha.beta_pS21_S9	Tuberin	GSK3A|GSK3B	TSC2
0.3744	0	1	Chk1	TAZ	CHEK1	WWTR1
0.36673	1	-1	Akt	Chk1	AKT1|AKT2|AKT3	CHEK1
0.3654	0	1	Akt	NF.kB.p65_pS536	AKT1|AKT2|AKT3	NFKB1
0.36459	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.36277	1	1	Akt	GSK3.alpha.beta_pS21_S9	AKT1|AKT2|AKT3	GSK3A|GSK3B
0.36074	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.35429	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.35357	0	1	Rad51	TAZ	RAD51	WWTR1
0.34742	0	1	HER2_pY1248	Src_pY527	ERBB2	SRC
0.3443	0	1	Stathmin	TAZ	STMN1	WWTR1
0.34413	0	1	ATM	STAT5.alpha	ATM	STAT5A
0.34257	1	1	beta.Catenin	HER2	CTNNB1	ERBB2
0.34161	0	1	Rad50	TSC1	RAD50	TSC1
0.3403	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.33781	0	1	mTOR	PKC.pan_BetaII_pS660	FRAP1|MTOR	PRKCB
0.33713	0	1	GSK3_pS9	Tuberin	GSK3B	TSC2
0.33703	0	-1	C.Raf_pS338	TSC1	RAF1	TSC1
0.33604	0	-1	Akt	Chk2_pT68	AKT1|AKT2|AKT3	CHEK2
0.33561	0	-1	Chk1	GSK3_pS9	CHEK1	GSK3B
0.33533	0	-1	Chk1	PKC.pan_BetaII_pS660	CHEK1	PRKCB
0.33361	1	1	Chk2_pT68	Mre11	CHEK2	MRE11A
0.33325	1	1	Akt	HER2	AKT1|AKT2|AKT3	ERBB2
0.33277	1	1	Chk1	Rad51	CHEK1	RAD51
0.33226	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
0.33079	1	1	Akt	B.Raf	AKT1|AKT2|AKT3	BRAF
0.32952	0	1	Chk2_pT68	Stathmin	CHEK2	STMN1
0.32658	0	1	Claudin.7	Rab.25	CLDN7	RAB25
0.32523	0	1	Bid	IRS1	BID	IRS1
0.32446	0	1	Rad50	Tuberin	RAD50	TSC2
0.32368	0	1	14.3.3_epsilon	ACVRL1	YWHAE	ACVRL1
0.32262	0	1	Rad51	Stathmin	RAD51	STMN1
0.32253	0	1	GSK3.alpha.beta_pS21_S9	STAT5.alpha	GSK3A|GSK3B	STAT5A
0.32225	0	1	PKC.pan_BetaII_pS660	Tuberin	PRKCB	TSC2
0.32159	0	-1	Chk2_pT68	TSC1	CHEK2	TSC1
0.32084	0	1	Ku80	Tuberin	XRCC5	TSC2
0.3198	0	-1	c.Met_pY1235	PKC.pan_BetaII_pS660	MET	PRKCB
0.31897	0	-1	C.Raf_pS338	STAT5.alpha	RAF1	STAT5A
0.31708	0	1	MYH11	Rictor	MYH11	RICTOR
0.31703	0	-1	Chk1	PKC.alpha	CHEK1	PRKCA
0.31534	0	-1	14.3.3_epsilon	GSK3_pS9	YWHAE	GSK3B
0.31409	0	1	Akt	Ku80	AKT1|AKT2|AKT3	XRCC5
0.31157	0	1	BRCA2	PDK1	BRCA2	PDK1
0.31055	0	1	14.3.3_beta	BRCA2	YWHAB	BRCA2
0.30931	0	-1	PKC.pan_BetaII_pS660	TAZ	PRKCB	WWTR1
0.30675	0	-1	GSK3.alpha.beta_pS21_S9	TAZ	GSK3A|GSK3B	WWTR1
0.30584	0	1	Akt	Rad50	AKT1|AKT2|AKT3	RAD50
0.30581	0	1	BRCA2	TAZ	BRCA2	WWTR1
0.30549	0	1	14.3.3_epsilon	BRCA2	YWHAE	BRCA2
0.30455	0	1	GAB2	Tuberin	GAB2	TSC2
0.30426	0	1	ERK2	Rad50	MAPK1	RAD50
0.30288	0	1	BRCA2	N.Ras	BRCA2	NRAS
0.30282	0	1	Cyclin_E2	p27_pT157	CCNE2	CDKN1B
0.3023	0	-1	Akt	BRCA2	AKT1|AKT2|AKT3	BRCA2
0.30149	1	1	Bak	Bid	BAK1	BID
0.30102	0	1	ACC1	FASN	ACACA	FASN
0.30006	0	1	4E.BP1	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.29947	0	1	c.Met_pY1235	HER3_pY1289	MET	ERBB3
0.29937	0	1	SCD1	SF2	SCD	SRSF1
0.29823	0	1	B.Raf	Rad50	BRAF	RAD50
