weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.52236	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.48909	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.48163	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.3913	0	1	MYH11	Rictor	MYH11	RICTOR
0.35791	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.35362	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.34467	0	1	YAP	YAP_pS127	YAP1	YAP1
0.32394	0	1	Chk2	SCD1	CHEK2	SCD
0.30933	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.30559	0	1	Akt_pT308	CDK1	AKT1|AKT2|AKT3	CDK1
0.30395	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.28951	0	1	HER2_pY1248	Src_pY416	ERBB2	SRC
0.28523	0	1	mTOR	mTOR_pS2448	FRAP1|MTOR	FRAP1|MTOR
0.28298	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.27066	0	1	Chk2	Chk2_pT68	CHEK2	CHEK2
0.26564	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.26233	0	1	Myosin.IIa_pS1943	Paxillin	MYH9	PXN
0.25991	0	1	EGFR	EGFR_pY1173	EGFR	EGFR
0.25745	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.25702	0	1	Dvl3	PI3K.p110.alpha	DVL3	PIK3CA
0.24437	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.23931	0	1	CD20	ER.alpha_pS118	MS4A1	ESR1
0.23905	0	1	4E.BP1_pS65	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
0.23135	0	1	Rictor_pT1135	Tuberin_pT1462	RICTOR	TSC2
0.21819	0	1	Src	Src_pY527	SRC	SRC
0.21783	0	1	AR	IGFBP2	AR	IGFBP2
0.21752	0	1	4E.BP1	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.21752	0	1	c.Jun_pS73	Rb_pS807_S811	JUN	RB1
0.21355	0	1	Dvl3	p21	DVL3	CDKN1A
0.21097	0	1	p38_MAPK	p38_pT180_Y182	MAPK14	MAPK14
0.20912	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.20837	0	1	G6PD	PRDX1	G6PD	PRDX1
