weight	inPC	edgesign	prot1	prot2	gene1	gene2
-0.63207	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
-0.56169	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
-0.53632	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
-0.48263	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
-0.43244	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
-0.43024	0	1	MYH11	Rictor	MYH11	RICTOR
-0.42053	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
-0.37476	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
-0.37249	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
-0.33973	0	1	Claudin.7	Rab.25	CLDN7	RAB25
-0.29638	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
-0.29401	0	1	HER2_pY1248	Src_pY416	ERBB2	SRC
-0.28948	1	1	Fibronectin	PAI.1	FN1	SERPINE1
-0.27346	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
-0.26079	0	1	ACC1	FASN	ACACA	FASN
-0.25967	0	1	HSP70	N.Cadherin	HSPA1A	CDH2
-0.22186	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
-0.22033	1	1	Cyclin_B1	PCNA	CCNB1	PCNA
-0.21645	0	1	RBM15	S6	RBM15	RPS6
-0.21476	1	1	beta.Catenin	VEGFR2	CTNNB1	KDR
-0.21422	0	1	Cyclin_B1	TRFC	CCNB1	TFRC
-0.20905	0	1	Claudin.7	E.Cadherin	CLDN7	CDH1
-0.20519	0	1	p53	PEA15_pS116	TP53	PEA15
-0.19919	0	1	YAP	YAP_pS127	YAP1	YAP1
0.19603	0	-1	Annexin.1	IGFBP2	ANXA1	IGFBP2
-0.19486	0	1	Caveolin.1	MYH11	CAV1	MYH11
-0.19472	0	1	Src_pY416	Src_pY527	SRC	SRC
-0.18908	0	1	EGFR_pY1068	EGFR_pY1173	EGFR	EGFR
-0.18907	1	1	Bcl.2	Bim	BCL2	BCL2L11
-0.18493	0	1	Myosin.IIa_pS1943	Paxillin	MYH9	PXN
-0.18469	1	1	Bak	Bid	BAK1	BID
-0.18265	1	1	Lck	Syk	LCK	SYK
-0.18073	0	1	Rab.25	VHL	RAB25	VHL
-0.17846	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
-0.17706	0	1	Bid	HSP70	BID	HSPA1A
-0.17688	0	1	Claudin.7	HER3	CLDN7	ERBB3
-0.17641	0	1	G6PD	GAPDH	G6PD	GAPDH
-0.17368	0	1	HER2_pY1248	Src_pY527	ERBB2	SRC
-0.16985	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
-0.16969	0	1	14.3.3_zeta	Bax	YWHAZ	BAX
-0.16708	1	1	Cyclin_B1	Cyclin_E1	CCNB1	CCNE1
-0.16456	0	1	HER3_pY1289	N.Cadherin	ERBB3	CDH2
-0.16349	0	1	CD49b	PAI.1	ITGA2	SERPINE1
-0.16342	0	1	Caveolin.1	CD31	CAV1	PECAM1
-0.1633	0	1	53BP1	RBM15	TP53BP1	RBM15
-0.16299	0	1	Bad_pS112	PKC.pan_BetaII_pS660	BAD	PRKCB
-0.16217	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
-0.16199	0	1	Bak	Smad3	BAK1	SMAD3
-0.1613	0	1	c.Kit	IGFBP2	KIT	IGFBP2
-0.15578	0	1	STAT5.alpha	Tuberin	STAT5A	TSC2
-0.15528	0	1	GSK3_pS9	NF.kB.p65_pS536	GSK3B	NFKB1
-0.15017	0	1	p21	PAI.1	CDKN1A	SERPINE1
-0.14782	0	1	Claudin.7	FASN	CLDN7	FASN
-0.14664	0	1	Caveolin.1	Transglutaminase	CAV1	TGM2
-0.1465	0	1	S6_pS235_S236	YB.1_pS102	RPS6	YBX1
-0.14542	1	1	Lck	STAT5.alpha	LCK	STAT5A
-0.1446	0	1	AR	IGFBP2	AR	IGFBP2
-0.14365	0	1	NDRG1_pT346	PAI.1	NDRG1	SERPINE1
0.14319	0	-1	CD31	GAPDH	PECAM1	GAPDH
-0.14259	0	1	DJ.1	YAP_pS127	PARK7	YAP1
0.14233	0	-1	beta.Catenin	Chk1	CTNNB1	CHEK1
-0.14216	0	1	Acetyl.a.Tubulin.Lys40	Ku80	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBA8	XRCC5
-0.14147	0	1	c.Kit	FASN	KIT	FASN
-0.14073	0	1	4E.BP1_pT37T46	S6_pS240_S244	EIF4EBP1	RPS6
-0.13968	0	1	4E.BP1_pT37T46	NDRG1_pT346	EIF4EBP1	NDRG1
-0.13799	0	1	Mre11	N.Cadherin	MRE11A	CDH2
-0.13715	0	1	Chk2_pT68	N.Cadherin	CHEK2	CDH2
-0.13712	0	1	Cyclin_B1	Rb_pS807_S811	CCNB1	RB1
-0.13637	0	1	ATM	STAT5.alpha	ATM	STAT5A
-0.13453	0	1	Bak	IRS1	BAK1	IRS1
-0.13424	1	1	ERK2	Tuberin	MAPK1	TSC2
-0.13412	0	1	GSK3.alpha.beta_pS21_S9	NF.kB.p65_pS536	GSK3A|GSK3B	NFKB1
-0.13296	0	1	4E.BP1_pT37T46	Rb_pS807_S811	EIF4EBP1	RB1
-0.13232	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.13169	0	-1	4E.BP1_pS65	Caveolin.1	EIF4EBP1	CAV1
0.13155	0	-1	Cyclin_E2	VHL	CCNE2	VHL
-0.13116	0	1	Collagen_VI	YAP	COL6A1|COL6A2|COL6A3|COL6A5	YAP1
-0.13109	0	1	14.3.3_zeta	4E.BP1	YWHAZ	EIF4EBP1
-0.13037	0	1	p90RSK	PKC.pan_BetaII_pS660	RPS6KA1	PRKCB
-0.12992	0	1	ETS.1	XBP1	ETS1	XBP1
-0.12853	1	1	STAT5.alpha	Syk	STAT5A	SYK
0.1281	0	-1	AMPK_pT172	c.Kit	PRKAA1	KIT
-0.12795	0	1	ERK2	Rad50	MAPK1	RAD50
-0.12774	1	1	Caveolin.1	Collagen_VI	CAV1	COL6A1|COL6A2|COL6A3|COL6A5
0.1267	0	-1	CD31	NF.kB.p65_pS536	PECAM1	NFKB1
-0.12664	0	1	beta.Catenin	eEF2	CTNNB1	EEF2
-0.12638	0	1	Akt_pS473	MAPK_pT202_Y204	AKT1|AKT2|AKT3	MAPK1|MAPK3
-0.12604	0	1	Bak	EGFR_pY1173	BAK1	EGFR
-0.12592	0	1	mTOR	VHL	FRAP1|MTOR	VHL
-0.12568	0	1	c.Kit	Claudin.7	KIT	CLDN7
-0.12514	0	1	4E.BP1_pS65	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
-0.1249	0	1	EGFR	EGFR_pY1173	EGFR	EGFR
0.12479	0	-1	Bax	GSK3_pS9	BAX	GSK3B
-0.12452	0	1	G6PD	PRDX1	G6PD	PRDX1
-0.12354	0	1	Myosin.IIa_pS1943	VEGFR2	MYH9	KDR
0.12318	0	-1	NF.kB.p65_pS536	Rab.25	NFKB1	RAB25
-0.12265	0	1	Caveolin.1	Paxillin	CAV1	PXN
-0.12158	0	1	Annexin.1	PI3K.p85	ANXA1	PIK3R1
-0.12116	0	1	p38_pT180_Y182	PDCD4	MAPK14	PDCD4
-0.12103	0	1	Bim	Cyclin_B1	BCL2L11	CCNB1
0.12055	0	-1	IGFBP2	PKC.alpha_pS657	IGFBP2	PRKCA
-0.12034	0	1	Caspase.7_cleavedD198	Syk	CASP7	SYK
0.11971	0	-1	4E.BP1	HER3	EIF4EBP1	ERBB3
0.11927	0	-1	Caspase.7_cleavedD198	Paxillin	CASP7	PXN
-0.11905	0	1	Cyclin_D1	PAI.1	CCND1	SERPINE1
-0.1179	0	1	CD49b	VEGFR2	ITGA2	KDR
-0.11702	0	1	53BP1	eIF4G	TP53BP1	EIF4G1|EIF4G2|EIF4G3
-0.11676	0	1	GAPDH	Myosin.IIa_pS1943	GAPDH	MYH9
-0.11656	0	1	EGFR_pY1173	IGFBP2	EGFR	IGFBP2
-0.11652	0	1	Bak	N.Cadherin	BAK1	CDH2
-0.11618	0	1	E.Cadherin	PDCD4	CDH1	PDCD4
0.11606	0	-1	Paxillin	Syk	PXN	SYK
-0.11605	0	1	eIF4G	RBM15	EIF4G1|EIF4G2|EIF4G3	RBM15
0.11554	0	-1	eEF2	MYH11	EEF2	MYH11
0.11544	0	-1	IGFBP2	PEA.15	IGFBP2	PEA15
-0.11521	0	1	MAPK_pT202_Y204	mTOR_pS2448	MAPK1|MAPK3	FRAP1|MTOR
-0.11513	0	1	eIF4G	Myosin.IIa_pS1943	EIF4G1|EIF4G2|EIF4G3	MYH9
-0.1145	0	1	Bap1.c.4	eIF4G	BAP1	EIF4G1|EIF4G2|EIF4G3
0.11422	0	-1	Caveolin.1	p27_pT198	CAV1	CDKN1B
-0.11368	1	1	GAB2	STAT5.alpha	GAB2	STAT5A
0.113	0	-1	E.Cadherin	PREX1	CDH1	PREX1
-0.1126	0	1	ASNS	Caspase.7_cleavedD198	ASNS	CASP7
-0.1125	0	1	beta.Catenin	PTEN	CTNNB1	PTEN
-0.11179	0	1	N.Cadherin	TAZ	CDH2	WWTR1
-0.11179	1	1	Src	VEGFR2	SRC	KDR
-0.11169	0	1	Bap1.c.4	RBM15	BAP1	RBM15
-0.1115	0	1	Annexin.1	p62.LCK.ligand	ANXA1	SQSTM1
-0.11138	0	1	NDRG1_pT346	Rb_pS807_S811	NDRG1	RB1
-0.11066	1	1	beta.Catenin	JNK2	CTNNB1	MAPK9
-0.11041	0	1	Caveolin.1	STAT3_pY705	CAV1	STAT3
-0.10957	0	1	Annexin.1	MIG.6	ANXA1	ERRFI1
-0.10929	0	1	eEF2	Rad50	EEF2	RAD50
-0.10876	0	1	VEGFR2	YAP_pS127	KDR	YAP1
0.10785	0	-1	B.Raf	Smad3	BRAF	SMAD3
-0.10774	1	1	Akt_pS473	GSK3.alpha.beta_pS21_S9	AKT1|AKT2|AKT3	GSK3A|GSK3B
-0.10736	0	1	E.Cadherin	YAP_pS127	CDH1	YAP1
-0.1072	0	1	ACC1	p62.LCK.ligand	ACACA	SQSTM1
0.10718	0	-1	beta.Catenin	Stathmin	CTNNB1	STMN1
0.10706	1	-1	14.3.3_zeta	Akt_pS473	YWHAZ	AKT1|AKT2|AKT3
-0.10693	0	1	GAPDH	p70S6K	GAPDH	RPS6KB1
-0.10649	0	1	Chk2	Cyclin_B1	CHEK2	CCNB1
-0.10649	0	1	Bax	PEA.15	BAX	PEA15
0.10593	0	-1	E.Cadherin	ETS.1	CDH1	ETS1
0.10584	0	-1	Fibronectin	PDCD4	FN1	PDCD4
0.10568	0	-1	AMPK_pT172	Claudin.7	PRKAA1	CLDN7
-0.10524	0	1	HSP70	Notch1	HSPA1A	NOTCH1
-0.10507	1	1	EGFR_pY1173	HER2_pY1248	EGFR	ERBB2
-0.10479	0	1	Bad_pS112	p38_pT180_Y182	BAD	MAPK14
-0.10469	0	1	GSK3_pS9	PKC.pan_BetaII_pS660	GSK3B	PRKCB
-0.10465	0	1	HER2	Raptor	ERBB2	RPTOR
-0.10451	0	1	Myosin.IIa_pS1943	p53	MYH9	TP53
