weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.94119	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.90306	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.89925	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.86719	0	1	Mre11	N.Cadherin	MRE11A	CDH2
0.83473	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.8313	0	1	Chk1	Mre11	CHEK1	MRE11A
0.81477	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.79896	0	1	STAT5.alpha	Tuberin	STAT5A	TSC2
0.79711	0	1	Mre11	TAZ	MRE11A	WWTR1
0.78788	0	1	Chk1	Stathmin	CHEK1	STMN1
0.77989	1	1	Akt	Tuberin	AKT1|AKT2|AKT3	TSC2
0.77546	0	1	Chk1	N.Cadherin	CHEK1	CDH2
0.76812	0	1	Chk1	HER3_pY1289	CHEK1	ERBB3
0.76256	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.76155	0	1	HER2_pY1248	Src_pY416	ERBB2	SRC
0.75804	0	1	14.3.3_beta	ACVRL1	YWHAB	ACVRL1
0.75554	0	1	HER3_pY1289	N.Cadherin	ERBB3	CDH2
0.75123	1	1	C.Raf_pS338	MEK1_pS217_S221	RAF1	MAP2K1
0.74666	0	1	Chk2_pT68	HER3_pY1289	CHEK2	ERBB3
0.74056	1	1	Akt	STAT5.alpha	AKT1|AKT2|AKT3	STAT5A
0.74028	0	1	GSK3.alpha.beta_pS21_S9	NF.kB.p65_pS536	GSK3A|GSK3B	NFKB1
0.73691	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.7367	0	1	Mre11	Stathmin	MRE11A	STMN1
0.73604	0	1	GSK3_pS9	NF.kB.p65_pS536	GSK3B	NFKB1
0.73427	0	1	HER3_pY1289	Mre11	ERBB3	MRE11A
0.73397	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.73194	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
