weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.17182	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.72911	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.72721	0	1	14.3.3_beta	ACVRL1	YWHAB	ACVRL1
0.66422	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.60988	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.59333	1	1	Akt	TSC1	AKT1|AKT2|AKT3	TSC1
0.57632	0	1	Mre11	N.Cadherin	MRE11A	CDH2
0.55554	0	1	Chk1	Mre11	CHEK1	MRE11A
0.54412	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.53994	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.53029	0	1	STAT5.alpha	Tuberin	STAT5A	TSC2
0.51979	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.48333	0	1	BRCA2	Mre11	BRCA2	MRE11A
0.47794	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
0.47461	0	-1	Akt	PDK1	AKT1|AKT2|AKT3	PDK1
0.47358	1	1	ERK2	TSC1	MAPK1	TSC1
0.46513	0	1	14.3.3_epsilon	PDK1	YWHAE	PDK1
0.45583	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.44901	0	1	MYH11	Rictor	MYH11	RICTOR
0.43533	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.43115	1	1	Akt	beta.Catenin	AKT1|AKT2|AKT3	CTNNB1
0.42253	0	-1	Chk1	Ku80	CHEK1	XRCC5
0.41722	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.41687	0	1	Mre11	Stathmin	MRE11A	STMN1
0.41277	0	1	53BP1	Ku80	TP53BP1	XRCC5
0.41121	0	1	HER3_pY1289	Mre11	ERBB3	MRE11A
0.41008	0	1	Raptor	TSC1	RPTOR	TSC1
0.40341	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.38603	0	1	53BP1	RBM15	TP53BP1	RBM15
