weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.94155	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.86702	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.82909	1	1	Akt	TSC1	AKT1|AKT2|AKT3	TSC1
0.8186	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.813	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.7941	0	1	Mre11	N.Cadherin	MRE11A	CDH2
-0.78365	1	-1	Akt	Chk1	AKT1|AKT2|AKT3	CHEK1
-0.78101	0	-1	Akt	PDK1	AKT1|AKT2|AKT3	PDK1
0.78097	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.77939	1	1	Akt	Tuberin	AKT1|AKT2|AKT3	TSC2
0.77381	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
-0.77283	0	-1	Chk1	eIF4G	CHEK1	EIF4G1|EIF4G2|EIF4G3
0.77192	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
0.76006	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.75922	1	1	Akt	beta.Catenin	AKT1|AKT2|AKT3	CTNNB1
0.75739	0	1	beta.Catenin	eIF4G	CTNNB1	EIF4G1|EIF4G2|EIF4G3
0.75696	0	1	STAT5.alpha	Tuberin	STAT5A	TSC2
0.75462	1	1	ERK2	TSC1	MAPK1	TSC1
0.75008	1	1	Akt	B.Raf	AKT1|AKT2|AKT3	BRAF
0.74202	0	1	Akt	eIF4G	AKT1|AKT2|AKT3	EIF4G1|EIF4G2|EIF4G3
0.73992	0	1	Akt	ERK2	AKT1|AKT2|AKT3	MAPK1
0.73943	0	1	14.3.3_beta	ACVRL1	YWHAB	ACVRL1
0.73598	0	1	14.3.3_epsilon	PDK1	YWHAE	PDK1
0.73301	0	1	B.Raf	beta.Catenin	BRAF	CTNNB1
0.73141	0	1	Akt	Ku80	AKT1|AKT2|AKT3	XRCC5
0.72667	1	1	Akt	STAT5.alpha	AKT1|AKT2|AKT3	STAT5A
0.72546	0	1	14.3.3_beta	PDK1	YWHAB	PDK1
0.7239	0	1	53BP1	eIF4G	TP53BP1	EIF4G1|EIF4G2|EIF4G3
0.7233	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.71934	0	1	Chk1	PDK1	CHEK1	PDK1
-0.7181	0	-1	B.Raf	Chk1	BRAF	CHEK1
0.71404	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.71167	0	1	B.Raf	TSC1	BRAF	TSC1
0.70982	0	1	Chk1	Mre11	CHEK1	MRE11A
0.70559	1	1	14.3.3_beta	14.3.3_epsilon	YWHAB	YWHAE
0.70426	0	1	ERK2	Ku80	MAPK1	XRCC5
-0.70278	0	-1	PDK1	TSC1	PDK1	TSC1
0.70263	0	1	53BP1	Ku80	TP53BP1	XRCC5
0.70166	0	1	Raptor	TSC1	RPTOR	TSC1
-0.70084	0	-1	Chk1	TSC1	CHEK1	TSC1
0.70005	0	1	14.3.3_beta	BRCA2	YWHAB	BRCA2
0.70003	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.69673	0	1	Akt	ATM	AKT1|AKT2|AKT3	ATM
0.6952	0	1	53BP1	Akt	TP53BP1	AKT1|AKT2|AKT3
0.69399	0	1	14.3.3_zeta	Bax	YWHAZ	BAX
0.69373	0	1	53BP1	B.Raf	TP53BP1	BRAF
0.69316	0	1	Bid	Mre11	BID	MRE11A
-0.69309	0	-1	beta.Catenin	Chk1	CTNNB1	CHEK1
-0.6929	0	-1	Chk1	Tuberin	CHEK1	TSC2
0.69005	0	1	beta.Catenin	TSC1	CTNNB1	TSC1
0.68943	0	1	ATM	TSC1	ATM	TSC1
-0.68701	0	-1	ERK2	PDK1	MAPK1	PDK1
0.68557	0	1	Src_pY416	Src_pY527	SRC	SRC
0.68473	0	1	beta.Catenin	RBM15	CTNNB1	RBM15
