weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.87676	0	1	PKC.pan_BetaII_pS660	VEGFR2	PRKCB	KDR
0.87235	0	1	Chk1_pS345	ER.alpha_pS118	CHEK1	ESR1
-0.87204	0	1	ACC_pS79	S6	ACACA|ACACB	RPS6
0.87005	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
-0.86759	0	-1	S6	VEGFR2	RPS6	KDR
-0.85409	0	-1	Chk1_pS345	VEGFR2	CHEK1	KDR
-0.84837	0	-1	ER.alpha_pS118	GSK3_pS9	ESR1	GSK3B
0.84514	0	1	Acetyl.a.Tubulin.Lys40	Ku80	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBA8	XRCC5
0.84088	0	-1	DJ.1	mTOR	PARK7	FRAP1|MTOR
0.83917	0	-1	ER.alpha_pS118	VEGFR2	ESR1	KDR
0.83766	0	1	Acetyl.a.Tubulin.Lys40	VHL	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBA8	VHL
-0.83651	0	-1	ACC_pS79	VEGFR2	ACACA|ACACB	KDR
0.82753	0	1	ERK2	GSK3_pS9	MAPK1	GSK3B
0.82688	0	1	GSK3_pS9	VHL	GSK3B	VHL
0.82605	0	1	mTOR	VEGFR2	FRAP1|MTOR	KDR
-0.8175	1	1	ERK2	p90RSK	MAPK1	RPS6KA1
0.81612	0	1	PCNA	RBM15	PCNA	RBM15
0.81456	0	1	INPP4B	RBM15	INPP4B	RBM15
0.81292	0	1	mTOR	S6	FRAP1|MTOR	RPS6
0.81148	0	-1	PKC.pan_BetaII_pS660	S6	PRKCB	RPS6
0.80996	0	1	eIF4G	Notch1	EIF4G1|EIF4G2|EIF4G3	NOTCH1
-0.80916	0	1	Chk1_pS345	p90RSK	CHEK1	RPS6KA1
-0.80803	0	-1	Caveolin.1	Rad50	CAV1	RAD50
-0.80738	0	1	GSK3_pS9	INPP4B	GSK3B	INPP4B
0.80715	0	1	Chk1_pS345	GSK3_pS9	CHEK1	GSK3B
0.80714	0	1	ARID1A	p90RSK	ARID1A	RPS6KA1
-0.80635	0	-1	ERK2	XRCC1	MAPK1	XRCC1
-0.80625	0	1	ACC_pS79	ERK2	ACACA|ACACB	MAPK1
0.80558	0	1	INPP4B	VEGFR2	INPP4B	KDR
-0.80536	0	1	VEGFR2	VHL	KDR	VHL
-0.80231	0	1	Chk2_pT68	ER.alpha_pS118	CHEK2	ESR1
0.80209	0	-1	Chk2_pT68	PREX1	CHEK2	PREX1
0.79849	0	1	Chk1_pS345	mTOR	CHEK1	FRAP1|MTOR
-0.79816	0	-1	c.Jun_pS73	PEA15_pS116	JUN	PEA15
-0.79792	0	-1	ACC_pS79	PREX1	ACACA|ACACB	PREX1
-0.79786	0	1	ERK2	VEGFR2	MAPK1	KDR
0.79719	0	1	Acetyl.a.Tubulin.Lys40	ERK2	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBA8	MAPK1
0.79662	1	1	GSK3_pS9	p90RSK	GSK3B	RPS6KA1
-0.79571	0	-1	p90RSK	XRCC1	RPS6KA1	XRCC1
0.79543	1	1	eEF2K	p90RSK	EEF2K	RPS6KA1
-0.79346	0	-1	ATM	PDK1	ATM	PDK1
-0.79323	0	-1	p27	Rad50	CDKN1B	RAD50
0.79311	0	1	PAI.1	VEGFR2	SERPINE1	KDR
-0.79292	0	1	Chk1_pS345	VHL	CHEK1	VHL
0.79195	0	1	ACC_pS79	PKC.pan_BetaII_pS660	ACACA|ACACB	PRKCB
-0.79053	0	-1	DJ.1	ERK2	PARK7	MAPK1
-0.78933	0	1	ER.alpha_pS118	SCD1	ESR1	SCD
-0.78933	0	1	Ku80	VHL	XRCC5	VHL
0.7892	0	1	4E.BP1	PEA15_pS116	EIF4EBP1	PEA15
0.78912	0	1	ARID1A	Chk1_pS345	ARID1A	CHEK1
0.78905	0	1	GSK3_pS9	VEGFR2	GSK3B	KDR
0.78799	0	-1	PCNA	Rad50	PCNA	RAD50
0.78792	0	1	Acetyl.a.Tubulin.Lys40	Chk1_pS345	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBA8	CHEK1
-0.78742	0	1	Chk1_pS345	Ku80	CHEK1	XRCC5
-0.78726	0	-1	PCNA	Tuberin	PCNA	TSC2
-0.78636	0	1	Ku80	VEGFR2	XRCC5	KDR
-0.78574	0	1	Ku80	p62.LCK.ligand	XRCC5	SQSTM1
-0.78548	0	-1	Bcl.2	p70S6K_pT389	BCL2	RPS6KB1
-0.78506	0	1	Chk1_pS345	ERK2	CHEK1	MAPK1
0.78505	0	1	Acetyl.a.Tubulin.Lys40	p62.LCK.ligand	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBA8	SQSTM1
0.78428	1	1	4E.BP1_pT37T46	Akt_pS473	EIF4EBP1	AKT1|AKT2|AKT3
