weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.93885	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.84444	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.83056	0	1	14.3.3_beta	ACVRL1	YWHAB	ACVRL1
0.81406	0	1	STAT5.alpha	Tuberin	STAT5A	TSC2
0.81061	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.80526	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.79573	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.78823	1	1	Akt	TSC1	AKT1|AKT2|AKT3	TSC1
0.78493	0	1	Mre11	N.Cadherin	MRE11A	CDH2
0.7745	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.77211	0	1	Chk1	Mre11	CHEK1	MRE11A
-0.76483	0	-1	Akt	PDK1	AKT1|AKT2|AKT3	PDK1
0.7546	0	1	14.3.3_beta	PDK1	YWHAB	PDK1
0.75256	0	1	Raptor	TSC1	RPTOR	TSC1
0.74935	1	1	Akt	STAT5.alpha	AKT1|AKT2|AKT3	STAT5A
0.74808	0	1	Akt	Ku80	AKT1|AKT2|AKT3	XRCC5
0.74073	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.73268	0	1	Akt	ERK2	AKT1|AKT2|AKT3	MAPK1
0.73051	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
-0.72915	0	-1	Ku80	PDK1	XRCC5	PDK1
0.72775	1	1	Akt	Tuberin	AKT1|AKT2|AKT3	TSC2
0.72402	1	1	Akt	Raptor	AKT1|AKT2|AKT3	RPTOR
0.72196	0	1	14.3.3_epsilon	PDK1	YWHAE	PDK1
0.71909	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.7185	0	1	53BP1	Ku80	TP53BP1	XRCC5
0.71752	0	1	B.Raf	TSC1	BRAF	TSC1
0.71584	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.71269	0	1	ERK2	Ku80	MAPK1	XRCC5
0.71208	1	1	ACVRL1	N.Ras	ACVRL1	NRAS
0.70773	1	1	ERK2	TSC1	MAPK1	TSC1
-0.70755	1	-1	Akt	Chk1	AKT1|AKT2|AKT3	CHEK1
0.70732	0	1	MYH11	Rictor	MYH11	RICTOR
0.70574	0	1	14.3.3_beta	BRCA2	YWHAB	BRCA2
0.70057	0	1	BRCA2	Mre11	BRCA2	MRE11A
0.69821	0	1	ACVRL1	PDK1	ACVRL1	PDK1
-0.694	0	-1	PDK1	STAT5.alpha	PDK1	STAT5A
0.69084	0	1	Src_pY416	Src_pY527	SRC	SRC
0.6901	0	1	Ku80	TSC1	XRCC5	TSC1
0.68668	0	1	N.Ras	PDK1	NRAS	PDK1
0.6858	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.68457	1	1	Akt	B.Raf	AKT1|AKT2|AKT3	BRAF
0.68404	0	1	53BP1	RBM15	TP53BP1	RBM15
-0.683	0	-1	Chk1	TSC1	CHEK1	TSC1
0.68235	0	1	PKC.pan_BetaII_pS660	TSC1	PRKCB	TSC1
0.68128	1	1	Akt	beta.Catenin	AKT1|AKT2|AKT3	CTNNB1
0.67997	0	1	HER2_pY1248	Src_pY416	ERBB2	SRC
-0.67983	0	-1	Chk1	Ku80	CHEK1	XRCC5
0.67896	0	1	Akt	PKC.pan_BetaII_pS660	AKT1|AKT2|AKT3	PRKCB
-0.67804	0	-1	Ku80	MEK1_pS217_S221	XRCC5	MAP2K1
-0.67784	1	-1	14.3.3_beta	beta.Catenin	YWHAB	CTNNB1
0.67705	0	1	JNK_pT183_Y185	MEK1_pS217_S221	MAPK8|MAPK9	MAP2K1
0.67589	0	1	Chk1	PDK1	CHEK1	PDK1
0.67549	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
0.67375	0	1	53BP1	Akt	TP53BP1	AKT1|AKT2|AKT3
0.67326	0	1	Chk1	Stathmin	CHEK1	STMN1
0.67294	0	1	53BP1	eIF4G	TP53BP1	EIF4G1|EIF4G2|EIF4G3
0.67167	0	1	Bid	N.Cadherin	BID	CDH2
-0.67132	0	-1	PDK1	TSC1	PDK1	TSC1
-0.67061	1	-1	14.3.3_epsilon	Akt	YWHAE	AKT1|AKT2|AKT3
0.66404	1	1	GAB2	STAT5.alpha	GAB2	STAT5A
0.66345	1	1	14.3.3_epsilon	N.Ras	YWHAE	NRAS
0.66304	1	1	14.3.3_beta	14.3.3_epsilon	YWHAB	YWHAE
-0.66303	0	-1	53BP1	PDK1	TP53BP1	PDK1
