weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.07631	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.78416	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.78353	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.68987	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.61624	0	1	HER3	XBP1	ERBB3	XBP1
0.55601	1	1	CDK1	Cyclin_B1	CDK1	CCNB1
0.55014	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.52355	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.44446	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.3808	0	1	GSK3.alpha.beta_pS21_S9	PRAS40_pT246	GSK3A|GSK3B	AKT1S1
0.37101	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.35512	0	1	ARHI	N.Ras	DIRAS3	NRAS
0.35329	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.3518	0	1	GSK3_pS9	Tuberin_pT1462	GSK3B	TSC2
0.34618	0	1	YAP	YAP_pS127	YAP1	YAP1
0.32621	0	1	Bad_pS112	MEK1_pS217_S221	BAD	MAP2K1
0.3249	0	1	p90RSK_pT359_S363	PRAS40_pT246	RPS6KA1	AKT1S1
0.32109	0	1	INPP4B	XBP1	INPP4B	XBP1
0.31911	0	1	GSK3.alpha.beta_pS21_S9	MEK1_pS217_S221	GSK3A|GSK3B	MAP2K1
0.31771	0	1	MAPK_pT202_Y204	p38_pT180_Y182	MAPK1|MAPK3	MAPK14
0.31638	0	1	p38_pT180_Y182	YB.1_pS102	MAPK14	YBX1
0.31331	0	1	GSK3_pS9	p90RSK_pT359_S363	GSK3B	RPS6KA1
0.31113	1	1	ACVRL1	N.Ras	ACVRL1	NRAS
0.30848	0	1	GSK3_pS9	p38_pT180_Y182	GSK3B	MAPK14
0.3068	0	1	GSK3_pS9	MEK1_pS217_S221	GSK3B	MAP2K1
0.30393	0	1	MAPK_pT202_Y204	YB.1_pS102	MAPK1|MAPK3	YBX1
0.30285	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.30191	0	1	Beclin	XBP1	BECN1	XBP1
0.29923	0	1	GSK3_pS9	Src_pY527	GSK3B	SRC
0.29281	0	1	Bad_pS112	YB.1_pS102	BAD	YBX1
0.29051	0	1	Akt_pS473	MAPK_pT202_Y204	AKT1|AKT2|AKT3	MAPK1|MAPK3
0.28906	0	1	Cyclin_D1	EGFR_pY1173	CCND1	EGFR
0.28599	1	1	Bad_pS112	MAPK_pT202_Y204	BAD	MAPK1|MAPK3
0.28403	1	1	Fibronectin	PAI.1	FN1	SERPINE1
0.28161	0	1	GSK3.alpha.beta_pS21_S9	p90RSK_pT359_S363	GSK3A|GSK3B	RPS6KA1
0.28122	0	1	GSK3.alpha.beta_pS21_S9	p38_pT180_Y182	GSK3A|GSK3B	MAPK14
0.28058	0	1	c.Met_pY1235	Chk1_pS345	MET	CHEK1
0.27988	0	1	Beclin	CD31	BECN1	PECAM1
0.27637	0	1	HER3	INPP4B	ERBB3	INPP4B
0.27332	0	1	Bid	Mre11	BID	MRE11A
0.27256	0	1	c.Met_pY1235	EGFR_pY1173	MET	EGFR
0.27239	0	1	Bad_pS112	GSK3.alpha.beta_pS21_S9	BAD	GSK3A|GSK3B
0.27224	0	1	PRAS40_pT246	Tuberin_pT1462	AKT1S1	TSC2
0.27103	0	1	c.Met_pY1235	Chk2_pT68	MET	CHEK2
0.26835	1	1	MEK1_pS217_S221	p38_pT180_Y182	MAP2K1	MAPK14
0.26757	0	1	GSK3.alpha.beta_pS21_S9	Src_pY527	GSK3A|GSK3B	SRC
0.26064	0	1	Chk1_pS345	Chk2_pT68	CHEK1	CHEK2
0.25751	0	1	Bid	EGFR_pY1173	BID	EGFR
0.25748	0	1	Bad_pS112	p38_pT180_Y182	BAD	MAPK14
0.25576	0	1	GSK3_pS9	YB.1_pS102	GSK3B	YBX1
0.2552	0	1	ARHI	Rab11	DIRAS3	RAB11A
0.25269	0	1	c.Met_pY1235	p27_pT157	MET	CDKN1B
0.25069	0	1	Cyclin_D1	HSP70	CCND1	HSPA1A
0.25056	0	1	ARHI	CD20	DIRAS3	MS4A1
0.25022	0	1	Chk2_pT68	p27_pT157	CHEK2	CDKN1B
0.2498	0	1	Caveolin.1	MYH11	CAV1	MYH11
0.24574	0	1	Mre11	Stathmin	MRE11A	STMN1
0.24534	0	1	Bid	Rab11	BID	RAB11A
0.24468	0	1	HER3	YB.1	ERBB3	YBX1
0.24001	0	1	4E.BP1_pT37T46	GSK3.alpha.beta_pS21_S9	EIF4EBP1	GSK3A|GSK3B
0.23908	0	1	C.Raf_pS338	Chk1_pS345	RAF1	CHEK1
0.23716	0	1	ARHI	Heregulin	DIRAS3	NRG1
0.23599	0	1	beta.Catenin	mTOR	CTNNB1	FRAP1|MTOR
0.23588	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
