weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.27464	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
1.12212	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
1.11554	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.71535	0	1	HER3	XBP1	ERBB3	XBP1
0.6864	1	1	CDK1	Cyclin_B1	CDK1	CCNB1
0.64198	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.62962	0	1	YAP	YAP_pS127	YAP1	YAP1
0.58872	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.57127	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.56494	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.37511	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.30982	0	1	Claudin.7	E.Cadherin	CLDN7	CDH1
0.29856	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.29604	0	1	ARHI	N.Ras	DIRAS3	NRAS
0.2939	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
0.29165	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
0.28336	0	1	Caveolin.1	MYH11	CAV1	MYH11
0.2829	0	1	4E.BP1	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.27691	1	1	Fibronectin	PAI.1	FN1	SERPINE1
0.2414	0	1	Chk2_pT68	p27_pT157	CHEK2	CDKN1B
0.23837	0	1	INPP4B	XBP1	INPP4B	XBP1
0.23278	1	1	ACVRL1	N.Ras	ACVRL1	NRAS
0.22623	0	1	ACC1	FASN	ACACA	FASN
0.22379	0	1	GSK3_pS9	Tuberin_pT1462	GSK3B	TSC2
0.22312	0	1	Chk1_pS345	Chk2_pT68	CHEK1	CHEK2
0.21973	0	1	C.Raf_pS338	Chk1_pS345	RAF1	CHEK1
0.21732	0	1	Cyclin_D1	EGFR_pY1173	CCND1	EGFR
0.21587	0	1	Beclin	CD31	BECN1	PECAM1
0.21168	0	1	Beclin	XBP1	BECN1	XBP1
0.20378	0	1	Mre11	Stathmin	MRE11A	STMN1
0.20346	0	1	GSK3.alpha.beta_pS21_S9	PRAS40_pT246	GSK3A|GSK3B	AKT1S1
0.19665	0	1	HER3	YB.1	ERBB3	YBX1
0.19523	0	1	Cyclin_D1	HSP70	CCND1	HSPA1A
0.19395	0	1	c.Met_pY1235	Chk2_pT68	MET	CHEK2
0.1939	0	1	c.Met_pY1235	Mre11	MET	MRE11A
0.19304	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
0.1923	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
