weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.63579	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.57342	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.53269	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.52141	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.49673	0	1	YAP	YAP_pS127	YAP1	YAP1
0.4024	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.39975	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.35357	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
0.34145	1	1	CDK1	Cyclin_B1	CDK1	CCNB1
0.33859	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.33241	0	1	MYH11	Rictor	MYH11	RICTOR
0.32471	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.32193	0	1	Chk2	Chk2_pT68	CHEK2	CHEK2
0.31148	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.30542	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.29903	0	1	HER3	XBP1	ERBB3	XBP1
0.28331	0	1	4E.BP1	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
0.27483	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.26178	0	1	Src_pY416	Src_pY527	SRC	SRC
0.25471	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.25171	0	1	CD31	SCD1	PECAM1	SCD
0.24832	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.24645	1	1	Cyclin_E1	p27	CCNE1	CDKN1B
0.24394	1	1	Mre11	Rad50	MRE11A	RAD50
0.24223	0	1	4E.BP1_pT37T46	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.2404	0	1	ER.alpha	ER.alpha_pS118	ESR1	ESR1
0.23931	1	1	PKC.delta_pS664	PKC.pan_BetaII_pS660	PRKCD	PRKCB
0.2332	0	1	ERK2	PEA.15	MAPK1	PEA15
0.23269	1	1	c.Jun_pS73	JNK_pT183_Y185	JUN	MAPK8|MAPK9
0.22917	0	1	Chk2	NF2	CHEK2	NF2
0.2286	0	1	Caveolin.1	MYH11	CAV1	MYH11
0.22609	0	1	4E.BP1	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.22181	0	1	C.Raf	C.Raf_pS338	RAF1	RAF1
