weight	inPC	edgesign	prot1	prot2	gene1	gene2
-0.7706	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
-0.72792	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
-0.67575	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
-0.62766	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
-0.55538	0	1	YAP	YAP_pS127	YAP1	YAP1
-0.49018	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
-0.48325	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
-0.43726	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
-0.42855	1	1	CDK1	Cyclin_B1	CDK1	CCNB1
-0.42312	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
-0.4032	0	1	MYH11	Rictor	MYH11	RICTOR
-0.39424	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
-0.37709	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
-0.34708	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
-0.32651	0	1	HER3	XBP1	ERBB3	XBP1
-0.30712	0	1	4E.BP1	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
-0.29799	0	1	Caveolin.1	MYH11	CAV1	MYH11
-0.27645	0	1	CD31	SCD1	PECAM1	SCD
-0.26343	0	1	Claudin.7	E.Cadherin	CLDN7	CDH1
-0.25471	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
-0.25358	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
-0.23751	0	1	4E.BP1_pT37T46	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
-0.23454	0	1	c.Myc	HER3	MYC	ERBB3
-0.23372	1	1	Cyclin_E1	p27	CCNE1	CDKN1B
-0.23348	0	1	NF.kB.p65_pS536	Tuberin_pT1462	NFKB1	TSC2
-0.23124	0	1	TRFC	Tuberin	TFRC	TSC2
-0.22956	0	1	Cyclin_D1	HSP70	CCND1	HSPA1A
-0.22769	1	1	ATM	Rad50	ATM	RAD50
-0.22567	0	1	Chk2	Chk2_pT68	CHEK2	CHEK2
-0.22164	0	1	ERK2	PEA.15	MAPK1	PEA15
-0.2203	0	1	Src_pY416	Src_pY527	SRC	SRC
-0.21908	0	1	p90RSK_pT359_S363	PDCD4	RPS6KA1	PDCD4
-0.21764	1	1	AR	ER.alpha	AR	ESR1
-0.21743	1	1	ACVRL1	N.Ras	ACVRL1	NRAS
