weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.12673	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.97067	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.74886	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.73327	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.72926	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.62241	0	1	Bap1.c.4	eIF4G	BAP1	EIF4G1|EIF4G2|EIF4G3
0.61191	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.60339	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.53061	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.52528	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.48554	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.47605	0	1	ETS.1	YB.1	ETS1	YBX1
0.46992	0	1	Bap1.c.4	eEF2K	BAP1	EEF2K
0.46944	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
0.46486	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.46437	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.45744	0	1	PEA15_pS116	YB.1	PEA15	YBX1
0.45541	0	1	HER2	YB.1	ERBB2	YBX1
0.45159	0	1	AR	Mre11	AR	MRE11A
0.44715	0	1	HER2	PEA15_pS116	ERBB2	PEA15
0.44586	1	1	14.3.3_beta	FOXO3a	YWHAB	FOXO3
0.44508	0	1	GSK3.alpha.beta_pS21_S9	p38_pT180_Y182	GSK3A|GSK3B	MAPK14
0.44107	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.43861	0	1	N.Ras	SCD1	NRAS	SCD
0.438	0	1	eEF2	PEA15_pS116	EEF2	PEA15
0.42653	0	1	eEF2K	HER3	EEF2K	ERBB3
0.42498	0	1	N.Ras	SF2	NRAS	SRSF1
0.42461	0	1	Annexin.1	Fibronectin	ANXA1	FN1
0.42383	0	1	53BP1	Ku80	TP53BP1	XRCC5
