weight	inPC	edgesign	prot1	prot2	gene1	gene2
-0.67048	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
-0.6131	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
-0.60942	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
-0.49336	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
-0.43406	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
-0.41847	0	1	PI3K.p85	PTEN	PIK3R1	PTEN
-0.37864	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
-0.37482	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
-0.36271	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
-0.35797	0	1	Caveolin.1	Rictor	CAV1	RICTOR
-0.31725	0	1	Bap1.c.4	eIF4G	BAP1	EIF4G1|EIF4G2|EIF4G3
-0.2681	1	1	Collagen_VI	Fibronectin	COL6A1|COL6A2|COL6A3|COL6A5	FN1
-0.26511	0	1	eEF2K	HER3	EEF2K	ERBB3
-0.25994	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
-0.25099	0	1	Claudin.7	E.Cadherin	CLDN7	CDH1
-0.24219	0	1	MYH11	Rictor	MYH11	RICTOR
-0.23968	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
-0.23921	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
-0.23551	0	1	S6_pS235_S236	YB.1_pS102	RPS6	YBX1
-0.23229	0	1	E.Cadherin	PDCD4	CDH1	PDCD4
-0.23155	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
-0.22965	0	1	4E.BP1_pT37T46	Rb_pS807_S811	EIF4EBP1	RB1
-0.22089	1	1	PAI.1	TAZ	SERPINE1	WWTR1
-0.21565	0	1	Caspase.7_cleavedD198	PREX1	CASP7	PREX1
-0.2141	0	1	PDCD4	PKC.pan_BetaII_pS660	PDCD4	PRKCB
-0.20485	0	1	PEA15_pS116	YB.1	PEA15	YBX1
-0.20441	0	1	GSK3.alpha.beta_pS21_S9	p38_pT180_Y182	GSK3A|GSK3B	MAPK14
-0.19966	0	1	4E.BP1_pS65	FOXO3a_pS318_S321	EIF4EBP1	FOXO3
-0.19951	1	1	Fibronectin	PAI.1	FN1	SERPINE1
-0.19674	0	1	Bad_pS112	PDCD4	BAD	PDCD4
-0.19414	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.1899	0	-1	GATA3	TIGAR	GATA3	C12ORF5
0.18853	0	-1	GATA3	MYH11	GATA3	MYH11
-0.18783	0	1	HER2	PEA15_pS116	ERBB2	PEA15
-0.18558	0	1	ACC1	FASN	ACACA	FASN
-0.18429	0	1	Bcl.2	c.Kit	BCL2	KIT
-0.18396	0	1	YAP	YAP_pS127	YAP1	YAP1
-0.17721	0	1	p90RSK	PKC.pan_BetaII_pS660	RPS6KA1	PRKCB
-0.17607	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
-0.17448	1	1	HER2_pY1248	HER3_pY1289	ERBB2	ERBB3
-0.17362	0	1	BRCA2	Src	BRCA2	SRC
0.17327	0	-1	DJ.1	VHL	PARK7	VHL
-0.17286	0	1	SCD1	SF2	SCD	SRSF1
-0.17231	0	1	Bak	Fibronectin	BAK1	FN1
-0.17207	0	1	Annexin.1	Fibronectin	ANXA1	FN1
-0.17022	1	1	Cyclin_B1	PCNA	CCNB1	PCNA
-0.16757	1	1	ATM	Chk2	ATM	CHEK2
-0.1672	1	1	c.Myc	HER2	MYC	ERBB2
-0.16673	0	1	Cyclin_B1	Rb_pS807_S811	CCNB1	RB1
-0.16506	0	1	mTOR	Syk	FRAP1|MTOR	SYK
-0.164	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
-0.16317	1	1	Src_pY416	STAT3_pY705	SRC	STAT3
-0.16315	0	1	Myosin.IIa_pS1943	VEGFR2	MYH9	KDR
-0.16251	0	1	GSK3_pS9	PKC.pan_BetaII_pS660	GSK3B	PRKCB
-0.16218	1	1	Caveolin.1	Collagen_VI	CAV1	COL6A1|COL6A2|COL6A3|COL6A5
-0.16214	0	1	INPP4B	p90RSK	INPP4B	RPS6KA1
-0.16205	0	1	Bcl.xL	Claudin.7	BCL2L1	CLDN7
-0.16194	0	1	AMPK_pT172	PDK1_pS241	PRKAA1	PDK1
-0.16101	0	1	Chk2	Chk2_pT68	CHEK2	CHEK2
-0.15942	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
-0.15881	0	1	PDK1	PDK1_pS241	PDK1	PDK1
-0.15808	1	1	Cyclin_B1	Cyclin_E1	CCNB1	CCNE1
-0.15743	0	1	14.3.3_zeta	DJ.1	YWHAZ	PARK7
-0.15704	0	1	Caspase.7_cleavedD198	PDCD4	CASP7	PDCD4
0.15649	0	-1	PAI.1	PDCD4	SERPINE1	PDCD4
-0.15588	0	1	PRDX1	SCD1	PRDX1	SCD
-0.15524	0	1	eIF4G	p62.LCK.ligand	EIF4G1|EIF4G2|EIF4G3	SQSTM1
-0.15466	0	1	eEF2	PEA15_pS116	EEF2	PEA15
-0.1545	0	1	C.Raf	HSP70	RAF1	HSPA1A
-0.15433	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
0.15344	0	-1	PDCD4	Rad51	PDCD4	RAD51
-0.15294	0	1	4E.BP1_pS65	Rictor	EIF4EBP1	RICTOR
0.15202	0	-1	eEF2	Rictor_pT1135	EEF2	RICTOR
-0.15199	0	1	ATM	mTOR	ATM	FRAP1|MTOR
-0.15176	0	1	14.3.3_zeta	Annexin.1	YWHAZ	ANXA1
-0.1517	0	1	eEF2	NF2	EEF2	NF2
-0.15166	0	1	eEF2	JNK2	EEF2	MAPK9
0.15097	0	-1	RBM15	Rictor	RBM15	RICTOR
-0.15077	1	1	CDK1	Cyclin_B1	CDK1	CCNB1
-0.15072	1	1	Acetyl.a.Tubulin.Lys40	PKC.alpha	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBA8	PRKCA
-0.14996	0	1	GSK3.alpha.beta_pS21_S9	NF.kB.p65_pS536	GSK3A|GSK3B	NFKB1
0.1489	0	-1	FASN	MYH11	FASN	MYH11
-0.14839	0	1	c.Jun_pS73	S6_pS240_S244	JUN	RPS6
-0.14795	0	1	GSK3.alpha.beta_pS21_S9	Rb_pS807_S811	GSK3A|GSK3B	RB1
0.14771	0	-1	c.Myc	p62.LCK.ligand	MYC	SQSTM1
0.14768	0	-1	Claudin.7	YAP_pS127	CLDN7	YAP1
0.14768	0	-1	c.Myc	Myosin.IIa_pS1943	MYC	MYH9
-0.14713	0	1	Dvl3	eIF4G	DVL3	EIF4G1|EIF4G2|EIF4G3
-0.14558	0	1	ETS.1	Transglutaminase	ETS1	TGM2
-0.14547	0	1	N.Ras	SF2	NRAS	SRSF1
-0.14545	0	1	Akt_pS473	NDRG1_pT346	AKT1|AKT2|AKT3	NDRG1
-0.14512	0	1	FASN	TRFC	FASN	TFRC
-0.14482	0	1	CD49b	GAPDH	ITGA2	GAPDH
0.14404	0	-1	AMPK_pT172	NDRG1_pT346	PRKAA1	NDRG1
0.14351	0	-1	Cyclin_E1	Rab.25	CCNE1	RAB25
-0.1427	1	1	EGFR_pY1068	Src_pY527	EGFR	SRC
0.14268	0	-1	p27_pT198	Syk	CDKN1B	SYK
-0.14225	0	1	GAPDH	Lck	GAPDH	LCK
0.14224	0	-1	MYH11	PREX1	MYH11	PREX1
-0.14223	1	1	NF.kB.p65_pS536	Src_pY527	NFKB1	SRC
-0.14215	0	1	Cyclin_E1	FASN	CCNE1	FASN
-0.14172	0	1	JNK2	VHL	MAPK9	VHL
-0.14146	0	1	4E.BP1	S6	EIF4EBP1	RPS6
0.14072	0	-1	GAPDH	YAP	GAPDH	YAP1
-0.14062	1	1	4E.BP1	eIF4E	EIF4EBP1	EIF4E
0.14051	0	-1	4E.BP1_pS65	Myosin.IIa_pS1943	EIF4EBP1	MYH9
-0.14049	1	1	ATM	Rad50	ATM	RAD50
-0.14024	0	1	ARHI	N.Ras	DIRAS3	NRAS
-0.14012	1	1	Akt	STAT5.alpha	AKT1|AKT2|AKT3	STAT5A
-0.13916	0	1	GATA3	Rab.25	GATA3	RAB25
-0.13897	0	1	14.3.3_beta	SCD1	YWHAB	SCD
-0.13888	1	1	Shc_pY317	Src_pY527	SHC1	SRC
