weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.94147	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.91554	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.85613	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.84213	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.82596	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.82576	0	1	Bap1.c.4	eIF4G	BAP1	EIF4G1|EIF4G2|EIF4G3
0.81936	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.79685	0	1	14.3.3_beta	ARHI	YWHAB	DIRAS3
0.78513	0	1	HER2	YB.1	ERBB2	YBX1
0.78242	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.77517	0	1	N.Ras	SF2	NRAS	SRSF1
0.76865	0	1	ACVRL1	ARHI	ACVRL1	DIRAS3
0.76346	0	1	eEF2K	HER3	EEF2K	ERBB3
0.76292	1	1	mTOR	Tuberin	FRAP1|MTOR	TSC2
0.76231	0	1	N.Ras	SCD1	NRAS	SCD
0.74848	1	1	Akt_pS473	GSK3.alpha.beta_pS21_S9	AKT1|AKT2|AKT3	GSK3A|GSK3B
0.74323	0	1	HER2	PEA15_pS116	ERBB2	PEA15
0.74171	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.74096	0	1	eEF2	PEA15_pS116	EEF2	PEA15
0.72214	0	1	AR	Mre11	AR	MRE11A
0.72042	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.71566	0	1	14.3.3_beta	SCD1	YWHAB	SCD
-0.71036	0	-1	Mre11	RBM15	MRE11A	RBM15
0.70752	0	1	STAT5.alpha	Tuberin	STAT5A	TSC2
0.70291	0	1	Annexin.1	Fibronectin	ANXA1	FN1
0.70172	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
0.70104	0	1	RBM15	Tuberin	RBM15	TSC2
0.70092	0	1	53BP1	Ku80	TP53BP1	XRCC5
0.70019	0	1	53BP1	Tuberin	TP53BP1	TSC2
-0.69978	0	-1	G6PD	HER3	G6PD	ERBB3
0.69967	0	1	Ku80	RBM15	XRCC5	RBM15
0.69934	0	1	CD31	Smad4	PECAM1	SMAD4
0.69782	0	1	SCD1	SF2	SCD	SRSF1
-0.69631	0	-1	CD31	RBM15	PECAM1	RBM15
0.69613	0	1	Bap1.c.4	FoxM1	BAP1	FOXM1
0.69448	0	1	PEA15_pS116	YB.1	PEA15	YBX1
0.69064	0	1	mTOR	p90RSK	FRAP1|MTOR	RPS6KA1
0.68645	1	1	Collagen_VI	Fibronectin	COL6A1|COL6A2|COL6A3|COL6A5	FN1
0.68414	0	1	MAPK_pT202_Y204	p38_pT180_Y182	MAPK1|MAPK3	MAPK14
0.68053	0	1	GAB2	Tuberin	GAB2	TSC2
0.67951	0	1	eEF2K	eIF4G	EEF2K	EIF4G1|EIF4G2|EIF4G3
0.67642	0	1	ETS.1	YB.1	ETS1	YBX1
0.67426	0	1	ARHI	N.Ras	DIRAS3	NRAS
