weight	inPC	edgesign	prot1	prot2	gene1	gene2
1.1487	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
1.04539	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.97808	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.93795	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.71379	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.69842	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.69841	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.62136	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.60832	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.52021	0	1	MYH11	Rictor	MYH11	RICTOR
0.51823	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.48081	0	1	ER.alpha	ER.alpha_pS118	ESR1	ESR1
0.45787	0	1	Bak	Smad3	BAK1	SMAD3
0.44147	0	1	Bak	Cyclin_E2	BAK1	CCNE2
0.36089	0	1	Caveolin.1	MYH11	CAV1	MYH11
0.33084	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.31503	0	1	ACC1	FASN	ACACA	FASN
0.30892	0	1	Bak	EGFR_pY1173	BAK1	EGFR
0.30046	0	1	YAP	YAP_pS127	YAP1	YAP1
0.29269	0	1	p90RSK_pT359_S363	YB.1_pS102	RPS6KA1	YBX1
0.28615	0	1	N.Ras	SCD1	NRAS	SCD
0.28178	0	1	eEF2	GAPDH	EEF2	GAPDH
0.26123	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
0.26095	0	1	N.Ras	SF2	NRAS	SRSF1
0.25139	0	1	eIF4E	MEK1	EIF4E	MAP2K1
0.23818	0	1	Collagen_VI	Rab11	COL6A1|COL6A2|COL6A3|COL6A5	RAB11A
0.23325	0	1	GSK3_pS9	Tuberin_pT1462	GSK3B	TSC2
0.22336	1	1	PCNA	Rad51	PCNA	RAD51
0.22304	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.21715	0	1	p38_pT180_Y182	PKC.pan_BetaII_pS660	MAPK14	PRKCB
0.21245	0	1	eEF2	ETS.1	EEF2	ETS1
0.21174	0	1	p90RSK_pT359_S363	S6_pS235_S236	RPS6KA1	RPS6
0.20438	0	1	Chk2_pT68	p53	CHEK2	TP53
0.19962	0	1	CD31	N.Ras	PECAM1	NRAS
0.19768	0	1	GSK3.alpha.beta_pS21_S9	Tuberin_pT1462	GSK3A|GSK3B	TSC2
0.19467	0	1	Bap1.c.4	eIF4G	BAP1	EIF4G1|EIF4G2|EIF4G3
0.1922	0	1	Bid	N.Cadherin	BID	CDH2
0.18998	0	1	eEF2	PEA15_pS116	EEF2	PEA15
0.1869	0	1	GATA3	PEA15_pS116	GATA3	PEA15
0.186	0	1	GSK3.alpha.beta_pS21_S9	PRAS40_pT246	GSK3A|GSK3B	AKT1S1
0.18533	1	1	Heregulin	N.Ras	NRG1	NRAS
0.185	0	1	Src_pY416	Src_pY527	SRC	SRC
0.18475	0	1	Ku80	RBM15	XRCC5	RBM15
0.1831	1	1	AR	ER.alpha	AR	ESR1
0.1809	1	1	Cyclin_B1	PCNA	CCNB1	PCNA
0.18002	1	1	Fibronectin	PAI.1	FN1	SERPINE1
0.17535	0	1	Bcl.xL	PEA15_pS116	BCL2L1	PEA15
0.17486	0	1	p70S6K_pT389	Shc_pY317	RPS6KB1	SHC1
0.17461	0	1	Caveolin.1	VEGFR2	CAV1	KDR
0.17111	0	1	Cyclin_E2	EGFR_pY1173	CCNE2	EGFR
0.17087	0	1	SCD1	SF2	SCD	SRSF1
0.16837	0	1	MYH11	VEGFR2	MYH11	KDR
0.16559	1	1	4E.BP1	eIF4E	EIF4EBP1	EIF4E
0.16346	0	1	ARHI	N.Ras	DIRAS3	NRAS
0.16342	0	1	Bcl.xL	ETS.1	BCL2L1	ETS1
0.162	0	1	Caveolin.1	Rictor	CAV1	RICTOR
0.16078	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.16041	0	1	Cyclin_D1	MIG.6	CCND1	ERRFI1
0.15758	0	1	4E.BP1_pT37T46	Rb_pS807_S811	EIF4EBP1	RB1
0.15642	0	1	eEF2	GATA3	EEF2	GATA3
0.15531	0	1	ETS.1	GATA3	ETS1	GATA3
0.15418	0	1	eEF2K	eIF4G	EEF2K	EIF4G1|EIF4G2|EIF4G3
0.15188	0	1	CD31	G6PD	PECAM1	G6PD
0.15177	0	-1	C.Raf_pS338	GAB2	RAF1	GAB2
0.14955	0	1	Cyclin_E2	Smad3	CCNE2	SMAD3
0.14924	0	1	Bcl.xL	N.Cadherin	BCL2L1	CDH2
0.14542	0	1	ARHI	P.Cadherin	DIRAS3	CDH3
0.14531	0	1	Bid	Cyclin_D1	BID	CCND1
0.14466	0	1	Bcl.xL	eEF2	BCL2L1	EEF2
0.14463	0	1	Bax	ETS.1	BAX	ETS1
0.14414	0	1	p38_MAPK	PREX1	MAPK14	PREX1
0.1412	0	1	A.Raf_pS299	ARHI	ARAF	DIRAS3
0.14098	0	1	FOXO3a_pS318_S321	mTOR_pS2448	FOXO3	FRAP1|MTOR
0.14092	0	1	ERK2	PEA.15	MAPK1	PEA15
0.14054	0	1	Bak	c.Met_pY1235	BAK1	MET
0.14025	0	1	mTOR_pS2448	Src_pY527	FRAP1|MTOR	SRC
0.14024	0	1	PRAS40_pT246	Tuberin_pT1462	AKT1S1	TSC2
0.14004	0	-1	ATM	PEA15_pS116	ATM	PEA15
0.13936	1	1	PKC.delta_pS664	PKC.pan_BetaII_pS660	PRKCD	PRKCB
0.13842	0	1	53BP1	Ku80	TP53BP1	XRCC5
0.13627	1	1	Bcl.xL	Bid	BCL2L1	BID
0.13341	0	1	Beclin	CD31	BECN1	PECAM1
0.13321	0	1	Bcl.xL	GATA3	BCL2L1	GATA3
0.13317	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.13281	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
0.13276	0	1	Chk2	Chk2_pT68	CHEK2	CHEK2
0.13188	0	-1	LKB1	RBM15	STK11	RBM15
0.13178	0	1	PCNA	Stathmin	PCNA	STMN1
0.1316	1	1	14.3.3_beta	N.Ras	YWHAB	NRAS
0.13068	1	1	Akt_pT308	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.12998	0	1	Bak	RBM15	BAK1	RBM15
0.12759	0	1	CD31	Heregulin	PECAM1	NRG1
0.12746	0	1	N.Cadherin	PEA15_pS116	CDH2	PEA15
0.12638	0	1	BRCA2	XRCC1	BRCA2	XRCC1
0.12569	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
0.12461	1	1	PKC.alpha	PKC.delta_pS664	PRKCA	PRKCD
0.1239	1	1	PKC.alpha_pS657	PKC.delta_pS664	PRKCA	PRKCD
0.12247	0	1	Bak	p27_pT198	BAK1	CDKN1B
0.12142	0	1	ARHI	Shc_pY317	DIRAS3	SHC1
0.12135	0	1	GSK3_pS9	PRAS40_pT246	GSK3B	AKT1S1
0.11991	0	1	Cyclin_D1	N.Cadherin	CCND1	CDH2
0.1196	1	1	MEK1_pS217_S221	p38_pT180_Y182	MAP2K1	MAPK14
0.11883	0	1	S6_pS235_S236	YB.1_pS102	RPS6	YBX1
0.11869	1	1	p38_pT180_Y182	Src_pY527	MAPK14	SRC
0.11711	1	1	Akt	mTOR	AKT1|AKT2|AKT3	FRAP1|MTOR
0.11562	1	1	EGFR_pY1068	Src_pY416	EGFR	SRC
0.11453	0	1	eIF4G	HER3	EIF4G1|EIF4G2|EIF4G3	ERBB3
0.1144	0	1	CD20	PEA15_pS116	MS4A1	PEA15
0.11329	0	1	A.Raf_pS299	Shc_pY317	ARAF	SHC1
0.11265	0	1	N.Ras	P.Cadherin	NRAS	CDH3
0.11208	0	1	CD20	ETS.1	MS4A1	ETS1
0.11198	0	1	14.3.3_beta	Mre11	YWHAB	MRE11A
0.11179	0	1	53BP1	HER2	TP53BP1	ERBB2
0.10992	1	1	MAPK_pT202_Y204	p90RSK_pT359_S363	MAPK1|MAPK3	RPS6KA1
0.1086	1	1	CDK1	Cyclin_B1	CDK1	CCNB1
0.10844	0	1	GAPDH	PEA15_pS116	GAPDH	PEA15
0.10783	0	1	EGFR_pY1173	p27_pT157	EGFR	CDKN1B
0.10739	0	1	STAT5.alpha	Tuberin	STAT5A	TSC2
0.10735	0	-1	PEA15_pS116	PI3K.p110.alpha	PEA15	PIK3CA
0.10542	0	1	ARHI	Heregulin	DIRAS3	NRG1
0.10443	0	1	GSK3_pS9	Rb_pS807_S811	GSK3B	RB1
0.10409	0	1	MAPK_pT202_Y204	YB.1_pS102	MAPK1|MAPK3	YBX1
0.10324	0	1	G6PD	PRDX1	G6PD	PRDX1
0.10276	0	1	Lck	TIGAR	LCK	C12ORF5
0.10252	0	1	Heregulin	SF2	NRG1	SRSF1
0.10172	0	1	PDCD4	PKC.pan_BetaII_pS660	PDCD4	PRKCB
0.10118	0	1	Bad_pS112	GSK3.alpha.beta_pS21_S9	BAD	GSK3A|GSK3B
0.1011	0	1	MEK1_pS217_S221	YB.1_pS102	MAP2K1	YBX1
0.10033	0	1	Bcl.xL	Rad50	BCL2L1	RAD50
0.09942	0	1	Beclin	N.Ras	BECN1	NRAS
