weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.87272	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.80421	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.79944	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.79004	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.76166	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.61811	0	1	YAP	YAP_pS127	YAP1	YAP1
0.61324	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.61237	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.56628	0	1	MYH11	Rictor	MYH11	RICTOR
0.5443	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.53967	1	1	PKC.delta_pS664	PKC.pan_BetaII_pS660	PRKCD	PRKCB
0.52882	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.44627	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.43149	0	1	p90RSK_pT359_S363	YB.1_pS102	RPS6KA1	YBX1
0.41089	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
0.39994	0	1	eIF4E	MEK1	EIF4E	MAP2K1
0.39018	0	1	Bak	Smad3	BAK1	SMAD3
0.37493	0	1	ER.alpha	ER.alpha_pS118	ESR1	ESR1
0.35925	0	1	p90RSK	p90RSK_pT359_S363	RPS6KA1	RPS6KA1
0.35109	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
0.33488	1	1	c.Myc	CDK1	MYC	CDK1
0.32866	1	1	Bcl.2	Bim	BCL2	BCL2L11
0.31892	0	1	ERK2	PEA.15	MAPK1	PEA15
0.29315	0	1	Bak	EGFR_pY1173	BAK1	EGFR
0.28083	1	1	Fibronectin	PAI.1	FN1	SERPINE1
0.27997	0	1	Bak	Cyclin_E2	BAK1	CCNE2
0.27357	1	1	c.Jun_pS73	JNK_pT183_Y185	JUN	MAPK8|MAPK9
0.26935	0	1	Chk2	Chk2_pT68	CHEK2	CHEK2
0.2662	0	1	4E.BP1_pT37T46	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.26342	0	1	eEF2	PEA15_pS116	EEF2	PEA15
0.26224	0	1	mTOR	mTOR_pS2448	FRAP1|MTOR	FRAP1|MTOR
0.26168	0	1	Tuberin	Tuberin_pT1462	TSC2	TSC2
0.25973	0	1	4E.BP1_pS65	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
0.25231	0	1	ARHI	Shc_pY317	DIRAS3	SHC1
0.25113	0	1	G6PD	PRDX1	G6PD	PRDX1
0.24453	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.24024	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.23861	1	1	4E.BP1	eIF4E	EIF4EBP1	EIF4E
0.23578	0	1	Claudin.7	E.Cadherin	CLDN7	CDH1
0.23287	0	1	p38_MAPK	p38_pT180_Y182	MAPK14	MAPK14
0.22576	0	1	Src_pY416	Src_pY527	SRC	SRC
0.22411	1	1	AR	ER.alpha	AR	ESR1
0.22299	0	1	FOXO3a_pS318_S321	mTOR_pS2448	FOXO3	FRAP1|MTOR
0.21708	1	1	EGFR_pY1068	Src_pY416	EGFR	SRC
0.21558	1	1	MEK1_pS217_S221	p38_pT180_Y182	MAP2K1	MAPK14
0.21556	0	1	PRAS40_pT246	Tuberin_pT1462	AKT1S1	TSC2
0.21323	0	1	Caspase.7_cleavedD198	Lck	CASP7	LCK
0.21298	0	1	ERK2	NF2	MAPK1	NF2
0.20962	0	1	Src	Src_pY527	SRC	SRC
0.20841	0	1	BRCA2	XRCC1	BRCA2	XRCC1
0.20808	1	1	Lck	STAT5.alpha	LCK	STAT5A
0.20735	0	1	G6PD	Transglutaminase	G6PD	TGM2
0.20675	0	1	SCD1	SF2	SCD	SRSF1
0.20294	1	1	Akt_pT308	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.20181	0	1	PCNA	Stathmin	PCNA	STMN1
0.20143	0	1	p27	p27_pT198	CDKN1B	CDKN1B
0.20036	1	1	Cyclin_D1	p27	CCND1	CDKN1B
0.20012	0	1	eEF2	GAPDH	EEF2	GAPDH
0.19898	0	1	ACC1	FASN	ACACA	FASN
0.1985	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
