weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.67917	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.67181	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.64445	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.60981	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.58568	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.53599	0	1	YAP	YAP_pS127	YAP1	YAP1
0.49066	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.4642	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.45277	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.45099	0	1	MYH11	Rictor	MYH11	RICTOR
0.43668	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.42456	0	1	Chk1	ETS.1	CHEK1	ETS1
0.42189	1	1	c.Myc	CDK1	MYC	CDK1
0.41445	1	1	PKC.delta_pS664	PKC.pan_BetaII_pS660	PRKCD	PRKCB
0.37015	0	1	p90RSK_pT359_S363	YB.1_pS102	RPS6KA1	YBX1
0.3591	0	1	ER.alpha	ER.alpha_pS118	ESR1	ESR1
0.35134	1	1	Bcl.2	Bim	BCL2	BCL2L11
0.33955	0	1	AMPK_alpha	AMPK_pT172	PRKAA1	PRKAA1
0.3306	0	1	ERK2	PEA.15	MAPK1	PEA15
0.32488	1	1	EGFR_pY1068	Shc_pY317	EGFR	SHC1
0.31583	0	1	eIF4E	MEK1	EIF4E	MAP2K1
0.31267	0	1	Chk2	Chk2_pT68	CHEK2	CHEK2
0.31019	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.30769	0	1	p90RSK	p90RSK_pT359_S363	RPS6KA1	RPS6KA1
0.30688	1	1	c.Jun_pS73	JNK_pT183_Y185	JUN	MAPK8|MAPK9
0.28887	0	1	4E.BP1_pT37T46	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.28396	1	1	Cyclin_D1	p27	CCND1	CDKN1B
0.27439	0	1	mTOR	mTOR_pS2448	FRAP1|MTOR	FRAP1|MTOR
0.2682	1	1	beta.Catenin	E.Cadherin	CTNNB1	CDH1
0.26795	0	1	Tuberin	Tuberin_pT1462	TSC2	TSC2
0.26059	0	1	4E.BP1_pS65	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
0.25067	0	1	Bak	Smad3	BAK1	SMAD3
0.24991	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.24585	0	1	p38_MAPK	p38_pT180_Y182	MAPK14	MAPK14
0.23904	0	1	Chk1_pS345	Chk2_pT68	CHEK1	CHEK2
0.23599	0	1	Bak	Cyclin_E2	BAK1	CCNE2
0.2358	0	1	G6PD	Transglutaminase	G6PD	TGM2
0.23572	0	1	G6PD	PRDX1	G6PD	PRDX1
0.23295	0	1	ARHI	Shc_pY317	DIRAS3	SHC1
0.22358	0	1	Bak	EGFR_pY1173	BAK1	EGFR
0.22108	1	1	4E.BP1	eIF4E	EIF4EBP1	EIF4E
0.21616	1	1	C.Raf_pS338	MEK1_pS217_S221	RAF1	MAP2K1
0.2145	0	1	CD31	Heregulin	PECAM1	NRG1
0.2144	1	1	Lck	STAT5.alpha	LCK	STAT5A
0.2095	0	1	Src	Src_pY527	SRC	SRC
0.20946	0	1	PRAS40_pT246	Tuberin_pT1462	AKT1S1	TSC2
0.20664	1	-1	Mre11	Rad50	MRE11A	RAD50
0.2053	1	1	EGFR_pY1068	Src_pY416	EGFR	SRC
0.20357	0	1	Claudin.7	E.Cadherin	CLDN7	CDH1
0.20308	1	1	Fibronectin	PAI.1	FN1	SERPINE1
0.20293	0	1	4E.BP1	4E.BP1_pT70	EIF4EBP1	EIF4EBP1
0.20281	0	1	FASN	SCD1	FASN	SCD
-0.20151	0	-1	Chk2	p27	CHEK2	CDKN1B
0.19625	0	1	Caveolin.1	Rab11	CAV1	RAB11A
0.19533	1	1	AR	ER.alpha	AR	ESR1
0.19406	0	1	Chk1	PEA.15	CHEK1	PEA15
0.19387	0	1	eEF2K	eIF4G	EEF2K	EIF4G1|EIF4G2|EIF4G3
0.19348	0	1	PCNA	Stathmin	PCNA	STMN1
0.19153	0	1	p27	p27_pT198	CDKN1B	CDKN1B
0.19022	1	1	CDK1	Cyclin_B1	CDK1	CCNB1
0.1902	0	1	Myosin.IIa_pS1943	Paxillin	MYH9	PXN
-0.18565	1	-1	MEK1	STAT3_pY705	MAP2K1	STAT3
0.18507	0	1	MIG.6	p27_pT157	ERRFI1	CDKN1B
0.18483	1	1	GSK3.alpha.beta	Src	GSK3A|GSK3B	SRC
0.18333	0	1	JNK2	Rab.25	MAPK9	RAB25
0.18309	0	1	CD20	ETS.1	MS4A1	ETS1
0.18302	0	1	Caspase.7_cleavedD198	Transglutaminase	CASP7	TGM2
0.18299	0	1	Caspase.7_cleavedD198	Lck	CASP7	LCK
0.18105	0	1	SCD1	SF2	SCD	SRSF1
0.17994	0	1	DJ.1	p90RSK	PARK7	RPS6KA1
0.1798	1	1	MAPK_pT202_Y204	p90RSK_pT359_S363	MAPK1|MAPK3	RPS6KA1
0.1792	0	1	CD20	Collagen_VI	MS4A1	COL6A1|COL6A2|COL6A3|COL6A5
0.17854	0	1	P.Cadherin	TSC1	CDH3	TSC1
0.17814	0	1	cIAP	Smad1	BIRC2	SMAD1
-0.17737	0	-1	p70S6K_pT389	YB.1_pS102	RPS6KB1	YBX1
0.17734	0	1	JNK_pT183_Y185	p38_pT180_Y182	MAPK8|MAPK9	MAPK14
0.17683	1	1	LKB1	Smad4	STK11	SMAD4
0.17584	0	1	14.3.3_epsilon	PDK1	YWHAE	PDK1
0.17554	0	1	C.Raf	HER3_pY1289	RAF1	ERBB3
0.1748	1	1	MEK1_pS217_S221	p38_pT180_Y182	MAP2K1	MAPK14
0.1747	0	1	Rab.25	Rab11	RAB25	RAB11A
0.17424	0	1	Src_pY416	Tuberin_pT1462	SRC	TSC2
0.17215	0	1	JNK2	MEK1	MAPK9	MAP2K1
0.1721	0	1	Cyclin_D1	GATA3	CCND1	GATA3
0.16997	0	1	ERK2	NF2	MAPK1	NF2
0.16925	0	1	NF.kB.p65_pS536	Tuberin_pT1462	NFKB1	TSC2
0.16799	0	1	ACVRL1	Rictor	ACVRL1	RICTOR
0.16774	0	1	4E.BP1	4E.BP1_pT37T46	EIF4EBP1	EIF4EBP1
0.16773	0	1	53BP1	B.Raf	TP53BP1	BRAF
0.16742	0	1	Claudin.7	eIF4E	CLDN7	EIF4E
-0.16713	1	-1	LKB1	PTEN	STK11	PTEN
0.16685	0	1	A.Raf_pS299	Src	ARAF	SRC
0.16683	1	-1	GSK3.alpha.beta	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.16654	0	1	BRCA2	XRCC1	BRCA2	XRCC1
0.16606	0	1	FoxM1	Rb_pS807_S811	FOXM1	RB1
0.16576	0	1	14.3.3_zeta	BRCA2	YWHAZ	BRCA2
0.16566	0	1	eIF4E	Tuberin	EIF4E	TSC2
0.16508	0	1	FoxM1	Rad51	FOXM1	RAD51
0.1649	0	1	HER3	Smad4	ERBB3	SMAD4
0.16453	0	-1	p90RSK	Stathmin	RPS6KA1	STMN1
0.16448	1	1	CDK1	p21	CDK1	CDKN1A
-0.16346	0	-1	14.3.3_zeta	ATM	YWHAZ	ATM
0.16341	0	1	c.Jun_pS73	Rb_pS807_S811	JUN	RB1
0.16263	0	1	Heregulin	PAI.1	NRG1	SERPINE1
0.16259	0	1	BRCA2	GSK3.alpha.beta	BRCA2	GSK3A|GSK3B
0.16257	0	1	ARID1A	GATA3	ARID1A	GATA3
0.16186	0	1	Myosin.IIa_pS1943	YB.1	MYH9	YBX1
0.16185	0	-1	C.Raf	HSP70	RAF1	HSPA1A
0.16184	0	-1	DJ.1	mTOR	PARK7	FRAP1|MTOR
0.16081	1	-1	Cyclin_E1	p27	CCNE1	CDKN1B
0.16046	0	1	4E.BP1	ASNS	EIF4EBP1	ASNS
0.16023	0	1	IGFBP2	VHL	IGFBP2	VHL
-0.16016	1	-1	Akt	Chk1	AKT1|AKT2|AKT3	CHEK1
0.15979	0	1	IGFBP2	P.Cadherin	IGFBP2	CDH3
0.15846	0	1	p27	TSC1	CDKN1B	TSC1
0.15795	1	1	Bcl.xL	Bid	BCL2L1	BID
0.15753	0	1	PKC.pan_BetaII_pS660	YAP_pS127	PRKCB	YAP1
-0.15735	0	-1	Cyclin_D1	Cyclin_E1	CCND1	CCNE1
0.15714	0	1	GATA3	NF2	GATA3	NF2
0.15699	0	1	C.Raf	PREX1	RAF1	PREX1
0.15672	0	1	PEA.15	Rab.25	PEA15	RAB25
0.15541	0	1	EGFR	INPP4B	EGFR	INPP4B
-0.15531	0	-1	P.Cadherin	VHL	CDH3	VHL
-0.15409	1	-1	14.3.3_zeta	STAT3_pY705	YWHAZ	STAT3
0.1539	1	1	NF.kB.p65_pS536	p38_pT180_Y182	NFKB1	MAPK14
0.15385	0	1	Annexin_VII	PRDX1	ANXA7	PRDX1
0.15364	0	1	ARID1A	BRCA2	ARID1A	BRCA2
0.15334	0	1	S6	S6_pS235_S236	RPS6	RPS6
0.15307	1	1	Bcl.xL	Bim	BCL2L1	BCL2L11
-0.15288	0	-1	FOXO3a_pS318_S321	TSC1	FOXO3	TSC1
0.15236	1	1	Src_pY416	STAT3_pY705	SRC	STAT3
0.15231	0	1	Bad_pS112	NF.kB.p65_pS536	BAD	NFKB1
-0.1499	0	-1	CD49b	Cyclin_E1	ITGA2	CCNE1
0.14958	0	1	NF.kB.p65_pS536	STAT5.alpha	NFKB1	STAT5A
0.14927	0	1	Annexin.1	INPP4B	ANXA1	INPP4B
-0.14907	0	-1	Akt_pT308	PTEN	AKT1|AKT2|AKT3	PTEN
0.14893	0	1	N.Ras	SF2	NRAS	SRSF1
0.14817	0	1	eIF4G	p62.LCK.ligand	EIF4G1|EIF4G2|EIF4G3	SQSTM1
0.14814	0	1	eEF2	PEA15_pS116	EEF2	PEA15
0.14781	1	1	Akt_pT308	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.14763	1	1	ER.alpha	PR	ESR1	PGR
0.14663	0	1	Cyclin_E1	TAZ	CCNE1	WWTR1
-0.14628	0	-1	p27_pT157	TRFC	CDKN1B	TFRC
-0.14606	0	-1	GSK3.alpha.beta	TAZ	GSK3A|GSK3B	WWTR1
0.14602	0	1	HSP70	N.Cadherin	HSPA1A	CDH2
-0.14598	1	-1	E.Cadherin	N.Cadherin	CDH1	CDH2
0.14596	0	1	14.3.3_zeta	TRFC	YWHAZ	TFRC
-0.14536	0	-1	mTOR	MYH11	FRAP1|MTOR	MYH11
-0.145	0	-1	Annexin.1	ARID1A	ANXA1	ARID1A
0.14484	0	1	Annexin.1	DJ.1	ANXA1	PARK7
0.14473	1	1	c.Jun_pS73	c.Myc	JUN	MYC
0.14465	0	1	14.3.3_zeta	VHL	YWHAZ	VHL
0.14462	0	1	p90RSK_pT359_S363	S6_pS235_S236	RPS6KA1	RPS6
0.14454	0	1	CD49b	PAI.1	ITGA2	SERPINE1
0.14449	0	1	Bap1.c.4	GAB2	BAP1	GAB2
0.14435	1	1	Cyclin_B1	PCNA	CCNB1	PCNA
-0.14402	0	-1	eEF2K	Stathmin	EEF2K	STMN1
0.14386	1	1	PKC.alpha_pS657	PKC.delta_pS664	PRKCA	PRKCD
0.14355	0	1	ARHI	SF2	DIRAS3	SRSF1
0.14343	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
-0.14335	0	1	Collagen_VI	PREX1	COL6A1|COL6A2|COL6A3|COL6A5	PREX1
-0.1425	0	-1	Annexin.1	Cyclin_E2	ANXA1	CCNE2
0.14236	0	1	Lck	PREX1	LCK	PREX1
0.14205	0	1	C.Raf_pS338	Rictor_pT1135	RAF1	RICTOR
-0.1419	0	1	14.3.3_epsilon	LKB1	YWHAE	STK11
0.14184	0	1	RBM15	Tuberin	RBM15	TSC2
-0.1418	0	-1	ARHI	c.Met_pY1235	DIRAS3	MET
0.14178	1	-1	Chk1_pS345	Rad51	CHEK1	RAD51
0.14178	0	1	PREX1	STAT5.alpha	PREX1	STAT5A
0.14166	0	1	AMPK_pT172	Src_pY527	PRKAA1	SRC
-0.14155	0	-1	CD20	TSC1	MS4A1	TSC1
0.14155	0	1	Mre11	Stathmin	MRE11A	STMN1
0.1415	0	1	Fibronectin	p21	FN1	CDKN1A
0.14124	0	1	4E.BP1_pT37T46	Rb_pS807_S811	EIF4EBP1	RB1
-0.14122	0	-1	Fibronectin	VHL	FN1	VHL
0.14117	1	1	Cyclin_B1	Cyclin_E1	CCNB1	CCNE1
0.1411	0	1	Src_pY416	Src_pY527	SRC	SRC
0.14097	1	1	c.Jun_pS73	JNK2	JUN	MAPK9
0.14077	0	1	Stathmin	TAZ	STMN1	WWTR1
-0.14057	0	-1	B.Raf	c.Myc	BRAF	MYC
0.13994	1	1	PI3K.p110.alpha	PI3K.p85	PIK3CA	PIK3R1
0.13935	0	1	Bak	c.Met_pY1235	BAK1	MET
0.13918	0	1	Bcl.2	c.Kit	BCL2	KIT
0.13886	0	1	EGFR	YAP	EGFR	YAP1
0.13884	0	1	S6_pS235_S236	YB.1_pS102	RPS6	YBX1
0.13876	0	-1	EGFR_pY1068	G6PD	EGFR	G6PD
0.13875	0	1	Beclin	Collagen_VI	BECN1	COL6A1|COL6A2|COL6A3|COL6A5
-0.13864	0	-1	p27_pT198	Smad1	CDKN1B	SMAD1
-0.13863	1	-1	AR	Lck	AR	LCK
-0.13813	0	-1	MEK1	Myosin.IIa_pS1943	MAP2K1	MYH9
0.13802	1	-1	Src	VEGFR2	SRC	KDR
0.1378	0	1	Chk2_pT68	PI3K.p110.alpha	CHEK2	PIK3CA
0.13762	0	1	53BP1	Ku80	TP53BP1	XRCC5
0.13742	0	1	Myosin.IIa_pS1943	XBP1	MYH9	XBP1
0.13703	0	-1	DJ.1	Rb_pS807_S811	PARK7	RB1
0.13703	0	1	EGFR	EGFR_pY1068	EGFR	EGFR
0.13696	0	1	Cyclin_D1	EGFR	CCND1	EGFR
0.13694	0	1	CD20	Smad3	MS4A1	SMAD3
0.1369	0	-1	Bad_pS112	P.Cadherin	BAD	CDH3
-0.13639	0	-1	PDCD4	Smad1	PDCD4	SMAD1
-0.13634	0	-1	E.Cadherin	PREX1	CDH1	PREX1
