weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.9604	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.9359	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.91289	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.86697	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.85197	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.81859	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.80941	0	1	Bak	Cyclin_E2	BAK1	CCNE2
0.80258	0	1	Bak	Smad3	BAK1	SMAD3
0.79914	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.7933	0	1	MYH11	Rictor	MYH11	RICTOR
0.77212	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.76052	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.75786	1	1	Akt_pT308	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.75157	0	1	GSK3_pS9	Tuberin_pT1462	GSK3B	TSC2
0.7509	0	1	eEF2	PEA15_pS116	EEF2	PEA15
0.74131	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.72209	0	1	Bap1.c.4	eIF4G	BAP1	EIF4G1|EIF4G2|EIF4G3
0.72136	0	1	p90RSK_pT359_S363	YB.1_pS102	RPS6KA1	YBX1
0.72095	1	1	Akt_pT308	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.72045	0	1	GSK3.alpha.beta_pS21_S9	Tuberin_pT1462	GSK3A|GSK3B	TSC2
0.72032	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.7195	0	1	eEF2	ETS.1	EEF2	ETS1
0.7162	0	1	eEF2	GAPDH	EEF2	GAPDH
0.71586	1	1	Akt_pT308	GSK3.alpha.beta_pS21_S9	AKT1|AKT2|AKT3	GSK3A|GSK3B
0.71034	0	1	ARHI	N.Ras	DIRAS3	NRAS
0.70511	0	1	Bak	EGFR_pY1173	BAK1	EGFR
0.69906	0	1	CD31	Heregulin	PECAM1	NRG1
0.692	0	1	ER.alpha	ER.alpha_pS118	ESR1	ESR1
0.68732	0	1	N.Ras	SF2	NRAS	SRSF1
0.68605	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.68377	0	1	Bcl.xL	PEA15_pS116	BCL2L1	PEA15
0.68376	0	1	GSK3.alpha.beta_pS21_S9	PRAS40_pT246	GSK3A|GSK3B	AKT1S1
0.68234	1	1	Akt_pS473	GSK3.alpha.beta_pS21_S9	AKT1|AKT2|AKT3	GSK3A|GSK3B
0.67841	0	1	PRAS40_pT246	Tuberin_pT1462	AKT1S1	TSC2
0.67616	0	1	GSK3_pS9	PRAS40_pT246	GSK3B	AKT1S1
0.6696	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.66802	0	1	Cyclin_E2	Smad3	CCNE2	SMAD3
0.66207	1	1	MEK1_pS217_S221	p38_pT180_Y182	MAP2K1	MAPK14
0.65465	1	1	EGFR_pY1068	HER2_pY1248	EGFR	ERBB2
0.65186	0	1	Caveolin.1	MYH11	CAV1	MYH11
0.6402	0	1	Bcl.xL	ETS.1	BCL2L1	ETS1
0.63852	0	1	B.Raf	eIF4G	BRAF	EIF4G1|EIF4G2|EIF4G3
0.63479	0	1	GAPDH	PEA15_pS116	GAPDH	PEA15
0.63465	1	1	Heregulin	N.Ras	NRG1	NRAS
0.63435	0	1	Caveolin.1	Rictor	CAV1	RICTOR
0.63309	0	1	GSK3_pS9	p38_pT180_Y182	GSK3B	MAPK14
0.63121	0	1	p90RSK_pT359_S363	S6_pS235_S236	RPS6KA1	RPS6
0.62964	0	1	GATA3	PEA15_pS116	GATA3	PEA15
0.62859	0	1	ARHI	P.Cadherin	DIRAS3	CDH3
0.62756	0	1	SCD1	SF2	SCD	SRSF1
0.6269	1	1	PKC.alpha	Rictor	PRKCA	RICTOR
0.62614	0	1	PKC.alpha_pS657	Rictor	PRKCA	RICTOR
0.62528	0	1	eEF2K	eIF4G	EEF2K	EIF4G1|EIF4G2|EIF4G3
0.62448	0	1	eIF4E	MEK1	EIF4E	MAP2K1
0.62437	0	1	GSK3.alpha.beta_pS21_S9	p38_pT180_Y182	GSK3A|GSK3B	MAPK14
0.6229	0	1	ACC1	FASN	ACACA	FASN
0.61938	0	1	p38_pT180_Y182	PKC.pan_BetaII_pS660	MAPK14	PRKCB
0.61852	0	1	Bcl.xL	eEF2	BCL2L1	EEF2
0.61816	0	1	S6_pS235_S236	YB.1_pS102	RPS6	YBX1
0.61718	0	1	Bak	RBM15	BAK1	RBM15
0.615	0	1	N.Ras	P.Cadherin	NRAS	CDH3
0.61198	0	1	EGFR_pY1173	Smad3	EGFR	SMAD3
0.61005	0	1	N.Ras	SCD1	NRAS	SCD
0.6089	1	1	p38_pT180_Y182	Src_pY527	MAPK14	SRC
0.60881	0	1	Bad_pS112	PRAS40_pT246	BAD	AKT1S1
0.6087	0	1	Src_pY416	Src_pY527	SRC	SRC
0.60869	0	1	Bcl.xL	N.Cadherin	BCL2L1	CDH2
0.60844	0	1	Bad_pS112	GSK3.alpha.beta_pS21_S9	BAD	GSK3A|GSK3B
0.6084	0	1	FOXO3a_pS318_S321	mTOR_pS2448	FOXO3	FRAP1|MTOR
0.60794	0	1	A.Raf_pS299	ARHI	ARAF	DIRAS3
0.60659	0	1	ETS.1	GATA3	ETS1	GATA3
0.60567	0	1	Bid	N.Cadherin	BID	CDH2
0.60524	0	1	CD31	N.Ras	PECAM1	NRAS
0.60029	0	1	mTOR_pS2448	Src_pY527	FRAP1|MTOR	SRC
0.59737	0	1	YAP	YAP_pS127	YAP1	YAP1
0.59384	0	1	ARHI	Shc_pY317	DIRAS3	SHC1
