weight	inPC	edgesign	prot1	prot2	gene1	gene2
0.96137	1	1	Akt_pS473	Akt_pT308	AKT1|AKT2|AKT3	AKT1|AKT2|AKT3
0.93273	0	1	PKC.alpha	PKC.alpha_pS657	PRKCA	PRKCA
0.91031	1	1	GSK3.alpha.beta_pS21_S9	GSK3_pS9	GSK3A|GSK3B	GSK3B
0.8701	0	1	S6_pS235_S236	S6_pS240_S244	RPS6	RPS6
0.84687	1	1	MAPK_pT202_Y204	MEK1_pS217_S221	MAPK1|MAPK3	MAP2K1
0.81694	0	1	Bak	Cyclin_E2	BAK1	CCNE2
0.79597	0	1	Bak	Smad3	BAK1	SMAD3
0.78611	1	1	Cyclin_B1	FoxM1	CCNB1	FOXM1
0.78488	0	1	GSK3_pS9	Tuberin_pT1462	GSK3B	TSC2
0.78382	0	1	ETS.1	PEA15_pS116	ETS1	PEA15
0.78189	0	1	ACC_pS79	ACC1	ACACA|ACACB	ACACA
0.76591	0	1	GSK3.alpha.beta_pS21_S9	Tuberin_pT1462	GSK3A|GSK3B	TSC2
0.75381	1	1	Akt_pT308	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.74579	0	1	HER2	HER2_pY1248	ERBB2	ERBB2
0.74169	0	1	eEF2	PEA15_pS116	EEF2	PEA15
0.74126	0	1	ER.alpha	ER.alpha_pS118	ESR1	ESR1
0.73714	1	1	Akt_pS473	GSK3_pS9	AKT1|AKT2|AKT3	GSK3B
0.73669	0	1	eEF2	ETS.1	EEF2	ETS1
0.73228	1	1	Akt_pT308	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.72849	1	1	Akt_pS473	Tuberin_pT1462	AKT1|AKT2|AKT3	TSC2
0.72629	0	1	GSK3.alpha.beta_pS21_S9	PRAS40_pT246	GSK3A|GSK3B	AKT1S1
0.71839	1	1	Akt_pT308	GSK3.alpha.beta_pS21_S9	AKT1|AKT2|AKT3	GSK3A|GSK3B
0.71644	0	1	Bcl.xL	PEA15_pS116	BCL2L1	PEA15
0.70983	0	1	eEF2	GAPDH	EEF2	GAPDH
0.70959	0	1	ETS.1	GATA3	ETS1	GATA3
0.70689	0	1	PDK1	PDK1_pS241	PDK1	PDK1
0.70243	0	1	GSK3_pS9	PRAS40_pT246	GSK3B	AKT1S1
0.7011	0	1	GATA3	PEA15_pS116	GATA3	PEA15
0.70055	0	1	ARHI	N.Ras	DIRAS3	NRAS
0.69895	0	1	Bcl.xL	ETS.1	BCL2L1	ETS1
0.6952	0	1	CD31	N.Ras	PECAM1	NRAS
0.69021	1	1	MEK1_pS217_S221	p38_pT180_Y182	MAP2K1	MAPK14
0.68938	0	1	PRAS40_pT246	Tuberin_pT1462	AKT1S1	TSC2
0.68793	0	1	p90RSK_pT359_S363	YB.1_pS102	RPS6KA1	YBX1
0.68134	0	1	N.Ras	SF2	NRAS	SRSF1
0.68069	0	1	Bak	EGFR_pY1173	BAK1	EGFR
0.67917	1	1	Akt_pS473	GSK3.alpha.beta_pS21_S9	AKT1|AKT2|AKT3	GSK3A|GSK3B
0.673	0	1	Bcl.xL	GATA3	BCL2L1	GATA3
0.67003	1	1	Heregulin	N.Ras	NRG1	NRAS
0.66527	0	1	ACC1	FASN	ACACA	FASN
0.66397	0	1	Bcl.xL	eEF2	BCL2L1	EEF2
0.65748	1	1	mTOR	Raptor	FRAP1|MTOR	RPTOR
0.65592	0	1	eEF2	GATA3	EEF2	GATA3
0.64729	0	1	Cyclin_E2	Smad3	CCNE2	SMAD3
0.64715	0	1	CD31	Heregulin	PECAM1	NRG1
0.64689	0	1	SCD1	SF2	SCD	SRSF1
0.63663	0	1	N.Ras	P.Cadherin	NRAS	CDH3
0.63613	0	1	Bcl.xL	N.Cadherin	BCL2L1	CDH2
0.63352	0	1	p38_pT180_Y182	PKC.pan_BetaII_pS660	MAPK14	PRKCB
0.62925	0	1	Bap1.c.4	eIF4G	BAP1	EIF4G1|EIF4G2|EIF4G3
0.62848	0	1	Bad_pS112	PRAS40_pT246	BAD	AKT1S1
0.62657	0	1	Bid	N.Cadherin	BID	CDH2
